District,Micro Tl A/C,Micro Tl Amt,Micro Wc A/C,Micro Wc Amt,Small Tl A/C,Small Tl Amt,Small Wc A/C,Small Wc Amt,Medium Tl A/C,Medium Tl Amt,Medium Wc A/C,Medium Wc Amt,KVIC Tl A/C,KVIC Tl Amt,KVIC Wc A/C,KVIC Wc Amt,Others under MSMEs A/C,Others under MSMEs Amt,Total Msme (PS) Disb No.,Total Msme (PS) Disb Amt
Baksa,3740,2965.3,133,652.83,73,1266.36,25,515.47,2,61.5,2,23.5,29,55.77,2,2.99,274,197.82,4280,5741.54
Barpeta,12084,8278.35,382,2598.6,410,842.93,66,976.66,15,175.26,3,14,40,52.95,0,0,407,266.69,13407,13205.440000000002
Biswanath,5831,2714.5,296,663.5,179,1480.6,20,477.61,4,158.27,5,68.94,21,42.71,5,14.9,314,230.1,6675,5851.13
Bongaigaon,7543,6547.03,266,1666.84,203,2346.75,36,941.78,16,54.22,2,7,21,43.75,1,1.9,460,800.22,8548,12409.489999999998
Cachar,31036,21602.83,433,3204.72,1533,4870.2,105,2401.57,19,673.35,14,395.9,96,193.76,3,1.47,285,7243.1,33524,40586.9
Charaideo,1633,1284.17,94,322.13,16,104.38,5,35.45,0,0,2,6,11,29.66,0,0,2,1.45,1763,1783.2400000000005
Chirang,4996,2648.44,133,474.2,71,1735.55,10,570.87,0,0,0,0,21,25.36,0,0,78,65.7,5309,5520.119999999999
Darrang,7088,6077.38,306,1494.68,206,692.83,27,259.53,1,0.25,4,13.15,20,36.49,0,0,157,402.56,7809,8976.87
Dhemaji,4312,2568.25,377,648.92,75,320.33,29,394.35,4,13.89,2,7.85,41,88.08,26,69.14,40,210.74,4906,4321.549999999999
Dhubri,15091,10318.43,438,1517.41,329,1017.39,30,424.67,1,0.51,0,0,37,70.78,14,29.86,73,62.18,16013,13441.230000000001
Dibrugarh,12203,14106.12,1255,5931.73,572,8230.38,194,7980.5,24,1123.47,4,215.38,47,117.48,15,28.82,433,4107.85,14747,41841.729999999996
Dima Hasao,373,250.87,54,92.86,12,81.57,5,29.73,4,0.77,1,3.87,7,27.69,0,0,26,14.06,482,501.42
Goalpara,7639,4382.76,142,460.18,118,265.98,13,65.09,2,3.33,4,11.25,19,36.53,5,5.78,164,313.46,8106,5544.36
Golaghat,6991,6997.28,458,1842.66,400,1846.01,64,1082.1,9,111.96,2,7.8,53,94.87,4,12.02,466,1986.53,8447,13981.230000000001
Hailakandi,6595,3301.6,170,354.79,85,163.91,13,52.23,3,9.88,1,4,22,41.03,5,4.48,111,205.91,7005,4137.83
Hojai,6866,5517.73,262,1163.66,182,849.86,27,293.35,0,0,3,12,25,74.4,8,6.05,124,487.06,7497,8404.109999999999
Jorhat,7217,8516.54,550,2899.33,406,6101.37,93,2996.67,33,869.1,9,220.07,35,69.6,4,6.31,232,3187.16,8579,24866.15
Kamrup Metro,17381,12770.02,620,1909.36,931,3881.81,64,1016.88,27,1901.19,8,507.67,74,141.18,7,7.74,442,1135.09,19554,23270.940000000002
Karbi Anglong,3805,1808.3,264,396.11,59,590.17,18,190.41,2,51.18,1,17.06,10,24.41,1,9.73,45,21,4205,3108.3699999999994
Karimganj,14048,8762.42,260,1301.26,185,933.22,35,307.24,1,12.7,4,17,63,132.1,5,12.79,287,319.18,14888,11797.910000000002
Kokrajhar,10229,3371.19,213,985.3,107,382.91,7,171.86,2,107.09,0,0,40,102.65,4,2.19,5,24.58,10607,5147.769999999999
Lakhimpur,7347,5338.16,760,2253.99,327,2552.38,48,972.61,2,0.72,5,19.5,54,114.64,5,8.08,1159,1883.1,9707,13143.179999999998
Majuli,1173,264.08,26,28.55,11,74.91,4,30.3,0,0,0,0,4,8,0,0,178,98.5,1396,504.34
Morigaon,4603,3249.38,263,725.79,185,323.09,22,111.26,1,15.75,3,12.12,37,84.07,17,25.95,51,874.91,5182,5422.32
Nagaon,13568,14370.95,727,3921.76,611,3878.44,91,2704.03,11,159.34,10,106.72,64,182.53,0,0,214,2662.97,15296,27986.739999999998
Nalbari,6604,4246.38,293,719.71,304,1186.74,47,1857.64,9,10.08,3,71,38,86.4,13,18.49,210,1594.8,7521,9791.24
Sivasagar,6453,6056.69,542,2541.66,268,1823.63,65,2257.88,10,187.72,2,46.75,27,63.73,2,3.81,233,771.43,7602,13753.3
Sonitpur,11438,10508.63,573,2228.51,479,4326.8,59,1681.27,30,1882.8,8,607.67,63,135.3,20,42.02,180,3001.35,12850,24414.349999999995
South Salmara,339,437.6,18,50.79,0,0,0,0,0,0,0,0,2,4.26,0,0,0,0,359,492.65000000000003
Tinsukia,9926,11066.42,805,5465.08,399,5261.7,123,4020.35,13,1936.92,6,567.32,33,53.63,3,4.71,224,7906.66,11532,36282.79
Udalguri,4808,1873.32,169,166.93,80,154.38,7,42.47,0,0,2,7.5,9,12.91,0,0,36,38.7,5111,2296.2099999999996
West Karbi Anglong,204,113.83,113,64.74,3,20.5,1,6,0,0,0,0,0,0,0,0,2,0.7,323,205.76999999999998
