District,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No.,MUSLIMS Amt,BUDDHISTS No.,BUDDHISTS Amt,SIKHS No.,SIKHS Amt,ZORASTRIANS No.,ZORASTRIANS Amt,JAINS No.,JAINS Amt,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt
Baksa,175,224.61,,18065.83,13,37.38,4,7.16,0,0,27,33.83,17918,18368.810000000005
Barpeta,124,209.09,,72158.34,48,25.46,9,13.2,3,3.18,9,7.55,103256,72416.81999999999
Biswanath,528,461.63,,9105.32,22,12.47,15,56,4,2.9,13,150,15298,9788.319999999998
Bongaigaon,1582,905.43,,27618.29,8,24.93,20,57.63,1,1.28,16,148.77,30921,28756.33
Cachar,2282,2972.48,,84422.56,39,71.18,27,44.53,3,0.5,30,166.65,110850,87677.89999999998
Charaideo,173,95.55,,2011.3,68,78.29,10,23.41,3,6.5,7,1.82,3024,2216.87
Chirang,3680,2388.3,,10568.2,101,50.12,1,0.47,4,4.56,4,2.56,18405,13014.21
Darrang,267,356.32,,48224.97,52,97.24,4,17.94,1,0.39,15,50.42,70569,48747.28
Dhemaji,94,51.29,,806.61,9,10.67,14,24.55,0,0,1,5.67,1580,898.7899999999998
Dhubri,591,639.8,,77069.14,21,20.27,11,36.07,3,1.74,21,145.15,100030,77912.17000000001
Dibrugarh,1744,2269.64,,16272.53,160,477.11,226,756.56,6,3.94,42,448.27,17798,20228.050000000003
Dima Hasao,1902,4780.22,,706.33,4,14.38,4,15.98,0,0,0,0,2335,5516.91
Goalpara,6130,3691.97,,34974.11,25,13.86,7,1.88,14,6.28,10,50.1,52349,38738.2
Golaghat,1860,1066.19,,12284.94,192,165.54,64,130.19,6,3.26,17,83.22,19914,13733.340000000002
Hailakandi,227,289.84,,29339.31,4,7.16,1,1.45,0,0,1,0.15,35447,29637.910000000003
Hojai,371,493.92,,26190.97,6,12.91,24,40.08,0,0,1,0.2,38863,26738.08
Jorhat,1456,3227.77,,12012.18,175,576.67,110,388.05,2,3.1,40,444.8,16932,16652.57
Kamrup Metro,1369,1575.1,,55800.35,90,86.53,53,387.21,1,1.73,35,180.09,83702,58031.009999999995
Karbi Anglong,3418,2804.51,,1263.65,52,175.32,6,12.36,1,0.29,11,47.25,4592,4303.38
Karimganj,779,547.17,,34296.94,14,20.68,11,27.71,0,0,2,5.74,54579,34898.24
Kokrajhar,4521,2472.65,,13942.94,4,1.84,8,9.23,2,39.06,8,10.28,28711,16476
Lakhimpur,1371,746.06,,18824.17,20,38.53,32,42.91,21,12.38,1,0.61,32353,19664.66
Majuli,11,2.61,,357.84,2,1.49,0,0,0,0,0,0,638,361.94
Morigaon,51,94.97,,26082.4,15,40.75,4,2.92,3,3.46,8,36.32,45805,26260.82
Nagaon,852,835.05,,102637.8,19,24.93,138,272.61,25,10.25,32,92.16,170817,103872.8
Nalbari,71,64.77,,25623.94,46,25.58,9,5.8,3,2.3,9,37.47,41507,25759.86
Sivasagar,737,776.79,,20664.91,97,142.62,44,64.43,2,1.07,19,83.46,23604,21733.28
Sonitpur,1733,2309.1,,29612.36,156,416.15,52,128.8,3,1.62,18,97.59,49658,32565.62
South Salmara,6,2.53,,4763.6,0,0,0,0,0,0,0,0,4112,4766.13
Tinsukia,1736,3090.48,,9444.53,471,895.9,124,1132.66,2,1.22,29,348.19,12705,14912.98
Udalguri,5862,8078.04,,6644.09,19,11.02,5,5.96,6,3.62,4,1.21,12552,14743.94
West Karbi Anglong,356,516.28,,90.59,1,0.09,5,1.64,1,0.28,0,0,399,608.88
