District,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA AMT,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA AMT
Baksa,7052,5111.14,864,944.3,280,246.88,12,35,0,0,6145,7097.98,3260,3246.25,6188,4459.33,2846,1686.41,298,2753.56,28,248.54
Barpeta,2197,1901.07,261,241.39,203,161.16,31,21.98,1,0.16,908,1472.46,554,903.89,4135,3393.26,1494,1006.02,28,442.57,1,27.22
Biswanath,2515,2247.52,579,410.13,211,176.48,18,9.98,1,0.43,260,407.48,173,244.5,4491,3366.77,1874,976.97,16,332.02,0,0
Bongaigaon,1059,1171.43,294,289.45,22,14.25,73,57.43,13,5.73,545,715.6,418,543.5,1455,1399.62,162,66.24,32,520.09,3,19.52
Cachar,810,589.63,109,82.49,24,14.55,36,27.11,0,0,709,1138.63,423,652.99,1974,1236.86,1093,604.55,33,419.89,0,0
Charaideo,1055,856.76,195,143.5,107,38.89,8,3.98,0,0,189,421.84,93,196.83,1578,1234.08,273,162.36,10,130.01,0,0
Chirang,1609,1449.25,199,132.26,58,24.87,44,40.14,0,0,1559,1974.52,994,1204.7,2130,2001.66,631,529.95,12,300.45,0,0
Darrang,1282,1387.24,205,264.45,140,131.53,8,5.33,1,0.22,829,1283.7,603,911.26,3205,2858.16,1363,911.02,22,268.45,3,40.07
Dhemaji,1786,1260.21,258,180.27,237,80.39,14,11.9,0,0,704,1511.14,290,505.16,2932,1872.7,1021,459.3,3,42.12,0,0
Dhubri,1252,1027.49,197,70.6,207,38.18,94,117.78,66,89.15,1476,1819.46,651,676.8,2503,1590.67,1231,578.71,19,398.72,0,0
Dibrugarh,2125,1711.64,330,253.36,165,34.85,31,27.65,0,0,904,1654.81,486,796.53,2778,2248.75,410,171.27,99,1815.39,4,51.01
Dima Hasao,163,139.43,138,128.4,9,4.45,5,3.46,0,0,185,251.09,10,8.06,781,475.49,6,2.68,11,98.43,0,0
Goalpara,1520,1168.13,267,165.21,148,60.84,14,18.23,0,0,936,1158.42,548,722.87,2780,1906.02,1155,591.02,11,76.25,0,0
Golaghat,2176,2523.98,321,280.6,55,25.25,122,147.05,0,0,599,1041.32,393,638.81,3071,3229.9,527,250.55,21,322.86,0,0
Hailakandi,778,520.25,110,89.95,129,28.81,32,40.19,2,4.27,454,615.37,268,363.43,1311,808.98,713,316.17,8,83.81,0,0
Hojai,898,752.58,149,151.06,94,37.86,3,1.3,0,0,130,270.53,17,27.14,1027,834.52,245,139.5,6,30.96,0,0
Jorhat,1990,2013.61,257,160.59,35,25.67,122,96.36,0,0,469,823.3,252,352.76,2846,2639.35,621,430.1,67,1008.52,0,0
Kamrup Metro,2813,2558.28,290,224.2,541,434.52,13,8.12,0,0,1119,1600.16,701,953.52,4635,3914.73,2111,1398.44,34,377.23,0,0
Karbi Anglong,1450,998.69,941,730.31,199,102.44,4,11.05,0,0,272,258.46,121,51.55,3333,1491.32,192,97.64,14,239.76,0,0
Karimganj,666,421.93,109,62.48,82,30.34,49,31.59,3,0.39,396,606.45,126,187.42,1956,1002.07,1313,569.62,6,102.9,0,0
Kokrajhar,776,595.72,140,67.01,73,25.26,12,4.72,1,0.16,1916,2313.97,1350,1558.64,1691,1445.95,805,713.25,11,273.56,0,0
Lakhimpur,2730,2403.32,308,272.91,356,153.92,69,76.13,7,3.13,565,1143.03,338,660.98,3699,3227.44,1036,613.28,25,414.46,0,0
Majuli,482,381.87,54,42.8,53,35.14,1,0.93,0,0,85,133.76,48,61.22,753,522.77,288,140.82,5,41.43,0,0
Morigaon,1382,1079.1,158,144.26,295,225.93,15,8.94,1,0.66,543,816.28,353,531.27,3395,2263.47,1622,1013.81,11,92.84,1,17.89
Nagaon,3481,3126.89,575,345.41,266,108.5,69,57.69,5,2.9,1026,1861.65,574,890.66,4699,4057.68,1113,664.95,42,445.99,6,46.2
Nalbari,2585,3175.88,507,633.31,139,71.24,71,79.5,2,2.48,972,1631.85,638,1082.77,4915,5270.43,1032,501.71,19,328.3,0,0
Sivasagar,1345,1275.75,212,114.64,112,37.5,86,118.19,1,1.75,515,1194.52,198,424.35,2251,2126.3,411,318.89,40,715.5,1,9.93
Sonitpur,3443,3129.93,290,283.02,322,122.78,36,36.69,2,0.05,1067,1933.74,511,826.52,5513,4447.23,1927,891.7,37,564.57,4,37.94
South Salmara,229,119.51,57,63.37,142,29.62,0,0,0,0,382,434.03,319,384.76,290,151.96,200,61.79,0,0,0,0
Tinsukia,2204,2133.27,295,267.49,71,25.67,69,71.39,5,6.18,726,1150.21,343,514.38,2881,2390.02,367,175.13,42,587.3,0,0
Udalguri,1172,1184.4,149,116.39,75,76.72,5,4.64,0,0,1738,2737.94,1310,2179.71,2371,2028.9,926,661.04,7,91.64,1,6.01
West Karbi Anglong,782,503.81,423,334.79,176,93.47,0,0,0,0,21,23.79,1,0.06,2290,999.48,177,94.17,0,0,0,0
