district,period,branch_network__total_branch,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit
Kargil,March 2026,39,43.05,167120.0,388232.0
Leh Ladakh,March 2026,71,46.11,345011.0,748201.0
