district,target_2024_25_fy_physical_shgs_3,financial_inr_in_lakh_4,cumulative_achievement_current_year_physical_shgs_7,financial_inr_in_lakh_8,pct_achievement_physical_shgs_9_7_3,financial_inr_in_lakh_10_8_4,average_loan_size_12_8_7
Angul,16130,79992.90,2289,10876.81,14,14,4.75
Balangir,12050,48264.77,105,405.73,1,1,3.86
Balasore,24770,129801.35,679,3408.92,3,3,5.02
Bargarh,11750,54202.52,765,2700.47,7,5,3.53
Bhadrak,17700,94260.45,2634,13316.59,15,14,5.06
Boudh,3980,19762.22,687,2657.71,17,13,3.87
Cuttack,24385,128411.50,1783,9457.52,7,7,5.30
Deogarh,4450,19006.23,819,3350.39,18,18,4.09
Dhenkanal,12090,60443.04,1533,7444.29,13,12,4.86
Gajapati,6195,25042.45,1171,4283.32,19,17,3.66
Ganjam,31365,156287.15,5358,22823.88,17,15,4.26
Jagatsinghpur,13990,72757.74,2066,9860.68,15,14,4.77
Jajpur,19500,105695.60,2220,10188.16,11,10,4.59
Jharsuguda,4805,23310.24,714,2288.55,15,10,3.21
Kalahandi,9985,40572.66,1450,7607.62,15,19,5.25
Kandhamal,7645,33990.77,1313,3989.18,17,12,3.04
Kendrapara,15900,84865.11,0,0.00,0,0,
Keonjhar,17035,81627.75,2161,10431.19,13,13,4.83
Khordha,19600,120937.00,3131,17882.93,16,15,5.71
Koraput,10045,40210.89,1504,4582.16,15,11,3.05
Malkangiri,4920,19951.28,516,1610.57,10,8,3.12
Mayurbhanj,26535,134164.63,1351,7149.14,5,5,5.29
Nabarangpur,7290,29662.25,989,2816.38,14,9,2.85
Nayagarh,11740,69681.05,1088,5888.66,9,8,5.41
Nuapada,5440,22154.19,1137,3295.85,21,15,2.90
Puri,21415,114356.00,1213,7411.64,6,6,6.11
Rayagada,7120,30119.29,733,1953.88,10,6,2.67
Sambalpur,8880,48656.00,1220,5087.35,14,10,4.17
Subarnapur,5790,24992.23,1313,4588.10,23,18,3.49
Sundargarh,17500,86820.78,2419,11097.74,14,13,4.59
