district,tartgaertg_pemt_epgmpe_2g0p2_42_02254_2_5_a_n_n_aexnunreex_u2r8e_28_idfc_bank,utkal_grameen_bank,federal_bank,odisha_gramya_bank,kotak_mahindra_bank_ltd,karnataka_bank,yes_bank,kvb,rbl_bank,dbs,sib,tmb,city_union_bank,total_target_acc,total_target_mm
Angul,1,0,1,9,0,0,0,0,0,0,0,0,0,194,1099.33
Balangir,1,2,1,0,0,0,0,0,0,0,0,0,0,218,1235.33
Balasore,1,0,1,12,0,0,0,0,0,0,0,0,0,254,1439.33
Bargarh,1,2,1,0,0,0,0,0,0,0,0,0,0,211,1195.67
Bhadrak,1,0,1,10,0,0,0,0,0,0,0,0,0,211,1195.67
Boudh,0,2,0,0,0,0,0,0,0,0,0,0,0,104,589.33
Cuttack,1,0,1,18,1,1,1,1,1,1,0,1,0,346,1960.68
Deogarh,0,1,0,0,0,0,0,0,0,0,0,0,0,104,589.33
Dhenkanal,1,0,1,9,0,0,0,0,0,0,0,0,0,197,1116.33
Gajapati,0,2,0,0,0,0,0,0,0,0,0,0,0,104,589.33
Ganjam,1,2,1,0,1,1,1,0,0,0,0,0,0,389,2204.34
Jagatsinghpur,1,0,1,9,0,0,0,0,0,0,0,0,0,193,1093.67
Jajpur,1,0,1,11,0,0,0,0,0,0,0,0,0,231,1309.00
Jharsuguda,1,2,0,0,0,0,0,0,0,1,0,0,0,152,861.33
Kalahandi,1,2,1,0,0,0,0,0,0,0,0,0,0,218,1235.33
Kandhamal,0,1,0,0,0,0,0,0,0,0,0,0,0,104,589.33
Kendrapara,1,0,1,10,0,0,0,0,0,0,0,0,0,212,1201.33
Keonjhar,1,0,0,11,0,0,0,0,0,0,0,0,0,224,1269.33
Khordha,1,0,2,15,1,1,1,1,1,1,2,0,1,303,1717.01
Koraput,0,1,0,0,0,0,0,0,0,0,0,0,0,110,623.33
Malkangiri,0,1,0,0,0,0,0,0,0,0,0,0,0,104,589.33
Mayurbhanj,1,0,1,13,0,0,0,0,0,0,0,0,0,266,1507.33
Nabarangpur,0,2,0,0,0,0,0,0,0,0,0,0,0,104,589.33
Nayagarh,1,0,0,9,0,0,0,0,0,0,0,0,0,185,1048.33
Nuapada,0,2,0,0,0,0,0,0,0,0,0,0,0,104,589.33
Puri,1,0,0,14,1,0,0,0,0,0,0,0,0,300,1700.01
Rayagada,0,2,0,0,0,0,0,0,0,0,0,0,0,180,1020.00
Sambalpur,1,2,1,0,1,1,1,0,0,0,0,0,0,173,980.33
Subarnapur,0,2,0,0,0,0,0,0,0,0,0,0,0,165,935.00
Sundargarh,1,2,1,0,0,0,0,0,0,0,0,0,0,340,1926.68
