district,no_of_applications_received,no_of_applications_accepted,no_of_applications_sanctioned,no_of_applications_pending,no_of_applications_rejected
Angul,3147,3147,715,9,2423
Balangir,1364,1364,334,492,538
Balasore,4047,3985,1176,520,2289
Bargarh,1364,1364,704,0,660
Bhadrak,1791,1694,281,37,1376
Boudh,236,236,12,0,224
Cuttack,3799,3751,1520,183,2048
Deogarh,78,78,45,0,33
Dhenkanal,2701,2697,1132,130,1435
Gajapati,636,636,201,17,418
Ganjam,1606,1606,323,15,1268
Jharsuguda,267,267,75,6,186
Kalahandi,220,220,139,14,67
Kandhamal,342,342,131,0,211
Kendrapara,16732,15764,3021,17,12726
Keonjhar,832,832,518,0,314
Khordha,1389,1389,540,12,837
Koraput,1096,1093,442,55,596
Malkangiri,2042,2042,298,28,1716
Mayurbhanj,1526,1526,650,0,876
Nabarangpur,1286,1286,441,29,816
Nayagarh,413,413,42,0,371
Nuapada,469,469,133,5,331
Puri,9367,9131,2499,415,6217
Rayagada,2068,2053,550,274,1229
Sambalpur,1218,1218,556,20,642
Subarnapur,173,173,80,0,93
Sundargarh,1908,1908,488,0,1420
