district,name_of_supporting_bank,aap_target_for_fy_2024_25_no_of_programs,no_of_candidates,achievement_no_of_programs,no_of_candidates,pctage,rural_poor_nrlm_target,achievement,pctage
Angul,UCO,34,1050,4,131,12.48,735,131,17.82
Balangir,SBI,31,920,4,127,13.80,644,122,18.94
Balasore,UCO,41,1250,7,239,19.12,875,226,25.83
Bargarh,SBI,34,970,5,169,17.42,679,169,24.89
Bhadrak,UCO,33,1150,4,97,8.43,805,97,12.05
Boudh,SBI,28,920,3,105,11.41,644,101,15.68
Cuttack,UCO,30,980,3,96,9.80,686,87,12.68
Deogarh,CBI,32,1050,4,120,11.43,539,120,22.26
Dhenkanal,UCO,32,1000,6,191,19.10,700,190,27.14
Gajapati,Union Bank,33,980,3,105,10.71,686,105,15.31
Ganjam,Union Bank,31,980,3,100,10.20,686,92,13.41
Jagatsinghpur,UCO,37,1050,3,99,9.43,735,95,12.93
Jajpur,SBI,30,980,9,298,30.41,686,298,43.44
Jharsuguda,SBI,40,1120,5,164,14.64,784,147,18.75
Kalahandi,SBI,28,970,5,159,16.39,679,145,21.35
Kandhamal,SBI,33,980,5,174,17.76,686,174,25.36
Kendrapara,SBI,35,1050,3,93,8.86,735,92,12.52
Keonjhar,BOI,31,1050,7,219,20.86,735,219,29.80
Koraput,SBI,27,860,6,193,22.44,602,169,28.07
Malkangiri,SBI,34,850,6,194,22.82,595,193,32.44
Mayurbhanj,BOI,36,1150,6,200,17.39,805,198,24.60
Nabarangpur,SBI,30,970,8,271,27.94,679,269,39.62
Nayagarh,SBI,32,990,5,167,16.87,693,159,22.94
Nuapada,SBI,26,890,8,267,30.00,623,259,41.57
Puri,UCO,34,1120,2,67,5.98,784,66,8.42
Rayagada,SBI,34,1000,6,202,20.20,700,201,28.71
Sambalpur,SBI,33,990,5,174,17.58,693,166,23.95
Subarnapur,SBI,29,970,3,103,10.62,679,103,15.17
Sundargarh,SBI,33,970,5,149,15.36,679,147,21.65
