district,name_of_rseti,name_of_sponsor_bank,number_of_training_programmes_conducted,number_of_trainees_trained,total_no_of_candidates_settled,settled_under_self_employment,settled_under_wage_employment,self_finance,bank_finance,pct_of_settlement,pct_of_credit_linked
Angul,Angul,UCO Angul,246,8115,6128,5697,431,3010,3118,75.51,54.73
Balangir,Bolangir,SBI Bolangir,264,7847,6310,5886,424,3129,3181,80.41,54.04
Balasore,Balasore,UCO Balasore,301,9838,6933,6448,485,2580,4353,70.47,67.51
Bargarh,Bargarh,SBI Baragarh,283,8141,7227,6403,824,2374,4853,88.77,75.79
Bhadrak,Bhadrak,UCO Bhadrak,283,8799,7227,6832,395,3212,4015,82.13,58.77
Boudh,Boudh,SBI Boudh,252,7481,5070,4793,277,1594,3476,67.77,72.52
Cuttack,Cuttack,UCO Cuttack,266,7974,5345,5137,208,2407,2938,67.03,57.19
Deogarh,Deogarh,CBI Deogarh,218,6891,4717,4633,84,2716,2001,68.45,43.19
Dhenkanal,Dhenkanal,UCO Dhenkanal,267,8555,6087,5923,164,1608,4389,71.15,74.10
Gajapati,Gajapati,Union Bank Paralakhem,undi 312,8352,7203,6606,597,23802,4138,86.24,62.64
Ganjam,Ganjam,Union Bank Chhatrapur,393,9887,7889,6457,1432,3202,4687,79.79,72.59
Jagatsinghpur,Jagatsinghpur,UCO Jagatsinghpur,274,7639,5159,4602,557,2464,2695,67.54,58.56
Jajpur,Jajpur,SBI Jajpur,289,8794,6952,6694,258,2831,4121,79.05,61.56
Jharsuguda,Jharsuguda,SBI Jharsuguda,418,10888,9287,7353,1934,5717,3570,85.30,48.55
Kalahandi,Kalahandi,SBI Kalahandi,290,8324,6413,5224,1189,3749,2664,77.04,51.00
Kandhamal,Kandhamal,SBI Kandhamal,256,7913,6223,5647,576,2533,3690,78.64,65.34
Kendrapara,Kendrapara,SBI Kendrapara,234,10127,7581,6925,656,3209,4372,74.86,63.13
Keonjhar,Keonjhar,BOI Keonjhar,262,7677,5558,4970,588,2796,2762,72.40,55.57
Khordha,RUDSETI,SyndicateCanaraDhar,masthala 468,15179,12769,11409,1360,4024,8745,84.12,76.65
Koraput,Koraput,SBI Koraput,231,6710,4813,4220,593,1895,2918,71.73,68.40
Malkangiri,Malkangiri,SBI Malkangiri,235,6792,5054,4844,210,2376,2678,74.41,55.28
Mayurbhanj,Mayurbhanj,BOI Baripada,348,10079,7854,7402,452,7358,4097,77.92,55.35
Nabarangpur,Nabrangpur,SBI Nabarangpur,239,7700,5660,5094,566,2974,2686,73.51,52.73
Nayagarh,Nayagarh,SBI Nayagarh,271,7796,6118,5872,246,3170,2948,78.48,50.20
Nuapada,Nuapada,SBI Nuapara,264,7542,5962,5602,360,3205,2757,79.05,49.21
Puri,Puri,UCO Puri,278,8389,6082,5850,232,2921,3161,72.50,54.03
Rayagada,Rayagada,SBI Rayagara,245,7209,5955,5145,810,2366,3589,82.61,69.76
Sambalpur,Sambalpur,SBI Sambalpur,292,8465,6922,5807,1115,2720,4202,81.77,72.36
Subarnapur,Subarnapur,SBI Subarnapur,262,7728,6075,5942,133,1756,4319,78.61,72.69
Sundargarh,Sundargarh,SBI Sundargarh,286,8399,6065,5587,483,2838,3227,72.21,57.76
