district,applications_pending,amount_in_cr,sl,banks,applications_pending,amount_in_cr
Angul,20,5.47,1,Bank of Baroda,29,42.85
Balangir,29,8.93,5,Central Bank of India,13,18.63
Balasore,21,12.63,2,Bank of India,23,11.98
Bargarh,37,29.19,3,Bank of Maharastra,4,1.54
Bhadrak,25,6.43,4,Canara Bank,22,3.98
Boudh,1,0.10,6,Indian Bank,100,81.24
Cuttack,120,137.29,7,Indian Overseas Bank,29,135.73
Deogarh,0,0.00,8,Punjab & Sind Bank,7,4.25
Dhenkanal,8,12.49,9,Punjab National Bank,141,85.58
Gajapati,5,0.58,10,State Bank of India,32,3.30
Ganjam,99,88.97,11,UCO Bank,25,7.23
Jagatsinghpur,26,9.27,12,Union Bank of India,89,30.18
Jajpur,12,9.54,13,Axis Bank Ltd,69,29.73
Jharsuguda,8,4.31,14,Bandhan Bank,6,0.93
Kalahandi,29,1.63,15,City Union Bank,0,0.00
Kandhamal,0,0.00,16,DCB Bank Ltd,39,4.96
Kendrapara,17,7.02,17,Federal Bank,2,1.03
Keonjhar,13,13.50,18,HDFC Bank,17,37.90
Khordha,176,131.96,19,ICICI Bank,0,0.00
Koraput,10,14.46,20,IDBI Bank,36,12.05
Malkangiri,12,0.69,21,IDFC Bank,6,0.88
Mayurbhanj,7,1.14,22,Indus Ind Bank,0,0.00
Nabarangpur,7,0.93,23,Karnatak Bank Ltd.,0,0.00
Nayagarh,2,0.25,24,Karur Vysya Bank,1,11.00
Nuapada,7,0.51,25,Kotak Mahindra Bank Lt,d 1,1.97
Puri,60,17.52,26,Laxmi Vilas Bank,0,0.00
Rayagada,13,1.55,27,RBL Bank,0,0.00
Sambalpur,19,20.08,28,Standard Chartered Ban,k 0,0.00
Subarnapur,13,2.71,29,The South Indian Bank L,td. 0,0.00
Sundargarh,19,9.20,30,Tamilnadu Mercantile B,ank Ltd. 0,0.00
