district,total_no_pmjjby_accounts_male_2021_22,2022_23,2023_24,total_no_pmjjby_accounts_female_2021_22,2022_23,2023_24,total_no_pmsby_accounts_male_2021_22,2022_23,2023_24,total_no_pmsby_accounts_female_2021_22,2022_23,2023_24,total_no_apy_accounts_male_2021_22,2022_23,2023_24,total_no_apy_accounts_female_2021_22,2022_23,2023_24,total_no_nps_accounts_male_2021_22,2022_23,2023_24,total_no_nps_accounts_female_2021_22,2022_23,2023_24
Angul,67025,75722,102873,79178,113557,149520,176790,193779,264935,172636,225269,302125,5997,24932,33118,8845,31085,42458,15200,565,464,660,293,103
Balangir,15552,81282,107082,24165,119491,159739,53863,241803,344222,63481,281574,399740,4839,27257,31868,4174,33410,41208,12751,378,264,99,96,47
Balasore,61971,91665,114226,76801,175352,226386,191407,286957,387068,196389,406349,527360,9483,44206,51454,11238,50359,60794,27904,254,432,765,82,99
Bargarh,77674,85071,107483,127551,126550,163743,243717,252108,332217,307748,292620,381675,5024,24645,30230,4544,30798,39570,3442,480,386,117,225,403
Bhadrak,61551,62822,86485,79670,95175,131766,200318,215062,295909,206638,260447,351578,6950,34347,38625,9549,40500,47965,7947,196,212,477,76,63
Boudh,43105,38268,52843,64661,52606,73562,157206,102559,159042,194297,112551,166607,1756,15591,17107,1370,21744,26447,184,41,57,4,11,8
Cuttack,92741,117459,155472,102273,160082,224729,300360,316932,430414,284424,359674,494203,11858,56938,67374,13001,63091,76714,17763,1614,2248,739,729,1382
Deogarh,11390,32375,44422,21061,47089,62110,33534,90562,139859,47514,100757,145779,798,12215,12987,1431,18368,22327,763,169,67,23,22,12
Dhenkanal,65581,90068,115350,90462,137379,171585,203406,198327,268898,209016,238912,313668,5750,24094,32307,7677,30247,41647,5174,464,226,218,107,38
Gajapati,18472,40350,56544,26540,55812,78343,58317,111475,169370,63024,118920,175918,1354,15488,16835,1648,21641,26175,1455,81,136,133,31,25
Ganjam,121786,124980,169132,164738,208063,292101,375763,392796,531610,428206,516004,705233,10909,46227,57412,15311,52380,66752,30375,1178,1237,1780,380,311
Jagatsinghpur,54950,67220,85681,41164,74170,103874,143137,182125,253349,137303,197094,274964,3879,26388,29616,5124,32541,38956,14414,580,372,609,235,76
Jajpur,60920,73227,98739,82356,122466,164726,240944,251945,339539,248347,301193,400961,8115,36693,41793,10506,42846,51133,11433,762,387,669,227,92
Jharsuguda,33130,43859,57871,35111,56187,76161,84737,111891,170392,73160,113971,171662,2169,16823,19237,2618,22976,28577,2494,835,388,64,361,684
Kalahandi,37268,57988,86290,56603,90920,141004,128017,178518,270301,157789,227870,335206,3741,20900,25367,4068,27053,34707,3511,333,190,184,57,25
Kandhamal,22516,44255,58815,41801,70770,93098,82382,112099,171216,109350,144203,206088,1951,15758,16761,2867,21911,26101,415,212,119,5,33,13
Kendrapara,39048,58509,78213,44125,70224,102742,150336,179048,254157,164576,215344,296424,7676,29625,33741,6523,35778,43081,4389,194,193,155,69,85
Keonjhar,77644,122193,150336,94000,126817,159887,203562,278471,379979,214845,283021,378869,11507,45654,50748,16429,51807,60088,5844,406,329,228,105,68
Khordha,127568,114986,145415,114747,138545,186747,396025,339954,447676,318180,326962,439468,11391,57827,68461,11528,63980,77801,37467,4835,4065,1599,2830,3678
Koraput,45625,71433,94689,57053,98813,135266,113951,176979,251573,129599,208093,291642,4858,25920,30455,4821,32073,39795,12497,230,206,780,90,49
Malkangiri,21143,48313,64345,29929,64755,86749,47662,112185,170817,60757,122403,182975,1464,15084,16956,1356,21237,26296,808,79,87,13,19,22
Mayurbhanj,113321,171816,215244,153239,200682,264654,285919,437925,528893,326489,334367,529821,12856,57443,70116,16404,63596,79456,10973,662,401,488,150,97
Nabarangpur,28167,53018,76418,57275,92142,129688,77573,142330,217837,118527,184641,270821,2177,17871,20251,1814,24024,29591,1132,90,78,18,30,15
Nayagarh,26795,49500,67724,47047,81864,115501,94218,147491,215161,119689,178175,252710,3822,22128,25862,5250,28281,35202,6977,215,162,464,71,28
Nuapada,26619,46054,62896,35479,62393,86214,72536,121879,188129,80055,131605,196936,1735,13889,16010,1553,20042,25350,5013,132,57,5,18,6
Puri,59302,79922,98540,73517,114119,144976,221820,206766,280135,222522,238842,323298,6410,33152,40361,8900,39305,49701,13375,1171,491,645,300,1077
Rayagada,37487,51509,71485,48545,71647,100898,85739,140208,203348,99721,158898,227581,2816,20464,24066,3036,26617,33406,7484,372,202,515,104,36
Sambalpur,54726,61114,79632,70459,91056,117834,163012,165519,233823,174232,197181,267375,3767,22343,26722,4744,28496,36062,4804,572,898,146,276,788
Subarnapur,20314,40902,56631,29641,59281,82506,81709,138801,198326,82934,148187,208788,2786,18262,20542,2491,24415,29882,855,48,98,21,19,17
Sundargarh,97594,105281,137230,132056,153814,199182,278892,236753,350569,295350,290433,398395,7966,35513,43277,9880,41664,52605,114754,1061,868,2794,700,1226
