district,name_of_the_block,name_of_the_grama_panchayats,allocated_bank,status_as_on_31032024
Angul,PALLAHARA,NIJIGADA,Bank of Baroda,Not Feasible
Balasore,BASTA,GADAPADA,Bandhan bank,Survey CompletedPermission awaited from appropriate authority
Bargarh,JHARBANDH,LAUDIDARHA,Axis Bank,Not Feasible
Bhadrak,TIHIDI,MUKUNDPUR,Bandhan bank,Survey CompletedPermission awaited from appropriate authority
Boudh,KANTAMAL,BARAGOAN,Axis Bank,Not Feasible
Cuttack,BANKI- DOMPADA,GOPALPUR,Bank of Baroda,Survey CompletedPermission awaited from appropriate authority
Dhenkanal,GONDIA,BAINSIA,Bandhan bank,Survey CompletedPermission awaited from appropriate authority
Jagatsinghpur,ERASAMA,DHINKIA,Bandhan Bank,Survey CompletedPermission awaited from appropriate authority
Jajpur,KOREI,DHANESWAR,Axis Bank,Branch Opened
Jharsuguda,LAIKERA,BHATLAIDA,Axis Bank,Not Feasible
Kandhamal,DARINGBADI,PARTAMAHA,Bandhan bank,Survey CompletedPermission awaited from appropriate authority
Kendrapara,PATTAMUNDAI,SANJARIA,Axis Bank,Not Feasible
Keonjhar,HATADIHI,SAMANA,Bank of Baroda,Survey CompletedPermission awaited from appropriate authority
Koraput,BAIPARIGUDA,DANDABADI,Canara Bank,Branch Opened
Malkangiri,CHITRAKONDA,BADAPADA,Bank of Baroda,Not Feasible
Mayurbhanj,RAIRANGPUR,SANPAKHANA,Axis Bank,Not Feasible
Nabarangpur,RAIGHAR,GONJAPARA,Axis Bank,Not Feasible
Nayagarh,BHAPUR,FATEGARH,BANK OF MAHARASTRA,Survey Ongoing
Nuapada,BODEN,BOIRGAON,Canara Bank,Branch Opened
Puri,PIPILI,HATASAHI,INDIAN BANK,Survey CompletedPermission awaited from appropriate authority
Rayagada,KASHIPUR,KUCHEIPADAR,BANK OF MAHARASTRA,Survey CompletedPermission awaited from appropriate authority
Sambalpur,DHANKAUDA,BISALKHINDA,Bank of Baroda,Not Feasible
Subarnapur,BIRMAHARAJPUR,JATESINGHA,BANK OF MAHARASTRA,Survey Ongoing
Sundargarh,LAHUNIPARA,KALEIPOSH,Bank of India,Survey Ongoing
