district,name_of_supporting_bank,aap_target_for_fy_2023_24_no_of_programs,no_of_candidates,achievement_no_of_programs,no_of_candidates,pctage,rural_poor_nrlm_target,achievement,pctage
Angul,UCO,24,750,23,755,100.67,525,755,143.81
Balangir,SBI,22,660,21,667,101.06,462,635,137.45
Balasore,UCO,31,900,27,902,100.22,630,871,138.25
Bargarh,SBI,23,691,22,697,100.87,483,686,142.03
Bhadrak,UCO,34,850,28,882,103.76,595,881,148.07
Boudh,SBI,22,660,21,664,100.61,462,641,138.74
Cuttack,UCO,21,700,22,728,104.00,490,711,145.10
Deogarh,CBI,22,770,17,545,70.78,539,492,91.28
Dhenkanal,UCO,22,720,22,714,99.17,504,654,129.76
Gajapati,Union Bank,28,700,22,732,104.57,490,731,149.18
Ganjam,Union Bank,24,700,21,702,100.29,490,693,141.43
Jagatsinghpur,UCO,27,750,24,754,100.53,525,720,137.14
Jajpur,SBI,22,700,23,718,102.57,490,718,146.53
Jharsuguda,SBI,29,815,30,830,101.84,571,741,129.77
Kalahandi,SBI,20,695,22,700,100.72,487,638,131.01
Kandhamal,SBI,22,700,22,710,101.43,490,708,144.49
Kendrapara,SBI,25,750,23,773,103.07,525,761,144.95
Keonjhar,BOI,25,750,25,795,106.00,525,795,151.43
Koraput,SBI,20,613,19,620,101.14,429,583,135.90
Malkangiri,SBI,24,600,23,606,101.00,420,557,132.62
Mayurbhanj,BOI,28,830,28,907,109.28,581,676,116.35
Nabarangpur,SBI,20,690,21,696,100.87,483,692,143.27
Nayagarh,SBI,22,710,23,716,100.85,497,675,135.81
Nuapada,SBI,19,635,20,644,101.42,445,631,141.80
Puri,UCO,26,825,25,825,100.00,578,814,140.83
Rayagada,SBI,24,720,23,745,103.47,504,708,140.48
Sambalpur,SBI,24,710,24,766,107.89,497,730,146.88
Subarnapur,SBI,21,690,22,703,101.88,483,703,145.55
Sundargarh,SBI,23,690,23,692,100.29,483,690,142.86
