district,ancillary_ativities_food_and_agro_processing_t,a,pct,others_t,a,pct,total_ancillary_activities_t,a,pct,total_agri_t,a,pct,"micro,_small_and_medium_enterprises_micro_manufacturing_t",a,pct,micro_services_t,a,pct,small_manufacturing_t,a,pct
Angul,18.04,63.84,353.89,13.52,46.81,346.23,31.56,110.65,350.61,1697.98,1928.74,113.59,457.31,626.38,136.97,385.10,767.00,199.17,336.96,392.50,116.48
Balangir,31.39,421.35,1342.32,12.43,117.86,948.19,43.82,539.21,1230.52,1726.14,4451.47,257.89,327.27,367.32,112.24,275.60,505.14,183.29,241.15,256.91,106.53
Balasore,52.74,199.96,379.15,38.54,115.04,298.51,91.28,315.01,345.10,3622.66,2979.89,82.26,657.49,784.99,119.39,553.67,989.94,178.80,484.46,570.77,117.81
Bargarh,38.16,304.53,798.02,2.04,101.52,4976.43,40.20,406.04,1010.06,3346.12,3804.92,113.71,303.30,414.84,136.78,255.41,424.59,166.24,223.48,335.33,150.05
Bhadrak,28.56,82.56,289.08,38.00,53.35,140.40,66.56,135.91,204.20,2698.28,2296.51,85.11,328.52,308.77,93.99,276.65,442.83,160.07,242.07,109.61,45.28
Boudh,14.00,35.13,250.95,13.44,35.18,261.73,27.44,70.31,256.23,766.71,933.47,121.75,47.16,62.59,132.72,39.72,76.74,193.20,34.75,43.00,123.75
Cuttack,556.56,376.20,67.59,27.74,525.05,1892.77,584.30,901.25,154.24,3110.96,4664.22,149.93,1256.92,973.56,77.46,1058.46,1461.58,138.09,926.15,1041.26,112.43
Deogarh,6.66,39.08,586.80,2.15,38.93,1810.84,8.81,78.01,885.52,434.94,633.84,145.73,32.49,30.73,94.57,27.36,58.60,214.18,23.94,12.70,53.04
Dhenkanal,60.39,38.82,64.29,8.15,23.73,291.22,68.54,62.56,91.27,1724.85,1882.07,109.12,167.14,243.01,145.39,140.75,490.75,348.67,123.15,379.45,308.12
Gajapati,71.43,25.80,36.12,13.42,23.07,171.89,84.85,48.87,57.59,834.32,613.11,73.49,58.25,75.45,129.52,49.06,102.50,208.93,42.92,23.07,53.74
Ganjam,178.11,469.34,263.51,9.69,256.27,2644.70,187.80,725.61,386.37,3606.08,5664.42,157.08,1121.05,1227.19,109.47,944.04,1443.60,152.92,826.04,685.08,82.94
Jagatsinghpur,74.71,17.47,23.38,16.92,20.92,123.64,91.63,38.39,41.90,1559.63,1610.33,103.25,170.13,213.61,125.56,143.27,348.64,243.34,125.36,84.30,67.25
Jajpur,64.99,78.41,120.64,52.50,29.59,56.36,117.49,107.99,91.92,3186.85,2926.93,91.84,632.89,366.06,57.84,532.96,667.68,125.28,466.34,396.90,85.11
Jharsuguda,8.13,32.72,402.48,12.20,133.14,1091.32,20.33,165.86,815.85,857.23,1376.54,160.58,301.51,313.36,103.93,253.91,395.07,155.59,222.17,352.99,158.88
Kalahandi,61.01,199.32,326.71,20.94,65.12,310.98,81.95,264.44,322.69,1797.30,2265.98,126.08,179.44,337.19,187.91,151.11,348.91,230.90,132.22,252.27,190.79
Kandhamal,9.97,35.09,351.95,3.04,19.09,627.93,13.01,54.18,416.44,755.88,784.98,103.85,72.66,78.35,107.84,61.19,154.15,251.92,53.54,55.25,103.19
Kendrapara,27.05,42.72,157.92,14.69,42.61,290.06,41.74,85.33,204.43,2426.22,2716.59,111.97,315.73,180.56,57.19,265.88,279.76,105.22,232.65,53.54,23.01
Keonjhar,66.02,32.53,49.27,1.45,242.88,16750.19,67.47,275.41,408.19,2603.03,1533.26,58.90,378.28,333.71,88.22,318.55,543.37,170.58,278.73,775.32,278.16
Khordha,366.61,1091.02,297.60,563.20,2023.34,359.26,929.81,3114.35,334.95,4290.91,7673.96,178.84,3743.19,2421.57,64.69,3152.16,4365.72,138.50,2758.14,3343.48,121.22
Koraput,96.90,97.61,100.73,2.75,81.61,2967.58,99.65,179.22,179.85,1556.41,1860.49,119.54,279.74,383.14,136.96,235.57,470.72,199.82,206.12,181.93,88.26
Malkangiri,9.97,27.80,278.81,2.23,40.56,1819.05,12.20,68.36,560.34,498.87,595.32,119.33,39.60,44.41,112.14,33.35,75.71,227.01,29.18,14.62,50.11
Mayurbhanj,147.84,48.49,32.80,7.50,249.00,3319.97,155.34,297.49,191.51,2482.39,2079.32,83.76,309.15,244.24,79.00,260.34,504.81,193.90,227.80,244.03,107.12
Nabarangpur,32.77,42.94,131.03,1.91,54.18,2836.81,34.68,97.12,280.05,1116.53,1109.06,99.33,71.97,129.61,180.09,60.61,152.53,251.67,53.03,48.40,91.26
Nayagarh,21.27,47.21,221.97,78.49,13.06,16.64,99.76,60.27,60.41,1631.03,2083.08,127.72,125.63,151.65,120.71,105.79,277.80,262.59,92.57,63.12,68.19
