district,nodal_bank_d,eddpe_30_as_on_30062024_eddpe_30_as_on_30062024_annexure_13_annexure_13_mobile_b,pct_coverage_p,"out_of_total_no_of_women_accounts_g6,_no_of_women_q",pct_coverage_for_women_accounts_r,aeps_coverage_total_no_of_accounts_covered_s,pct_coverage_t,"out_of_total_no_of_women_accounts_g6,_no_of_women_u",pct_coverage_for_women_accounts_v,"coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards,_in",pct_coverage_x,"out_of_total_no_of_women_accounts_g6,_no_of_women_y",pct_coverage_for_women_accounts_z
Angul,UCO Bank,641789,44.15,204223,35.76,1221884,84.05,462973,81.07,1449051,99.68,568568,99.56
Balasore,UCO Bank,1026423,37.89,389423,32.72,2330774,86.04,993643,83.50,2703635,99.80,1187342,99.77
Bargarh,State Bank of India,408131,24.22,133881,21.33,1536433,91.16,547549,87.25,1677624,99.54,625715,99.71
Bhadrak,UCO Bank,618800,35.00,231270,29.90,1490049,84.28,624804,80.79,1766236,99.91,772698,99.91
Boudh,Indian Bank,163665,27.72,83507,32.12,487933,82.64,186701,71.81,584160,98.94,257645,99.10
Deogarh,Central Bank of India,114444,29.44,34594,22.79,352798,90.75,126637,83.41,386362,99.38,150628,99.21
Dhenkanal,UCO Bank,481027,38.71,164511,30.60,1074837,86.50,451657,84.02,1240385,99.82,536758,99.85
Gajapati,Union Bank of India,140443,24.20,41266,16.20,492472,84.87,214367,84.13,573139,98.77,254516,99.89
Jagatsinghpur,UCO Bank,552524,40.04,195836,35.24,1108576,80.33,431800,77.71,1377473,99.81,554730,99.84
Jajpur,Union Bank of India,878752,42.43,305876,30.04,1553186,75.00,724904,71.19,2065814,99.75,1016476,99.83
Jharsuguda,State Bank of India,358878,46.04,120658,38.38,673542,86.40,268781,85.49,777464,99.73,313972,99.86
Kalahandi,State Bank of India,356640,25.88,110361,20.61,1257277,91.24,479729,89.61,1374316,99.73,532433,99.46
Kandhamal,State Bank of India,177505,27.71,58413,20.98,583262,91.04,253120,90.92,635179,99.15,277676,99.74
Kendrapara,Punjab National Bank,517938,34.10,259723,44.56,1307506,86.08,494297,84.81,1516207,99.82,581503,99.78
Keonjhar,Bank of India,541653,28.12,158563,19.62,1668209,86.59,664787,82.25,1922290,99.78,805744,99.69
Khordha,State Bank of India,2206984,60.45,779510,50.17,2700337,73.96,1136098,73.12,3644129,99.81,1549886,99.75
Koraput,State Bank of India,313557,26.57,96709,19.49,1061110,89.92,445334,89.74,1168736,99.05,484274,97.59
Malkangiri,State Bank of India,109343,22.15,29974,14.43,455361,92.22,189829,91.41,491295,99.50,206422,99.40
Mayurbhanj,Bank of India,582391,25.95,187296,19.94,1959368,87.30,793803,84.52,2235092,99.59,933514,99.40
Nabarangpur,State Bank of India,155082,16.80,44493,11.06,881569,95.50,367568,91.35,921911,99.87,396204,98.47
Nayagarh,Canara Bank,362691,31.56,119804,27.02,944900,82.22,339267,76.51,1145304,99.66,441626,99.60
Nuapada,Canara Bank,143337,22.03,42899,16.39,587168,90.24,231836,88.57,637836,98.03,256281,97.91
Puri,Uco Bank,716874,41.41,282240,38.89,1404722,81.15,547667,75.46,1724923,99.65,722915,99.61
Rayagada,Indian Overseas Bank,291366,32.28,98677,24.58,797479,88.35,353984,88.19,884404,97.98,396617,98.81
Subarnapur,State Bank of India,161103,24.96,45085,15.90,568564,88.07,243814,85.96,639026,98.99,282697,99.67
Sundargarh,Punjab National Bank,936441,39.23,344616,35.00,2026189,84.89,786788,79.91,2381427,99.77,982902,99.83
