district,total_target,sc_st_no_of_a_cs,sanction_amount,disbursement_amt,women_no_of_a_cs,sanction_amount,disbursement_amt,total_no_of_a_cs,sanction_amount,disbursemen_t_amt
Angul,300,38,7.41,3.50,261,71.70,29.53,299,79.11,33.03
Balangir,292,18,3.83,1.68,99,20.74,9.83,117,24.57,11.51
Balasore,450,40,7.60,2.62,249,55.38,33.38,289,62.98,36.00
Bargarh,292,43,9.79,5.06,142,33.58,18.12,185,43.37,23.18
Bhadrak,280,22,3.94,0.76,127,26.59,10.09,149,30.53,10.85
Boudh,92,16,3.36,1.27,35,7.98,3.47,51,11.34,4.74
Cuttack,838,83,17.18,6.11,556,125.03,62.48,639,142.21,68.59
Deogarh,74,3,0.34,0.14,19,3.94,0.72,22,4.28,0.86
Dhenkanal,278,29,6.65,2.23,174,44.01,18.75,203,50.66,20.98
Gajapati,98,9,1.99,0.58,27,5.50,2.15,36,7.49,2.73
Ganjam,812,76,17.55,6.87,430,106.22,49.54,506,123.77,56.41
Jagatsinghpur,280,27,6.19,2.67,146,36.90,25.82,173,43.09,28.49
Jajpur,362,31,7.69,2.03,205,43.27,22.57,236,50.96,24.60
Jharsuguda,184,24,5.81,3.54,145,36.53,21.64,169,42.34,25.18
Kalahandi,258,35,6.20,3.69,81,19.02,10.18,116,25.22,13.87
Kandhamal,132,21,3.61,2.21,55,9.10,3.82,76,12.71,6.03
Kendrapara,260,14,2.72,0.67,86,16.25,7.79,100,18.97,8.46
Keonjhar,386,35,6.85,3.11,198,48.91,27.12,233,55.76,30.23
Khordha,1220,167,35.66,14.43,960,235.23,120.75,1127,270.89,135.18
Koraput,236,29,6.87,2.64,122,24.63,12.11,151,31.50,14.75
Malkangiri,102,33,7.49,1.88,22,5.08,2.72,55,12.57,4.60
Mayurbhanj,506,67,14.54,4.61,199,43.64,17.70,266,58.18,22.31
Nabarangpur,126,12,2.23,0.92,35,5.66,2.23,47,7.89,3.15
Nayagarh,222,16,3.15,1.25,101,17.75,8.16,117,20.90,9.41
Nuapada,100,9,1.78,0.86,26,4.84,1.72,35,6.62,2.58
Puri,412,38,8.25,2.71,210,43.19,20.27,248,51.44,22.98
Rayagada,198,24,4.94,2.56,98,20.33,11.18,122,25.27,13.74
Sambalpur,376,71,14.60,5.86,278,72.63,43.41,349,87.23,49.27
Subarnapur,128,14,2.36,1.41,34,7.38,3.46,48,9.74,4.87
Sundargarh,486,108,27.09,14.27,431,129.25,72.30,539,156.34,86.57
