district,nodal_bank_d,eddpe_30_as_on_30062024_eddpe_30_as_on_30062024_annexure_13_annexure_13_no_of_op,as_on_31032023_digital_coverage_for_businesses_current_accounts_total_no_of_elig,progress_as_on_30062024_eligible_operative_current_business_accounts_covered_thr,pct_coverage_ad,eligible_operative_current_business_accounts_covered_with_pos_qr_no_of_accounts,pct_coverage_af,eligible_operative_current_business_accounts_covered_with_mobile_banking_etc_no,pct_coverage_ah,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facili,pct_coverage_aj,no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_ak
Angul,UCO Bank,72501,23225,16884,72.70,5286,22.76,13344,57.46,22515,96.94,1057
Balasore,UCO Bank,88061,35488,21831,61.52,7412,20.89,18984,53.49,31467,88.67,2659
Bargarh,State Bank of India,33880,16956,11562,68.19,4189,24.71,7748,45.69,14958,88.22,1038
Bhadrak,UCO Bank,62358,22831,15016,65.77,4109,18.00,9746,42.69,20709,90.71,1107
Boudh,Indian Bank,14186,5372,3763,70.05,1319,24.55,3019,56.20,4988,92.85,312
Deogarh,Central Bank of India,16791,3134,1825,58.23,881,28.11,1563,49.87,2800,89.34,302
Dhenkanal,UCO Bank,52449,13317,9554,71.74,3180,23.88,7065,53.05,13007,97.67,770
Gajapati,Union Bank of India,34949,4592,3119,67.92,1082,23.56,1931,42.05,4472,97.39,368
Jagatsinghpur,UCO Bank,53877,16988,8968,52.79,3740,22.02,8024,47.23,15570,91.65,1331
Jajpur,Union Bank of India,94541,35903,25969,72.33,4577,12.75,16232,45.21,34384,95.77,1450
Jharsuguda,State Bank of India,23332,15023,10629,70.75,2871,19.11,8146,54.22,14288,95.11,704
Kalahandi,State Bank of India,47889,11993,8290,69.12,2386,19.89,5151,42.95,11225,93.60,1363
Kandhamal,State Bank of India,18622,5578,3273,58.68,1241,22.25,2029,36.38,4918,88.17,410
Kendrapara,Punjab National Bank,59278,14505,8436,58.16,3217,22.18,5802,40.00,12957,89.33,998
Keonjhar,Bank of India,144258,29873,20792,69.60,4426,14.82,13048,43.68,25905,86.72,1307
Khordha,State Bank of India,186412,111331,77957,70.02,26731,24.01,57990,52.09,105705,94.95,7129
Koraput,State Bank of India,38430,15975,10830,67.79,2879,18.02,7724,48.35,14775,92.49,966
Malkangiri,State Bank of India,32668,4691,3038,64.76,586,12.49,2234,47.62,4416,94.14,535
Mayurbhanj,Bank of India,159446,19804,12382,62.52,5052,25.51,8631,43.58,18854,95.20,1337
Nabarangpur,State Bank of India,45699,6241,3838,61.50,817,13.09,2815,45.10,5951,95.35,473
Nayagarh,Canara Bank,86415,9588,5387,56.18,2493,26.00,3981,41.52,8437,88.00,641
Nuapada,Canara Bank,22962,6033,4131,68.47,1108,18.37,2875,47.65,5668,93.95,657
Puri,Uco Bank,90173,21476,14150,65.89,6276,29.22,10519,48.98,20850,97.09,1464
Rayagada,Indian Overseas Bank,32977,8616,5548,64.39,2186,25.37,3897,45.23,8260,95.87,635
Subarnapur,State Bank of India,20340,6254,4334,69.30,1355,21.67,2879,46.03,6068,97.03,600
Sundargarh,Punjab National Bank,76502,37651,27619,73.36,6631,17.61,17842,47.39,35255,93.64,1724
