district,bank_of_baroda,bank_of_india,bank_of_maharastr_a,canara_bank,central_bank_of_india,indian_bank,punjab_national_bank,punjab_and_sind_bank,state_bank_of_india,uco_bank,union_bank_of_india,axis_bank_ltd,bandhan_bank,hdfc_bank,icici_bank,idbi_bank,dcb_bank_ltd,indian_overseas_bank,indus_ind_bank
Angul,9,11,1,11,4,9,15,1,62,12,17,6,3,6,6,2,1,5,2
Balangir,10,13,1,13,5,11,17,0,75,14,20,7,3,7,7,2,1,6,2
Balasore,11,15,2,15,6,12,19,1,82,16,22,8,4,8,7,2,1,7,2
Bargarh,10,13,1,13,5,10,17,0,71,14,19,7,3,7,6,2,1,6,2
Bhadrak,9,12,1,12,5,10,16,1,67,13,19,7,3,7,6,2,1,6,2
Boudh,5,6,1,6,2,5,8,0,37,7,10,4,2,4,3,1,1,0,0
Cuttack,14,20,2,20,7,16,28,2,107,21,30,11,5,11,10,3,1,9,2
Deogarh,5,6,1,6,2,5,8,0,35,7,10,4,2,4,3,1,0,4,0
Dhenkanal,9,12,1,12,4,9,15,0,61,13,18,7,3,7,6,2,1,6,0
Gajapati,5,6,1,6,2,5,8,0,33,7,10,4,2,4,3,1,1,4,0
Ganjam,18,27,3,24,9,19,34,1,125,26,36,10,6,10,12,4,2,14,2
Jagatsinghpur,8,11,1,11,4,9,15,1,62,12,17,6,3,6,6,2,1,5,2
Jajpur,10,13,2,13,5,11,18,1,73,15,20,8,3,8,7,2,1,6,2
Jharsuguda,7,9,1,9,3,7,12,0,50,10,14,5,2,5,5,2,0,6,1
Kalahandi,10,13,1,13,5,11,17,0,75,14,20,7,3,7,7,2,1,6,2
Kandhamal,5,6,1,6,2,5,8,0,39,7,10,4,2,4,3,1,0,0,0
Kendrapara,9,12,1,12,5,10,16,0,69,13,19,7,3,7,6,2,1,6,2
Keonjhar,10,13,1,13,5,11,17,0,71,14,20,7,3,7,7,2,1,8,2
Khordha,13,17,2,18,6,14,22,2,92,18,25,10,4,10,9,3,1,8,2
Koraput,5,7,1,7,3,5,9,0,36,7,10,4,2,4,3,1,0,4,1
Malkangiri,5,6,1,6,2,5,8,0,38,7,10,4,2,4,3,1,0,0,1
Mayurbhanj,12,15,2,15,6,12,20,1,85,17,23,9,4,9,8,3,1,7,2
Nabarangpur,5,6,1,6,2,5,8,0,34,7,10,4,2,4,3,1,0,4,0
Nayagarh,8,11,1,11,4,9,14,0,59,12,16,6,3,6,5,2,1,5,2
Nuapada,5,6,1,6,2,5,8,0,38,7,10,4,2,4,3,1,0,0,0
Puri,13,17,3,18,7,14,23,2,94,19,25,10,4,10,9,3,0,11,2
Rayagada,8,11,1,11,4,9,15,0,60,12,17,6,3,6,6,2,1,5,1
Sambalpur,8,10,1,10,4,8,13,1,55,11,16,6,3,6,5,2,1,5,1
Subarnapur,8,10,1,10,4,8,13,0,54,11,15,6,3,6,5,2,1,5,1
Sundargarh,16,21,2,21,9,17,27,1,111,22,32,12,3,12,11,4,1,12,2
