district,no,amt_₹_lakh
Angul,2263,32530.09
Balangir,1696,16214.77
Balasore,3083,24954.70
Bargarh,1486,12160.46
Bhadrak,1990,19218.73
Boudh,491,4243.62
Cuttack,5076,62900.20
Deogarh,424,3281.64
Dhenkanal,1160,9844.59
Gajapati,468,3346.96
Ganjam,4206,36029.75
Jharsuguda,1056,11928.66
Kalahandi,778,9371.73
Kandhamal,705,3898.08
Kendrapara,1359,11164.05
Keonjhar,2969,41224.47
Khordha,7088,113964.70
Koraput,1231,11611.17
Malkangiri,251,2265.46
Mayurbhanj,3061,23189.38
Nabarangpur,494,4466.17
Nayagarh,944,6880.45
Nuapada,326,4026.78
Puri,3452,21500.26
Rayagada,580,5828.26
Sambalpur,1908,20437.94
Subarnapur,944,6289.73
Sundargarh,3001,47862.92
