district,nodal_bank_d,as_on_31032023_eligible_operative_savings_accounts_no_of_accounts_e,"of_which,_no_of_women_accounts_f",debit_rupay_cards_coverage_total_no_of_accounts_covered_g,pct_coverage_h,"out_of_total_no_of_women_accounts_g6,_no_of_women_i",pct_coverage_for_women_accounts_j,internet_banking_coverage_total_no_of_accounts_covered_k,pct_coverage_l,"out_of_total_no_of_women_accounts_g6,_no_of_women_m",pct_coverage_for_women_accounts_n
Angul,UCO Bank,1453690,571100,1209340,83.19,419949,73.53,309042,21.26,86168,15.09
Balasore,UCO Bank,2708949,1190023,2241028,82.73,907974,76.30,435694,16.08,125523,10.55
Bargarh,State Bank of India,1685356,627558,1364179,80.94,455689,72.61,204910,12.16,60414,9.63
Bhadrak,UCO Bank,1767883,773386,1434867,81.16,591638,76.50,259943,14.70,72234,9.34
Boudh,Indian Bank,590414,259987,419729,71.09,162183,62.38,57622,9.76,15167,5.83
Deogarh,Central Bank of India,388762,151825,281957,72.53,91885,60.52,77898,20.04,22783,15.01
Dhenkanal,UCO Bank,1242651,537585,1003754,80.78,388025,72.18,216718,17.44,64418,11.98
Gajapati,Union Bank of India,580278,254795,377855,65.12,154822,60.76,78412,13.51,23060,9.05
Jagatsinghpur,UCO Bank,1380060,555645,1049867,76.07,374871,67.47,245389,17.78,71416,12.85
Jajpur,Union Bank of India,2071031,1018209,1627255,78.57,762397,74.88,424404,20.49,114750,11.27
Jharsuguda,State Bank of India,779541,314397,592491,76.01,215732,68.62,210265,26.97,69627,22.15
Kalahandi,State Bank of India,1377998,535346,1023906,74.30,346814,64.78,199430,14.47,55798,10.42
Kandhamal,State Bank of India,640652,278392,453721,70.82,174655,62.74,111474,17.40,36701,13.18
Kendrapara,Punjab National Bank,1518986,582800,1252019,82.42,456967,78.41,273212,17.99,140341,24.08
Keonjhar,Bank of India,1926503,808285,1432933,74.38,532872,65.93,243666,12.65,63442,7.85
Khordha,State Bank of India,3651171,1553766,3130525,85.74,1286213,82.78,1399852,38.34,484820,31.20
Koraput,State Bank of India,1180001,496248,763555,64.71,274600,55.34,161630,13.70,44547,8.98
Malkangiri,State Bank of India,493753,207675,323952,65.61,124269,59.84,60109,12.17,14196,6.84
Mayurbhanj,Bank of India,2244369,939190,1486140,66.22,506124,53.89,259086,11.54,73737,7.85
Nabarangpur,State Bank of India,923066,402353,575546,62.35,224083,55.69,78421,8.50,21770,5.41
Nayagarh,Canara Bank,1149174,443420,912839,79.43,309288,69.75,149545,13.01,41173,9.29
Nuapada,Canara Bank,650671,261760,422900,64.99,146143,55.83,83027,12.76,23763,9.08
Puri,Uco Bank,1730985,725724,1364699,78.84,521415,71.85,327465,18.92,109202,15.05
Rayagada,Indian Overseas Bank,902604,401394,583691,64.67,231442,57.66,110500,12.24,28160,7.02
Subarnapur,State Bank of India,645549,283621,446733,69.20,190006,66.99,85587,13.26,22118,7.80
Sundargarh,Punjab National Bank,2386876,984616,1882724,78.88,715401,72.66,577425,24.19,212926,21.63
