district,name_of_rseti,name_of_sponsor_bank,number_of_training_programmes_conducted,number_of_trainees_trained,total_no_of_candidates_settled,settled_under_self_employment,settled_under_wage_employment,self_finance,bank_finance,pct_of_settlement,pct_of_credit_linked
Angul,Angul,UCO Angul,250,8246,6247,5816,431,3150,3150,75.76,54.16
Balangir,Bolangir,SBI Bolangir,268,7974,6342,5918,424,3126,3216,79.53,54.34
Balasore,Balasore,UCO Balasore,308,10077,7049,6563,486,2596,4453,69.95,67.85
Bargarh,Bargarh,SBI Baragarh,288,8310,7293,6469,824,2403,4890,87.76,75.59
Bhadrak,Bhadrak,UCO Bhadrak,287,8896,7315,6920,395,3260,4055,82.23,58.60
Boudh,Boudh,SBI Boudh,255,7586,5099,4822,277,1600,3499,67.22,72.56
Cuttack,Cuttack,UCO Cuttack,269,8070,5456,5248,208,2422,3034,67.61,57.81
Deogarh,Deogarh,CBI Deogarh,222,7011,4737,4653,84,2536,2201,67.57,47.30
Dhenkanal,Dhenkanal,UCO Dhenkanal,273,8746,6247,6083,164,1732,4515,71.43,74.22
Gajapati,Gajapati,Union Bank Paralakhem,undi 315,8457,7232,6635,597,3058,4174,85.51,62.91
Ganjam,Ganjam,Union Bank Chhatrapur,396,9987,7964,6532,1432,3231,4733,79.74,72.46
Jagatsinghpur,Jagatsinghpur,UCO Jagatsinghpur,277,7738,5242,4685,557,2524,2713,67.74,57.91
Jajpur,Jajpur,SBI Jajpur,298,9092,7015,6757,258,2751,4164,77.16,61.62
Jharsuguda,Jharsuguda,SBI Jharsuguda,423,11052,9507,7556,1951,5925,3582,86.02,47.41
Kalahandi,Kalahandi,SBI Kalahandi,295,8483,6502,5313,1189,3778,2734,76.65,51.46
Kandhamal,Kandhamal,SBI Kandhamal,268,8087,6349,5773,576,2623,3726,78.51,64.54
Kendrapara,Kendrapara,SBI Kendrapara,337,10220,6899,6240,659,3322,4497,67.50,72.07
Keonjhar,Keonjhar,BOI Keonjhar,269,7896,5769,7178,591,2837,2932,73.06,40.85
Khordha,RUDSETI,SyndicateCanaraDhar,masthala 472,15300,12948,11588,1360,4050,8890,84.63,76.72
Koraput,Koraput,SBI Koraput,237,6903,4882,4289,593,1923,2959,70.72,68.99
Malkangiri,Malkangiri,SBI Malkangiri,241,6986,5080,4870,210,2392,2688,72.72,55.20
Mayurbhanj,Mayurbhanj,BOI Baripada,354,10279,8089,7679,410,3790,4300,78.69,56.00
Nabarangpur,Nabrangpur,SBI Nabarangpur,247,7971,5700,5134,566,2995,2705,71.51,52.69
Nayagarh,Nayagarh,SBI Nayagarh,276,7963,6166,5920,246,3213,2953,77.43,49.88
Nuapada,Nuapada,SBI Nuapara,272,7809,6147,5787,360,3323,2824,78.72,48.80
Puri,Puri,UCO Puri,280,8456,6254,6022,232,2999,3255,73.96,54.05
Rayagada,Rayagada,SBI Rayagara,251,7411,6059,5249,810,2365,3694,81.76,70.38
Sambalpur,Sambalpur,SBI Sambalpur,297,8639,6999,5884,1115,2746,4253,81.02,72.28
Subarnapur,Subarnapur,SBI Subarnapur,265,7831,6168,6035,133,1774,4394,78.76,72.81
Sundargarh,Sundargarh,SBI Sundargarh,291,8548,6130,5647,483,2860,3270,71.71,57.91
