district,digital_coverage_for_individuals_savings_accounts_eligible_operative_savings_acc,"of_which,_no_of_women_accounts_15660052","coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards,_in",pct_coverage_9688,out_of_total_no_of_women_15179502,pct_coverage_for_women_9693,no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_banks_board_a,digital_coverage_for_businesses_current_accounts_total_no_of_eligible_operative,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facili,pct_coverage_9136,no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per
Angul,1414188,601464,1355946,95.88,575063,95.61,93248,22972,21542,93.78,1410
Balasore,2580881,1200256,2518261,97.57,1172538,97.69,133990,34590,30768,88.95,3048
Bargarh,1499495,629285,1461859,97.49,620858,98.66,37633,16142,14264,88.37,1045
Bhadrak,1708797,802760,1632678,95.55,764652,95.25,77045,22278,19472,87.40,1368
Boudh,475621,223088,463466,97.44,219365,98.33,13014,4348,3791,87.19,306
Deogarh,346804,143971,337978,97.46,140576,97.64,18178,2546,2223,87.31,298
Dhenkanal,1190510,537218,1136244,95.44,507409,94.45,54967,12630,11831,93.67,1040
Gajapati,507817,234864,485041,95.51,220199,93.76,28160,3729,3308,88.71,328
Jagatsinghpur,1334993,579862,1260012,94.38,540516,93.21,47225,16703,13761,82.39,1553
Jajpur,1986394,1024417,1935269,97.43,998001,97.42,113727,31541,28904,91.64,1589
Jharsuguda,685884,291196,670103,97.70,288064,98.92,23784,15061,13798,91.61,715
Kalahandi,1232592,532859,1200672,97.41,527189,98.94,49458,11777,10659,90.51,1348
Kandhamal,578709,267584,549229,94.91,255577,95.51,20351,5304,4648,87.63,411
Kendrapara,1405558,596767,1361851,96.89,569718,95.47,67670,14040,11509,81.97,1110
Keonjhar,1951311,903626,1923931,98.60,889390,98.42,145916,29605,27065,91.42,1575
Khordha,3930885,1700867,3860264,98.20,1672905,98.36,236980,115983,109766,94.64,7493
Koraput,1169238,518014,1116233,95.47,501038,96.72,43161,16398,14738,89.88,1003
Malkangiri,474305,208993,457520,96.46,204246,97.73,34326,4513,4172,92.44,528
Mayurbhanj,2368126,1099468,2300999,97.17,1058086,96.24,247979,18819,17667,93.88,1738
Nabarangpur,804742,371627,753305,93.61,354090,95.28,45655,5855,5320,90.86,453
Nayagarh,1114885,479832,1066611,95.67,452835,94.37,83776,9337,8157,87.36,1047
Nuapada,575851,249083,549909,95.50,241487,96.95,24682,5540,5109,92.22,653
Puri,1778511,814632,1720351,96.73,782633,96.07,158403,21017,19296,91.81,2278
Rayagada,837860,386455,809640,96.63,377337,97.64,29895,8659,8004,92.44,655
Subarnapur,587136,268909,571842,97.40,267444,99.46,20354,6207,5762,92.83,585
Sundargarh,2190489,992955,2150111,98.16,978286,98.52,89896,38241,35636,93.19,1817
