district,population_as_per_census_2011,total_branches,branches_per_1_lakh_population,total_bc,bcs_per_1_lakh_population,total_atms,atms_per_1_lakh_population,total_banking_network,banking_network_per_1_lakh_population
Angul,1273821,196,15.39,1170,91.85,275,21.59,1641,128.83
Balangir,1648997,196,11.89,1908,115.71,208,12.61,2312,140.21
Balasore,2320529,284,12.24,2611,112.52,384,16.55,3279,141.30
Bargarh,1481255,187,12.62,1547,104.44,199,13.43,1933,130.50
Bhadrak,1506337,166,11.02,1803,119.69,240,15.93,2209,146.65
Boudh,441162,52,11.79,404,91.58,50,11.33,506,114.70
Cuttack,2624470,475,18.10,2914,111.03,630,24.00,4019,153.14
Deogarh,312520,44,14.08,272,87.03,49,15.68,365,116.79
Dhenkanal,1192811,151,12.66,1512,126.76,178,14.92,1841,154.34
Gajapati,577817,69,11.94,395,68.36,85,14.71,549,95.01
Ganjam,3529031,471,13.35,3476,98.50,613,17.37,4560,129.21
Jagatsinghpur,1136971,174,15.30,2093,184.09,229,20.14,2496,219.53
Jajpur,1827192,235,12.86,1734,94.90,333,18.22,2302,125.99
Jharsuguda,579505,105,18.12,362,62.47,147,25.37,614,105.95
Kalahandi,1576869,172,10.91,1901,120.56,169,10.72,2242,142.18
Kandhamal,733110,78,10.64,701,95.62,88,12.00,867,118.26
Kendrapara,1440361,147,10.21,1093,75.88,195,13.54,1435,99.63
Keonjhar,1801733,229,12.71,1422,78.92,286,15.87,1937,107.51
Khordha,2251673,755,33.53,3094,137.41,1296,57.56,5145,228.50
Koraput,1379647,148,10.73,1018,73.79,167,12.10,1333,96.62
Malkangiri,613192,60,9.78,559,91.16,50,8.15,669,109.10
Mayurbhanj,2519738,295,11.71,2428,96.36,316,12.54,3039,120.61
Nabarangpur,1220946,90,7.37,973,79.69,68,5.57,1131,92.63
Nayagarh,962789,142,14.75,1264,131.29,158,16.41,1564,162.44
Nuapada,610382,75,12.29,711,116.48,76,12.45,862,141.22
Puri,1698730,247,14.54,2455,144.52,304,17.90,3006,176.96
Rayagada,967911,113,11.67,590,60.96,132,13.64,835,86.27
Sambalpur,1041099,208,19.98,761,73.10,256,24.59,1225,117.66
Subarnapur,610183,84,13.77,815,133.57,92,15.08,991,162.41
Sundargarh,2093437,279,13.33,1276,60.95,417,19.92,1972,94.20
