district,total_target,sc_st_no_of_a_cs,sanction_amount,disbursement_amt,women_no_of_a_cs,sanction_amount,disbursement_amt,total_no_of_a_cs,sanction_amount,disbursement_amt
Angul,306,47,9.97,7.96,278,76.87,62.03,325,86.84,69.99
Balangir,292,19,3.97,2.50,100,20.64,13.44,119,24.61,15.94
Balasore,456,42,7.90,4.33,258,57.65,38.82,300,65.55,43.15
Bargarh,292,45,10.13,7.00,151,37.68,26.11,196,47.81,33.11
Bhadrak,282,25,4.68,3.46,132,27.73,15.19,157,32.41,18.65
Boudh,92,17,3.63,2.71,35,7.98,6.45,52,11.61,9.16
Cuttack,844,90,18.34,10.04,563,126.60,77.94,653,144.94,87.98
Deogarh,72,3,0.34,0.14,19,3.94,1.68,22,4.28,1.82
Dhenkanal,280,33,7.66,5.77,187,48.68,37.39,220,56.34,43.16
Gajapati,96,9,1.99,0.72,27,5.50,2.54,36,7.49,3.26
Ganjam,816,81,18.83,13.76,434,108.76,66.87,515,127.59,80.63
Jajpur,368,34,8.17,5.86,210,44.44,28.35,244,52.61,34.21
Jharsuguda,184,25,6.14,4.44,144,36.19,25.00,169,42.33,29.44
Kalahandi,262,35,6.20,4.67,82,19.13,13.07,117,25.33,17.74
Kandhamal,134,21,3.61,2.58,57,9.44,6.42,78,13.05,9.00
Kendrapara,260,16,3.02,2.05,91,17.00,11.69,107,20.02,13.74
Keonjhar,388,39,7.93,5.48,210,53.00,40.63,249,60.93,46.11
Khordha,1230,178,38.22,22.53,985,241.82,148.52,1163,280.04,171.05
Koraput,238,32,7.32,5.88,122,24.63,14.62,154,31.95,20.50
Malkangiri,102,34,7.74,4.51,22,5.08,3.94,56,12.82,8.45
Mayurbhanj,506,72,16.48,13.35,214,47.53,34.28,286,64.01,47.63
Nayagarh,224,20,4.05,2.79,106,20.38,15.61,126,24.43,18.40
Nuapada,102,11,2.09,1.31,30,5.76,2.48,41,7.85,3.79
Puri,416,39,8.68,7.39,218,46.27,28.94,257,54.95,36.33
Rayagada,198,25,5.15,4.13,100,20.66,13.08,125,25.81,17.21
Sambalpur,376,86,17.63,14.59,287,74.33,52.57,373,91.96,67.16
Subarnapur,130,14,2.36,1.88,34,7.23,4.74,48,9.59,6.62
Sundargarh,486,123,31.52,23.90,440,132.25,102.95,563,163.77,126.85
