district,no_of_blocks,no_of_gps,no_of_bhqs,total_gps_bhqs,no_of_service_ready_bhqs,no_of_service_ready_gps,no_of_service_ready_bhqs_gps,no_of_acitve_connectivity_bhqs_gps,pct_of_active_connectivity
Angul,8,219,8,227,8,219,227,216,95.15
Balangir,14,314,14,328,14,314,328,321,97.87
Balasore,10,71,0,71,0,71,71,64,90.14
Bargarh,12,253,12,265,12,253,265,258,97.36
Bhadrak,7,30,0,30,0,30,30,30,100.00
Boudh,2,6,0,6,0,6,6,2,33.33
Cuttack,11,31,0,31,0,31,31,30,96.77
Deogarh,3,10,0,10,0,10,10,7,70.00
Dhenkanal,7,15,0,15,0,15,15,12,80.00
Gajapati,5,21,0,21,0,21,21,2,9.52
Ganjam,13,28,0,28,0,28,28,22,78.57
Jagatsinghpur,3,4,0,4,0,4,4,4,100.00
Jajpur,7,31,0,31,0,31,31,31,100.00
Jharsuguda,5,78,5,83,5,78,83,82,98.80
Kalahandi,12,166,7,173,7,166,173,155,89.60
Kandhamal,7,12,0,12,0,12,12,5,41.67
Kendrapara,5,18,0,18,0,18,18,18,100.00
Keonjhar,8,97,4,101,4,97,101,97,96.04
Khordha,8,22,0,22,0,22,22,20,90.91
Koraput,14,239,14,253,14,239,253,236,93.28
Malkangiri,7,103,7,110,7,103,110,108,98.18
Mayurbhanj,18,81,4,85,4,81,85,68,80.00
Nabarangpur,10,189,10,199,10,189,199,189,94.97
Nayagarh,7,18,0,18,0,18,18,15,83.33
Nuapada,5,131,5,136,5,131,136,136,100.00
Puri,11,38,0,38,0,38,38,38,100.00
Rayagada,11,181,11,192,11,181,192,152,79.17
Sambalpur,9,138,9,147,9,138,147,150,102.04
Subarnapur,6,109,6,115,6,109,115,115,100.00
Sundargarh,17,279,17,296,17,279,296,293,98.99
