district,allied_advance_fishery_t,a,pct,others_t,a,pct,total_farm_credit_t,a,pct,agriculture_infrastructure_storage_facilities_t,a,pct,"land_dev,_soil_conservation,_watershed_dev_t",a,pct,others_t,a,pct,total_agri_infra_t,a,pct
Angul,23.35,26.17,112.07,26.48,2.85,10.76,1621.72,1784.32,110.03,29.28,21.21,72.43,13.97,11.97,85.70,1.45,0.58,40.15,44.70,33.76,75.53
Balangir,15.69,95.43,608.20,2.72,5.84,214.54,1633.29,3754.56,229.88,36.38,124.05,340.98,6.60,32.18,487.59,6.05,1.46,24.16,49.03,157.69,321.62
Balasore,225.13,102.39,45.48,2.23,4.05,181.63,3506.81,2560.71,73.02,2.00,63.69,3184.71,19.41,30.22,155.67,3.16,10.27,324.88,24.57,104.18,423.99
Bargarh,36.56,59.09,161.63,1.98,0.72,36.61,3264.95,3376.84,103.43,25.21,9.01,35.74,4.51,8.09,179.47,11.25,4.93,43.82,40.97,22.03,53.78
Bhadrak,169.35,52.77,31.16,2.87,2.29,79.83,2520.42,2080.91,82.56,84.67,43.96,51.92,16.00,24.42,152.61,10.63,11.30,106.27,111.30,79.68,71.59
Boudh,17.78,17.10,96.15,1.25,0.20,16.10,715.93,845.54,118.10,13.89,0.48,3.48,2.65,16.29,614.86,6.80,0.85,12.51,23.34,17.63,75.53
Cuttack,63.29,75.12,118.69,80.77,36.63,45.36,2511.16,3621.05,144.20,4.70,54.39,1157.29,1.82,82.99,4559.97,8.98,4.53,50.49,15.50,141.92,915.60
Deogarh,13.05,13.92,106.65,0.26,0.00,0.69,408.65,552.83,135.28,11.93,0.17,1.41,4.46,2.69,60.24,1.09,0.14,12.82,17.48,2.99,17.13
Dhenkanal,20.19,41.06,203.38,5.90,6.98,118.30,1623.31,1728.72,106.49,25.49,81.03,317.88,6.43,7.07,109.95,1.08,2.69,249.26,33.00,90.79,275.12
Gajapati,6.12,18.69,305.37,1.77,0.30,16.72,717.51,549.82,76.63,25.66,1.31,5.09,2.86,9.21,322.04,3.44,3.90,113.40,31.96,14.42,45.11
Ganjam,138.02,150.21,108.83,2.21,4.50,203.56,3240.93,4606.15,142.12,148.52,285.45,192.20,14.53,41.80,287.68,14.30,5.41,37.86,177.35,332.66,187.57
Jagatsinghpur,62.92,45.65,72.55,1.13,1.53,135.40,1432.27,1458.90,101.86,19.68,69.36,352.44,7.29,42.63,584.77,8.76,1.05,11.99,35.73,113.04,316.37
Jajpur,46.81,44.01,94.02,18.71,10.93,58.42,2839.15,2703.24,95.21,179.20,56.47,31.51,32.15,56.18,174.74,18.86,3.05,16.20,230.21,115.70,50.26
Jharsuguda,4.89,11.28,230.60,0.48,1.55,323.49,809.79,668.82,82.59,15.83,530.15,3349.05,7.69,11.51,149.71,3.59,0.19,5.30,27.11,541.86,1998.74
Kalahandi,45.58,101.11,221.84,3.07,1.75,57.02,1664.23,1981.87,119.09,37.09,5.75,15.51,11.93,7.57,63.46,2.10,6.35,302.39,51.12,19.67,38.49
Kandhamal,3.73,5.67,151.94,1.08,0.00,0.00,721.24,725.15,100.54,10.86,0.94,8.65,7.27,4.47,61.54,3.50,0.24,6.78,21.63,5.65,26.12
Kendrapara,91.45,78.84,86.21,1.88,1.17,62.32,2356.31,2589.20,109.88,13.10,13.35,101.92,11.63,27.95,240.30,3.44,0.75,21.88,28.17,42.05,149.28
Keonjhar,68.88,11.75,17.06,2.38,3.01,126.29,2358.16,1247.92,52.92,163.79,3.32,2.03,11.36,4.88,42.97,2.25,1.73,76.98,177.40,9.93,5.60
