district,branches_rural,semi_urban,urban,total_branches,banking_correspondent_rural,semi_urban,urban,total_bc,out_of_total_bcs_male_bcs,out_of_total_bcs_female_bcs,out_of_total_bcs_transgender_bcs,out_of_total_bcs_wshg_members,out_of_total_bcs_fixed_bc_points,out_of_total_bcs_no_of_active_bcs,atms_rural,semi_urban,urban,total_atms
Angul,109,80,7,196,902,216,52,1170,837,253,0,154,954,1056,80,189,6,275
Balangir,100,93,3,196,1383,460,65,1908,1538,334,0,121,1759,1880,36,171,1,208
Balasore,172,57,55,284,2030,423,158,2611,1903,702,0,295,2366,2456,120,83,181,384
Bargarh,113,70,4,187,1088,399,60,1547,1278,252,0,88,1372,1504,56,141,2,199
Bhadrak,109,25,32,166,1467,205,131,1803,1348,446,0,153,1628,1739,62,23,155,240
Boudh,30,21,1,52,250,138,16,404,327,38,0,50,344,393,5,45,0,50
Cuttack,228,36,211,475,2337,277,300,2914,2161,694,0,87,2549,2781,149,66,415,630
Deogarh,24,19,1,44,188,75,9,272,196,50,0,50,233,260,10,38,1,49
Dhenkanal,92,58,1,151,1215,265,32,1512,1163,292,0,105,1312,1384,56,121,1,178
Gajapati,44,23,2,69,335,49,11,395,247,146,0,104,367,388,30,50,5,85
Ganjam,215,148,108,471,2510,713,253,3476,2636,817,0,179,3158,3418,101,234,278,613
Jagatsinghpur,116,54,4,174,1853,199,41,2093,1542,481,0,128,1852,2000,84,140,5,229
Jajpur,173,58,4,235,1447,251,36,1734,1254,457,0,165,1546,1631,147,184,2,333
Jharsuguda,37,64,4,105,236,86,40,362,279,62,0,29,290,349,10,136,1,147
Kalahandi,103,66,3,172,1685,180,36,1901,1600,293,0,78,1762,1868,80,88,1,169
Kandhamal,41,37,0,78,504,139,58,701,515,176,0,78,654,690,12,76,0,88
Kendrapara,100,45,2,147,768,264,61,1093,747,246,0,167,895,1042,58,135,2,195
Keonjhar,126,102,1,229,1122,257,43,1422,1100,238,0,111,1184,1332,79,206,1,286
Khordha,179,69,507,755,2555,233,306,3094,1978,1089,0,66,2815,3020,112,194,990,1296
Koraput,80,61,7,148,780,183,55,1018,784,225,0,73,917,1008,27,135,5,167
Malkangiri,37,21,2,60,470,71,18,559,441,87,0,52,471,521,13,37,0,50
Mayurbhanj,198,49,48,295,2032,284,112,2428,1756,654,0,280,2182,2302,115,90,111,316
Nabarangpur,51,37,2,90,806,164,3,973,797,103,0,77,856,961,9,58,1,68
Nayagarh,99,42,1,142,1096,108,60,1264,968,287,0,115,1159,1198,74,83,1,158
Nuapada,44,31,0,75,555,138,18,711,560,93,0,74,651,705,31,45,0,76
Puri,157,28,62,247,2063,235,157,2455,1858,532,0,135,2120,2340,111,42,151,304
Rayagada,68,43,2,113,469,93,28,590,494,82,0,36,507,577,42,89,1,132
Sambalpur,79,34,95,208,456,157,148,761,578,138,0,77,604,728,34,37,185,256
Subarnapur,51,30,3,84,651,148,16,815,711,75,0,45,705,807,20,70,2,92
Sundargarh,120,51,108,279,910,240,126,1276,863,411,0,116,1136,1232,109,100,208,417
