district,export_credit_t,a,pct,education_t,a,pct,housing_t,a,pct,renewable_energy_t,a,pct,others_t,a,pct,social_infra_t,a,pct,total_t,a,pct
Angul,5.00,0.00,0.00,30.60,22.76,74.39,170.85,169.11,98.98,3.40,24.57,722.79,373.05,242.90,65.11,127.30,3.02,2.37,4815.05,5476.30,113.73
Balangir,10.00,0.00,0.00,25.99,12.16,46.81,137.02,123.33,90.01,4.81,3.71,77.11,293.40,214.37,73.07,8.31,23.22,279.41,3928.15,6449.16,164.18
Balasore,1071.00,786.68,73.45,52.53,27.61,52.57,172.13,187.89,109.16,6.05,0.00,0.00,768.94,403.11,52.42,34.78,2.70,7.77,9188.54,7841.43,85.34
Bargarh,5.36,0.00,0.00,39.69,8.66,21.82,241.65,171.97,71.17,4.74,20.35,429.27,339.50,98.58,29.04,26.81,0.00,0.02,5600.17,5796.27,103.50
Bhadrak,5.52,0.00,0.00,34.31,14.53,42.35,359.13,107.34,29.89,4.22,0.00,0.00,505.83,257.00,50.81,17.73,0.18,0.99,5354.08,3815.30,71.26
Boudh,5.10,0.00,0.00,6.31,1.79,28.36,62.69,67.75,108.07,3.04,0.14,4.75,118.39,52.78,44.58,1.87,0.00,0.00,1212.33,1295.97,106.90
Cuttack,17.12,0.94,5.50,86.40,57.69,66.78,583.53,387.33,66.38,11.66,0.13,1.11,811.14,1704.22,210.10,21.99,32.84,149.35,11258.18,12954.49,115.07
Deogarh,0.00,0.00,,8.08,1.89,23.37,28.69,18.02,62.81,0.59,4.57,774.96,77.30,22.55,29.17,1.66,2.27,136.58,722.26,821.48,113.74
Dhenkanal,1.00,0.00,0.00,27.80,16.70,60.08,134.80,132.99,98.66,4.70,32.45,690.36,364.38,163.79,44.95,120.60,0.03,0.02,3257.79,4326.19,132.80
Gajapati,0.80,0.00,0.00,4.46,9.11,204.32,30.81,41.32,134.12,1.60,0.00,0.00,134.27,78.97,58.81,5.22,0.00,0.06,1318.08,1022.05,77.54
Ganjam,0.80,0.00,0.00,92.95,61.51,66.17,529.96,608.81,114.88,1.33,0.37,28.12,960.16,642.41,66.91,7.00,52.37,748.15,11098.55,12238.81,110.27
Jagatsinghpur,0.73,0.00,0.00,106.76,14.03,13.14,135.43,83.27,61.49,5.35,0.00,0.00,332.52,221.65,66.66,9.22,0.00,0.02,3045.08,2811.28,92.32
Jajpur,5.00,0.00,0.00,50.00,18.54,37.08,227.70,143.76,63.14,5.06,0.00,0.00,499.92,289.32,57.87,12.65,5.50,43.48,7318.18,5452.75,74.51
Jharsuguda,5.00,0.25,5.09,18.68,16.52,88.46,105.30,141.13,134.03,2.11,15.11,715.99,108.18,55.78,51.56,7.09,0.00,0.04,2690.52,3621.17,134.59
Kalahandi,4.90,0.00,0.00,25.25,10.71,42.43,149.18,176.95,118.61,2.91,6.27,215.42,241.91,116.63,48.21,7.93,27.19,342.86,3173.81,3852.20,121.37
Kandhamal,3.15,0.00,0.00,9.83,4.69,47.72,35.86,36.23,101.02,1.30,0.00,0.00,121.20,78.06,64.40,2.77,3.93,141.75,1312.41,1282.08,97.69
Kendrapara,1.70,0.00,0.00,19.13,10.56,55.21,158.31,47.67,30.11,2.66,0.03,1.31,377.05,153.33,40.67,10.63,5.15,48.45,4657.46,3647.39,78.31
Keonjhar,35.00,0.00,0.00,4.01,11.70,291.74,15.43,88.58,574.10,1.93,0.00,0.00,239.88,478.72,199.57,10.92,1.06,9.67,4901.14,4602.48,93.91
Khordha,5625.00,3175.09,56.45,180.00,226.20,125.67,1968.75,678.01,34.44,34.56,23.95,69.29,3044.20,1583.64,52.02,48.40,86.74,179.21,34892.82,34882.99,99.97
Koraput,6.20,0.00,0.00,42.53,16.35,38.45,173.44,133.95,77.23,31.21,0.00,0.00,120.00,159.93,133.28,21.81,90.75,416.08,3423.91,3808.78,111.24
Malkangiri,5.20,0.00,0.00,2.34,0.94,40.01,16.35,23.14,141.50,0.07,0.00,0.00,89.75,46.78,52.13,1.54,0.00,0.00,822.55,888.31,107.99
Mayurbhanj,0.75,0.24,32.47,5.78,12.15,210.14,87.33,114.01,130.55,3.59,0.00,0.00,936.48,511.94,54.67,5.91,1.97,33.27,5149.35,4227.67,82.10
Nabarangpur,2.46,0.00,0.00,25.00,3.27,13.10,74.47,34.49,46.31,1.51,0.00,0.00,110.02,106.66,96.95,4.17,2.06,49.45,1712.96,1653.49,96.53
Nayagarh,0.00,0.00,,12.75,10.90,85.50,49.40,98.00,198.39,1.21,0.00,0.00,476.00,327.02,68.70,3.00,0.27,9.07,2834.59,3188.13,112.47
Nuapada,4.25,0.00,0.00,8.50,2.44,28.75,43.52,60.02,137.91,1.02,2.67,261.45,122.50,59.73,48.76,2.55,12.08,473.77,1151.64,1263.49,109.71
Puri,4.84,0.00,0.00,39.10,20.58,52.62,201.11,102.38,50.91,1.24,1.91,154.41,680.70,496.14,72.89,16.05,0.41,2.55,4853.00,5034.72,103.74
Rayagada,0.00,0.00,,14.73,8.30,56.34,78.12,107.19,137.21,1.56,0.00,0.00,157.65,89.03,56.47,4.51,0.02,0.54,2154.49,1844.65,85.62
Sambalpur,5.03,0.00,0.00,42.08,42.29,100.51,197.10,247.92,125.78,3.89,5.35,137.57,350.00,152.32,43.52,13.36,59.82,447.73,5314.72,5555.34,104.53
Subarnapur,5.05,0.00,0.00,11.69,4.17,35.70,36.53,51.37,140.64,1.79,1.86,103.97,146.34,44.97,30.73,3.87,0.00,0.00,1785.20,1951.62,109.32
Sundargarh,600.00,197.94,32.99,126.07,59.57,47.25,409.91,221.27,53.98,8.60,4.54,52.84,354.98,172.09,48.48,29.41,158.05,537.41,11333.21,14015.12,123.66
