district,crop_loan_t,a,pct,term_loan_water_resources_t,a,pct,farm_mechanisation_t,a,pct,plantation_and_horticulture_t,a,pct,forestry_and_wasteland_dev_t,a,pct,allied_advance_ah_dairy_t,a,pct,ah_poultry_t,a,pct,ah_sheep_goat_piggery_t,a,pct
Angul,1231.39,1229.97,99.89,45.28,14.02,30.95,123.59,168.20,136.10,38.69,43.80,113.20,6.80,7.25,106.62,81.06,139.32,171.88,24.69,78.46,317.78,20.39,74.28,364.30
Balangir,1332.88,2165.30,162.45,25.20,20.10,79.78,106.44,193.70,181.98,17.10,66.43,388.45,3.55,6.18,174.01,48.31,183.75,380.35,46.74,74.67,159.76,34.66,943.18,2721.23
Balasore,2381.86,1846.72,77.53,99.60,13.61,13.66,197.15,159.32,80.81,286.22,65.96,23.04,5.36,6.04,112.65,188.95,131.14,69.41,103.52,51.30,49.55,16.79,180.19,1073.19
Bargarh,2736.65,2706.73,98.91,48.16,19.94,41.40,274.85,228.58,83.16,71.16,37.61,52.85,6.08,4.36,71.78,56.80,128.96,227.04,19.56,94.71,484.22,13.15,96.13,731.06
Bhadrak,1717.54,1576.27,91.78,55.96,9.30,16.61,70.34,115.77,164.58,93.06,46.87,50.37,19.05,4.25,22.29,150.61,112.64,74.79,96.46,48.66,50.44,145.18,112.09,77.21
Boudh,602.77,619.94,102.85,6.01,6.20,103.22,34.26,66.38,193.76,13.34,12.00,89.96,1.74,1.10,63.31,12.95,47.70,368.32,16.66,34.03,204.28,9.17,40.88,445.84
Cuttack,1805.99,2254.25,124.82,23.72,35.23,148.54,127.78,299.27,234.20,44.66,82.02,183.65,1.29,11.25,872.46,183.56,360.42,196.35,78.97,169.85,215.08,101.13,297.00,293.68
Deogarh,286.14,426.41,149.02,9.44,3.93,41.63,30.63,39.49,128.92,33.04,5.79,17.51,3.32,0.82,24.73,10.16,26.71,262.90,5.07,18.41,363.07,17.54,17.35,98.93
Dhenkanal,1237.32,1055.39,85.30,54.37,18.70,34.39,75.69,189.88,250.86,112.78,62.54,55.45,6.38,7.61,119.34,61.74,128.90,208.78,31.50,70.81,224.81,17.44,146.85,842.00
Gajapati,538.18,391.77,72.80,17.24,5.33,30.93,25.21,49.73,197.27,36.92,7.91,21.42,4.62,1.13,24.56,52.38,25.60,48.88,19.99,19.74,98.77,15.08,29.62,196.39
Ganjam,2132.12,3089.55,144.91,39.68,52.15,131.43,195.61,479.68,245.22,101.63,104.13,102.46,8.26,20.60,249.34,211.77,318.20,150.26,261.32,204.51,78.26,150.31,182.61,121.49
Jagatsinghpur,1150.35,915.41,79.58,17.06,14.24,83.47,71.57,153.58,214.59,24.29,66.18,272.46,1.14,2.84,249.12,64.13,138.32,215.69,29.32,23.63,80.59,10.36,97.52,941.31
Jajpur,1683.77,1949.89,115.81,40.29,17.95,44.55,193.87,191.70,98.88,43.55,50.13,115.10,9.85,4.48,45.45,148.36,143.23,96.54,96.12,78.93,82.11,557.82,211.99,38.00
