district,annexure_2aan_pmjdy_ptmarjdgye_tt_afrogre_fty_f_2o02r3_f_2y4_2023_24_idfc,indusind,karnataka,kvb,kotak,lvb,rbl,scb,sib,tmb,yes,ogb,ugb,esaf,jana,suryoday,ujjivan,utkarsh,oscb,total
Angul,234,702,234,0,234,0,0,0,0,0,0,7488,0,0,0,468,0,702,2808,44006
Balangir,80,80,0,0,0,0,0,0,0,0,0,0,3520,80,320,640,0,400,1280,15240
Balasore,416,416,0,0,0,0,0,0,0,0,0,11024,0,0,1248,416,0,0,4160,56964
Bargarh,415,415,0,0,0,0,0,0,0,0,0,0,14525,0,2075,830,415,2490,6640,80165
Bhadrak,316,632,0,0,0,0,0,0,0,0,0,9480,0,0,1264,632,0,0,3160,51170
Boudh,0,0,0,0,0,0,0,0,0,0,0,0,8328,0,0,2082,0,3123,5204,52034
Cuttack,792,792,198,198,595,198,0,0,198,198,198,9702,0,198,1188,2376,792,1584,4554,90665
Deogarh,0,0,0,0,0,0,0,0,0,0,0,0,1760,0,0,0,0,220,2200,10796
Dhenkanal,277,0,0,0,277,0,0,0,0,0,0,8310,0,0,1108,1385,0,277,1662,41205
Gajapati,0,0,0,0,0,0,0,0,0,0,0,0,2890,0,0,289,0,0,1445,19961
Ganjam,783,261,261,522,261,0,0,0,0,0,261,0,20097,0,522,2871,0,1305,8874,121910
Jagatsinghpur,227,227,0,0,227,0,0,0,0,0,0,6356,0,0,227,0,682,454,2270,39282
Jajpur,279,1395,279,0,0,0,279,0,0,0,0,11160,0,0,558,837,0,0,2790,63121
Jharsuguda,191,191,0,0,191,191,0,0,0,0,0,0,2483,0,191,382,191,0,955,20019
Kalahandi,324,0,0,0,0,0,0,0,0,0,0,0,13284,0,648,1620,0,1944,4212,54473
Kandhamal,0,0,0,0,0,0,0,0,0,0,0,0,3996,0,334,334,0,999,1998,25338
Kendrapara,346,0,0,0,0,0,0,0,0,0,0,10034,0,0,0,0,0,0,3114,49757
Keonjhar,548,1370,0,0,548,0,0,0,0,0,274,13152,0,0,1370,1370,0,548,5206,62242
Khordha,540,1404,216,108,756,432,324,108,108,0,324,5940,0,108,648,648,324,540,2484,77752
Koraput,0,340,0,0,0,0,0,0,0,0,0,0,12580,340,0,1020,0,680,3400,47660
Malkangiri,0,359,0,0,0,0,0,0,0,0,0,0,5026,0,0,0,0,359,1436,21183
Mayurbhanj,300,600,0,0,0,0,0,0,0,0,0,23400,0,0,1800,900,0,1200,4500,87045
Nabarangpur,0,0,0,0,0,0,0,0,0,0,0,0,12648,0,0,1054,0,1581,2108,42178
Nayagarh,234,234,0,0,0,0,0,0,0,0,0,6084,0,234,702,468,234,936,3042,33263
Nuapada,0,0,0,0,0,0,0,0,0,0,0,0,5415,0,285,285,0,856,1140,21091
Puri,240,720,0,0,0,0,0,0,240,0,240,12240,0,0,480,1680,960,480,3120,58683
Rayagada,0,310,0,0,0,0,0,0,0,0,0,0,8060,0,0,310,0,930,1550,33437
Sambalpur,184,368,184,0,184,0,184,0,0,0,184,0,4232,0,1288,184,184,736,736,35965
Subarnapur,0,257,0,0,0,0,0,0,0,0,0,0,5397,0,1285,514,0,0,2056,21079
Sundargarh,263,1052,263,263,526,0,0,0,0,0,263,0,5523,0,789,789,526,526,4208,72316
