district,population_as_per_census_2011,total_branches,branches_per_1_lakh_population,total_bc,bcs_per_1_lakh_population,total_atms,atms_per_1_lakh_population,total_banking_network,banking_network_per_1_lakh_population
Angul,1273821,196,15.39,1120,87.92,275,21.59,1591,124.90
Balangir,1648997,188,11.40,1991,120.74,206,12.49,2385,144.63
Balasore,2320529,271,11.68,2701,116.40,370,15.94,3342,144.02
Bargarh,1481255,198,13.37,1284,86.68,210,14.18,1692,114.23
Bhadrak,1506337,178,11.82,1705,113.19,236,15.67,2119,140.67
Boudh,441162,53,12.01,339,76.84,49,11.11,441,99.96
Cuttack,2624470,478,18.21,2909,110.84,636,24.23,4023,153.29
Deogarh,312520,44,14.08,236,75.52,48,15.36,328,104.95
Dhenkanal,1192811,151,12.66,650,54.49,180,15.09,981,82.24
Gajapati,577817,70,12.11,365,63.17,86,14.88,521,90.17
Ganjam,3529031,472,13.37,3482,98.67,600,17.00,4554,129.04
Jagatsinghpur,1136971,174,15.30,2070,182.06,233,20.49,2477,217.86
Jajpur,1827192,237,12.97,2647,144.87,326,17.84,3210,175.68
Jharsuguda,579505,105,18.12,358,61.78,146,25.19,609,105.09
Kalahandi,1576869,172,10.91,1917,121.57,169,10.72,2258,143.20
Kandhamal,733110,79,10.78,492,67.11,88,12.00,659,89.89
Kendrapara,1440361,148,10.28,1079,74.91,199,13.82,1426,99.00
Keonjhar,1801733,231,12.82,1923,106.73,281,15.60,2435,135.15
Khordha,2251673,756,33.58,3102,137.76,1291,57.34,5149,228.67
Koraput,1379647,149,10.80,953,69.08,167,12.10,1269,91.98
Malkangiri,613192,60,9.78,497,81.05,50,8.15,607,98.99
Mayurbhanj,2519738,297,11.79,2379,94.41,312,12.38,2988,118.58
Nabarangpur,1220946,91,7.45,596,48.81,69,5.65,756,61.92
Nayagarh,962789,142,14.75,1280,132.95,155,16.10,1577,163.79
Nuapada,610382,76,12.45,506,82.90,72,11.80,654,107.15
Puri,1698730,249,14.66,2492,146.70,309,18.19,3050,179.55
Rayagada,967911,112,11.57,557,57.55,130,13.43,799,82.55
Sambalpur,1041099,208,19.98,752,72.23,254,24.40,1214,116.61
Subarnapur,610183,83,13.60,812,133.07,93,15.24,988,161.92
Sundargarh,2093437,280,13.38,1292,61.72,413,19.73,1985,94.82
