district,no_of_blocks,no_of_gps,no_of_gps_and_bhqs,no_of_gps_bhqs_where_ofc_has_been_laid,no_of_gps_bhqs_with_ofc_e_e_tested,no_of_gps_bhq_service_ready,no_of_gp_lit,no_of_bhq_lit,no_of_gps_inclu_bhq_lit_service_opened,no_of_acitve_connecti_vity_bhqs_gps,pct_of_active_connectivit_y
Balasore,12,288,300,300,300,300,288,12,300,184,61.33
Bhadrak,7,188,195,195,195,195,188,7,195,161,82.56
Boudh,3,62,65,65,65,65,62,3,65,27,41.54
Cuttack,14,342,356,356,356,356,342,14,356,174,48.88
Deogarh,3,60,63,63,63,63,60,3,63,16,25.40
Dhenkanal,8,197,205,205,205,205,197,8,205,76,37.07
Gajapati,7,125,132,132,132,132,125,7,132,7,5.30
Ganjam,22,474,496,496,496,496,474,22,496,238,47.98
Jagatsinghpur,8,194,202,202,202,202,194,8,202,178,88.12
Jajpur,10,282,292,292,292,292,282,10,292,122,41.78
Kalahandi,6,146,152,151,151,151,145,6,151,82,54.30
Kandhamal,12,141,153,153,153,153,141,12,153,120,78.43
Kendrapara,9,227,236,236,236,236,227,9,236,221,93.64
Keonjhar,9,193,202,202,202,202,193,9,202,41,20.30
Khordha,10,168,178,178,178,178,168,10,178,78,43.82
Nayagarh,8,175,183,183,183,183,175,8,183,81,44.26
Puri,11,229,240,240,240,240,229,11,240,145,60.42
