district,shishu_no_of_a_cs,sanctioned_amt,disbursement_amt,kishore_no_of_a_cs,sanctioned_amt,disbursement_amt,tarun_no_of_a_cs,sanctioned_amt,disbursement_amt,total_no_of_a_cs,sanctioned_amt,disbursement_amt
Angul,87830,312.34,309.85,32703,305.11,303.28,1234,95.46,93.7,121767,712.91,706.83
Balangir,104912,407.36,403.27,34128,289.14,287.24,986,78.94,77.21,140026,775.44,767.72
Balasore,106205,382.08,379.88,57525,549.52,547.2,2343,176.87,173.79,166073,1108.47,1100.87
Bargarh,107953,402.97,399.17,22382,208.44,206.13,833,67.32,66.28,131168,678.73,671.58
Bhadrak,105716,397.92,396.53,46949,431.17,429.63,1781,134.95,134,154446,964.04,960.16
Boudh,28197,104.07,103.4,6919,68.58,67.71,398,31.2,30.63,35514,203.85,201.74
Cuttack,218272,769.51,765.96,79249,771.35,765.86,3734,301.03,296.31,301255,1841.89,1828.13
Deogarh,8891,30.23,29.63,2304,28.41,26.48,298,22.48,21.57,11493,81.12,77.68
Dhenkanal,86900,312.49,310.65,28473,257.7,256.09,1199,93.03,92.72,116572,663.22,659.46
Gajapati,20837,75.52,75.02,5845,62.13,60.67,369,27.82,27.69,27051,165.47,163.38
Ganjam,190555,704.28,700.55,87442,824.23,816.35,3594,286.42,283.44,281591,1814.93,1800.34
Jagatsinghpur,94437,342.06,339.71,31591,308.16,306.65,1499,114.09,113.07,127527,764.31,759.43
Jajpur,116823,428.93,426.6,45846,450.46,448.24,2163,166.51,165.31,164832,1045.90,1040.15
Jharsuguda,34259,127.75,127.08,11142,115.69,113.88,676,54.87,53.93,46077,298.31,294.89
Kalahandi,81212,302.46,300.55,22030,191.97,191.24,885,74.21,73.62,104127,568.64,565.41
Kandhamal,50226,181.91,180.96,7900,76.7,75.57,457,36.99,36.59,58583,295.60,293.12
Kendrapara,61240,226.84,225.04,18648,193,191.43,1212,92.96,91.86,81100,512.80,508.33
Keonjhar,84995,288.37,287.27,25448,261.64,259.04,1325,107.1,105.97,111768,657.11,652.28
Khordha,214885,752.15,749.26,88972,945.89,937.34,6079,1028.13,1019.58,309936,2726.17,2706.18
Koraput,59307,210.03,209.51,15272,142.73,140.75,841,69.78,68.64,75420,422.54,418.90
Malkangiri,37631,138.74,137.28,6730,57.22,56.65,321,25.18,24.78,44682,221.14,218.71
Mayurbhanj,186106,605.92,603.61,42532,404.59,398.95,2128,160.55,155.24,230766,1171.06,1157.80
Nabarangpur,41753,154.34,152.62,8707,76.9,76.63,573,43.73,43.49,51033,274.97,272.74
Nayagarh,81925,299.21,298.2,30821,285.82,284.7,1172,86.17,85.45,113918,671.20,668.35
Nuapada,34319,129.17,128.43,10946,89.52,88.53,446,35.24,34.25,45711,253.93,251.21
Puri,122621,427.29,426.82,51634,520.96,518.67,2342,173.65,172.1,176597,1121.90,1117.59
Rayagada,56382,210.91,208.19,15999,139.42,138.14,513,40.66,40.09,72894,390.99,386.42
Sambalpur,69206,247.61,245.55,19238,222.89,220.44,1524,124.81,122.85,89968,595.31,588.84
Subarnapur,45949,174.63,172.9,16637,146.97,145.64,635,50.49,49.34,63221,372.09,367.88
Sundargarh,83337,313.16,311.45,24113,266.94,262.65,2112,164.78,160.04,109562,744.88,734.14
