district,bob,boi,bom,canara,cbi,indian,iob,psb,pnb,sbi,uco,union,axis,bandhan,cub,dcb,federal,hdfc,icici,idbi
Angul,1639,468,234,936,468,702,1170,234,2808,6096,4212,2106,1639,2340,0,234,936,1872,2340,702
Balangir,560,240,160,480,320,560,160,0,560,2120,160,1040,480,640,0,240,80,560,240,240
Balasore,1248,1872,208,2288,832,1664,1040,208,3120,7253,5407,2912,2288,4160,0,208,1248,1664,1248,416
Bargarh,2075,1245,415,1660,830,3321,1245,0,3321,12933,5395,7885,2490,3735,0,1245,415,1660,1660,830
Bhadrak,1264,1896,316,3160,632,632,1264,632,4108,5034,5372,2212,1264,4108,0,316,316,1264,1264,632
Boudh,1041,1041,0,1041,1041,5204,0,0,1041,12478,1041,2082,1041,2082,0,1041,0,1041,1041,1041
Cuttack,2376,3168,595,7326,2574,5148,1386,595,5148,12452,5148,4752,3168,3564,0,198,198,4950,2772,1386
Deogarh,220,220,0,440,1100,220,0,0,440,1336,220,1100,220,220,0,220,0,220,220,220
Dhenkanal,1662,554,277,2216,277,554,554,0,1939,6857,3878,1662,1385,1939,0,277,277,2216,831,554
Gajapati,289,289,289,1445,289,1156,289,0,2312,4355,289,1445,578,578,0,289,0,289,867,289
Ganjam,2349,4959,522,6525,1044,4959,6786,261,5481,20381,2610,12789,4176,3393,0,1044,261,4176,3132,1044
Jagatsinghpur,682,908,454,2951,908,2270,682,227,2951,5000,3178,2270,908,1589,0,454,454,682,1362,682
Jajpur,2511,1395,279,3627,1395,4464,1674,558,3627,7599,2511,5022,1674,4185,0,279,279,1953,1395,1117
Jharsuguda,573,573,191,573,764,955,191,0,1146,3402,1719,1146,573,764,0,0,0,1146,955,382
Kalahandi,1296,972,324,1944,324,972,1296,0,1620,12677,1296,1944,1944,1944,0,972,324,972,972,648
Kandhamal,334,334,334,334,334,334,0,0,666,9008,1665,1332,1332,334,0,334,0,334,334,334
Kendrapara,2076,2076,346,3806,692,3460,346,0,3806,7891,2076,2076,1384,692,0,692,346,1730,1384,1384
Keonjhar,2192,10960,274,1644,822,822,822,0,2466,7167,1096,2741,1096,1644,0,274,0,1370,1644,822
Khordha,3024,4104,756,4428,1944,3888,2592,540,6480,11224,2916,5184,3780,2052,108,540,432,4320,3348,1080
Koraput,680,1020,340,1020,340,1700,1700,0,1360,6860,340,3400,2380,1700,0,1020,0,2380,2720,340
Malkangiri,1077,359,359,359,359,359,0,0,718,4310,718,1436,718,359,0,359,0,1436,1077,0
Mayurbhanj,1200,15600,300,5100,300,600,600,0,5100,9644,1500,3300,1800,3901,0,600,300,1800,1800,900
Nabarangpur,1581,527,527,527,527,527,0,0,1581,7396,527,2108,1581,1054,0,1054,0,1054,3689,527
Nayagarh,2340,936,234,2574,468,936,1170,0,1639,3074,1639,1872,1170,1639,0,234,0,468,468,234
Nuapada,570,570,0,856,570,570,0,0,856,3986,570,856,1140,856,0,570,0,570,285,285
Puri,2880,2400,240,3600,720,1200,1440,240,4320,6843,3360,3120,1440,3600,0,0,0,1200,960,720
Rayagada,620,310,310,620,310,930,2480,0,620,8017,310,1860,1240,1550,0,620,0,620,1240,620
Sambalpur,1104,1104,184,1840,736,552,368,184,2944,6709,2024,2944,1288,1288,0,368,0,2024,1104,552
Subarnapur,771,257,257,514,257,257,257,0,1285,3346,257,1028,771,1028,0,257,0,257,257,514
Sundargarh,2104,3682,526,3945,2630,1052,526,263,6312,17086,2630,3419,2104,2367,0,526,263,3419,3945,526
