district,total_no_of_advance_accounts_2021_22,2022_23,2023_24,total_no_of_pmjdy_od_accounts_2021_22,2022_23,2023_24
Angul,827695,344439,449709,2611,16532,17563
Balangir,786903,466980,569457,2924,34675,36807
Balasore,804840,646062,758441,3163,38531,39703
Bargarh,499703,379468,500229,1242,57435,59637
Bhadrak,607181,659577,607284,5011,29384,29893
Boudh,144064,113645,121841,4561,31266,31521
Cuttack,1003256,1041158,1239841,15102,35546,40181
Deogarh,81031,66333,79657,445,18610,19025
Dhenkanal,392008,285469,301530,5634,13827,15584
Gajapati,129559,115562,124407,3263,9112,10727
Ganjam,998853,928159,1167958,6481,91477,99142
Jagatsinghpur,366077,371737,394173,5742,15078,17369
Jajpur,809556,1346935,957427,5367,68127,71075
Jharsuguda,192997,181749,216842,1067,10422,10829
Kalahandi,340577,341598,376215,1902,16733,17676
Kandhamal,137834,154225,172410,512,4504,4781
Kendrapara,455428,285453,299106,5963,25379,26069
Keonjhar,472170,753332,589509,7830,27775,28943
Khordha,1363738,1653601,2154490,7858,65122,69447
Koraput,292194,300824,336470,1703,39823,40447
Malkangiri,72454,86328,97534,831,44633,45102
Mayurbhanj,660626,625263,754447,15545,17318,20850
Nabarangpur,234925,174297,195345,488,37060,37674
Nayagarh,280766,315894,356323,6619,23678,25011
Nuapada,99509,124232,142990,1643,13693,13885
Puri,414890,597423,752650,4915,36247,40538
Rayagada,170585,174830,232171,461,8425,8691
Sambalpur,306344,374555,500820,1877,30823,30907
Subarnapur,169272,201128,243744,2428,21946,22040
Sundargarh,721362,1023650,747449,5473,16174,18100
