district,"micro,_small_and_medium_enterprises_small_services_t",a,pct,medium_manufacturing_t,a,pct,medium_services_t,a,pct,khadi_and_village_industries_t,a,pct,others_under_msme_t,a,pct,total_msme_t,a,pct
Angul,409.17,593.61,145.08,173.29,258.00,148.88,259.94,382.73,147.24,120.34,1.81,1.51,264.76,63.15,23.85,2406.87,3085.19,128.18
Balangir,292.82,299.05,102.13,124.02,71.21,57.42,186.03,71.12,38.23,86.12,24.44,28.38,189.47,25.70,13.56,1722.48,1620.90,94.10
Balasore,588.28,453.87,77.15,249.15,240.59,96.56,373.73,305.64,81.78,173.02,4.80,2.77,380.65,102.96,27.05,3460.45,3453.54,99.80
Bargarh,271.37,274.77,101.25,114.93,115.81,100.76,172.40,88.50,51.33,79.82,5.40,6.76,175.59,32.56,18.55,1596.30,1691.79,105.98
Bhadrak,293.94,133.48,45.41,124.49,47.03,37.78,186.74,31.02,16.61,86.45,3.76,4.35,190.20,63.24,33.25,1729.06,1139.75,65.92
Boudh,42.20,50.18,118.92,17.87,0.78,4.37,26.81,4.10,15.31,12.41,0.32,2.59,27.30,2.32,8.49,248.22,240.04,96.70
Cuttack,1124.62,1235.47,109.86,476.31,532.97,111.90,714.46,686.34,96.06,330.77,49.89,15.08,727.69,126.03,17.32,6615.38,6107.10,92.32
Deogarh,29.07,30.07,103.43,12.31,0.05,0.44,18.47,0.00,0.00,8.55,1.37,15.98,18.81,4.84,25.73,171.00,138.35,80.91
Dhenkanal,149.54,556.81,372.35,63.34,206.36,325.80,95.00,153.61,161.69,43.98,28.11,63.92,96.76,40.05,41.39,879.66,2098.16,238.52
Gajapati,52.12,53.65,102.93,22.08,0.52,2.37,33.11,10.28,31.06,15.33,0.03,0.20,33.73,14.04,41.63,306.60,279.54,91.17
Ganjam,1003.05,800.15,79.77,424.82,635.75,149.65,637.23,235.09,36.89,295.01,26.11,8.85,649.03,155.94,24.03,5900.27,5208.92,88.28
Jagatsinghpur,152.23,148.00,97.22,64.47,9.88,15.32,96.71,20.98,21.69,44.77,1.76,3.93,98.50,54.83,55.66,895.44,882.00,98.50
Jajpur,566.27,485.13,85.67,239.83,36.24,15.11,359.75,32.85,9.13,166.55,7.42,4.45,366.41,76.42,20.86,3331.00,2068.70,62.10
Jharsuguda,269.78,436.78,161.90,114.26,239.05,209.22,171.39,256.37,149.58,79.35,7.51,9.46,174.56,14.70,8.42,1586.93,2015.83,127.03
Kalahandi,160.55,254.06,158.25,68.00,7.48,11.00,102.00,23.01,22.56,47.22,1.30,2.74,103.89,24.25,23.34,944.43,1248.47,132.19
Kandhamal,65.01,70.61,108.62,27.53,3.96,14.37,41.30,7.16,17.35,19.12,1.20,6.26,42.07,3.52,8.36,382.42,374.20,97.85
Kendrapara,282.50,140.39,49.69,119.65,3.67,3.07,179.47,9.82,5.47,83.09,4.41,5.31,182.79,41.91,22.93,1661.76,714.05,42.97
Keonjhar,338.46,268.14,79.22,143.35,218.44,152.38,215.02,251.93,117.17,99.55,15.31,15.38,219.00,82.94,37.87,1990.94,2489.17,125.02
Khordha,3349.17,4594.64,137.19,1418.47,2777.82,195.83,2127.71,3384.68,159.08,985.05,24.07,2.44,2167.11,523.43,24.15,19701.00,21435.41,108.80
Koraput,250.29,217.76,87.00,106.01,109.65,103.43,159.01,140.41,88.30,73.62,1.51,2.05,161.95,42.20,26.06,1472.31,1547.32,105.09
Malkangiri,35.43,42.98,121.30,15.01,1.57,10.43,22.51,7.41,32.93,10.42,28.97,277.98,22.93,6.47,28.22,208.43,222.13,106.57
Mayurbhanj,276.61,308.72,111.61,117.15,81.83,69.85,175.73,13.64,7.76,81.36,29.36,36.09,178.98,81.42,45.49,1627.12,1508.04,92.68
Nabarangpur,64.40,57.31,88.99,27.27,0.16,0.58,40.91,0.40,0.98,18.94,0.35,1.86,41.67,9.19,22.05,378.80,397.95,105.06
Nayagarh,112.40,102.59,91.27,47.61,8.04,16.89,71.41,2.95,4.13,33.06,6.12,18.51,72.73,56.58,77.79,661.20,668.85,101.16
Nuapada,78.54,59.16,75.33,33.26,0.05,0.16,49.89,0.73,1.46,23.10,2.16,9.36,50.82,2.88,5.66,461.99,303.25,65.64
Puri,275.04,216.35,78.66,116.49,14.49,12.44,174.73,17.47,10.00,80.90,7.79,9.63,177.97,113.62,63.84,1617.91,1464.00,90.49
Rayagada,157.70,120.85,76.63,66.79,0.54,0.80,100.19,1.26,1.26,46.38,2.59,5.59,102.04,28.26,27.70,927.64,645.13,69.55
Sambalpur,475.05,629.70,132.55,201.20,210.89,104.82,301.78,219.67,72.79,139.72,8.68,6.21,307.38,34.10,11.10,2794.40,3033.61,108.56
Subarnapur,117.02,73.40,62.73,49.56,1.88,3.80,74.34,10.61,14.27,34.42,7.20,20.91,75.72,14.91,19.70,688.36,473.91,68.85
Sundargarh,1008.01,1905.18,189.00,426.92,1660.80,389.02,640.39,1990.64,310.85,296.46,6.42,2.16,652.24,42.99,6.59,5929.47,10389.62,175.22
