district,target_2023_24_fy_physical_shgs_3,financial_inr_in_lakh_4,cumulative_achievement_current_year_physical_shgs_7,financial_inr_in_lakh_8,pct_achievement_physical_shgs_9_7_3,financial_inr_in_lakh_10_8_4,average_loan_size_12_8_7
Angul,16130,60130.00,16252,67104.29,101,112,4.13
Balangir,12050,35600.00,12606,38271.70,105,108,3.04
Balasore,24770,97595.00,27781,116629.71,112,120,4.20
Bargarh,11750,40600.00,11767,41911.57,100,103,3.56
Bhadrak,17700,70865.00,17748,73940.74,100,104,4.17
Boudh,3980,14810.00,4267,14855.58,107,100,3.48
Cuttack,24385,96550.00,24784,108400.97,102,112,4.37
Deogarh,4450,14290.00,4774,17071.44,107,119,3.58
Dhenkanal,12090,45440.00,12537,51800.34,104,114,4.13
Gajapati,6195,18490.00,6390,21498.36,103,116,3.36
Ganjam,31365,117000.01,35141,154010.84,112,132,4.38
Jagatsinghpur,13990,56700.00,14051,57754.56,100,102,4.11
Jajpur,19500,79470.00,20089,84330.64,103,106,4.20
Jharsuguda,4805,17275.28,5163,17469.03,107,101,3.38
Kalahandi,9985,30130.00,11239,31420.28,113,104,2.80
Kandhamal,7645,24765.00,8003,24777.71,105,100,3.10
Kendrapara,15900,63819.70,15537,73041.93,98,114,4.70
Keonjhar,17035,61060.00,18118,73425.92,106,120,4.05
Khordha,19600,90900.00,18464,96676.41,94,106,5.24
Koraput,10045,29875.00,9776,27631.47,97,92,2.83
Malkangiri,4920,14820.00,5316,16489.45,108,111,3.10
Mayurbhanj,26535,100875.00,26529,107441.05,100,107,4.05
Nabarangpur,7290,22039.86,7668,22644.24,105,103,2.95
Nayagarh,11740,52390.00,12042,55763.28,103,106,4.63
Nuapada,5440,16465.00,5712,20262.83,105,123,3.55
Puri,21415,85950.00,21055,97359.41,98,113,4.62
Rayagada,7120,22550.00,7210,21944.30,101,97,3.04
Sambalpur,8880,35990.64,9307,37238.85,105,103,4.00
Subarnapur,5790,18545.00,6096,19914.36,105,107,3.27
Sundargarh,17500,65010.00,18223,67594.36,104,104,3.71
