district,branches_rural,semi_urban,urban,total_branches,banking_correspondent_rural,semi_urban,urban,total_bc,out_of_total_bcs_male_bcs,out_of_total_bcs_female_bcs,out_of_total_bcs_transgender_bcs,out_of_total_bcs_wshg_members,out_of_total_bcs_fixed_bc_points,out_of_total_bcs_no_of_active_bcs,atms_rural,semi_urban,urban,total_atms
Angul,109,80,7,196,848,143,129,1120,790,330,0,156,890,1002,79,190,6,275
Balangir,101,82,5,188,1402,372,217,1991,1650,341,0,124,1859,1960,33,172,1,206
Balasore,159,67,45,271,2055,336,310,2701,1976,730,0,309,2437,2538,110,82,178,370
Bargarh,117,67,14,198,1039,184,61,1284,1046,238,0,93,1133,1253,59,146,5,210
Bhadrak,116,33,29,178,1378,140,187,1705,1259,447,0,156,1544,1634,54,26,156,236
Boudh,30,22,1,53,255,74,10,339,274,65,0,46,301,325,5,44,0,49
Cuttack,230,35,213,478,2025,78,806,2909,2152,754,0,111,2530,2744,152,65,419,636
Deogarh,24,19,1,44,165,62,9,236,163,73,0,39,207,269,11,36,1,48
Dhenkanal,92,58,1,151,486,144,20,650,509,141,0,95,532,564,56,123,1,180
Gajapati,44,24,2,70,310,47,8,365,226,139,0,106,353,357,30,51,5,86
Ganjam,216,148,108,472,2496,437,549,3482,2641,839,0,201,3113,3438,101,227,272,600
Jagatsinghpur,116,54,4,174,1640,149,281,2070,1531,543,0,128,1822,1972,87,141,5,233
Jajpur,173,60,4,237,2153,184,310,2647,1982,667,0,121,2340,2550,138,186,2,326
Jharsuguda,37,64,4,105,200,104,54,358,281,77,0,30,285,347,11,134,1,146
Kalahandi,103,66,3,172,1595,127,195,1917,1618,299,0,80,1777,1881,81,87,1,169
Kandhamal,41,38,0,79,358,80,54,492,360,132,0,80,490,488,11,77,0,88
Kendrapara,101,45,2,148,724,228,127,1079,731,348,0,149,868,1011,59,138,2,199
Keonjhar,126,104,1,231,1439,217,267,1923,1542,381,0,120,1674,1824,75,205,1,281
Khordha,178,69,509,756,1518,168,1416,3102,2006,1096,0,87,2780,3049,114,176,1001,1291
Koraput,80,62,7,149,668,160,125,953,733,220,0,77,846,944,26,137,4,167
Malkangiri,38,20,2,60,385,95,17,497,397,100,0,55,418,465,12,38,0,50
Mayurbhanj,199,50,48,297,1898,203,278,2379,1702,679,0,286,2135,2244,114,91,107,312
Nabarangpur,51,38,2,91,420,175,1,596,482,114,0,83,522,584,8,60,1,69
Nayagarh,99,42,1,142,994,106,180,1280,984,296,0,126,1154,1228,69,85,1,155
Nuapada,44,32,0,76,424,63,19,506,398,108,0,77,456,498,30,42,0,72
Puri,159,28,62,249,1827,135,530,2492,1889,603,0,154,2128,2384,114,44,151,309
Rayagada,68,42,2,112,464,63,30,557,462,95,0,35,448,545,38,91,1,130
Sambalpur,79,33,96,208,436,101,215,752,580,173,0,70,592,724,34,37,183,254
Subarnapur,49,31,3,83,590,150,72,812,714,96,0,41,703,799,19,72,2,93
Sundargarh,121,51,108,280,952,180,160,1292,893,409,0,120,1112,1235,107,101,205,413
