district,annual_target_physical_shgs_3,financial_in_lakh_4
Angul,16130,79992.90
Balangir,12050,48264.77
Balasore,24770,129801.35
Bargarh,11750,54202.52
Bhadrak,17700,94260.45
Boudh,3980,19762.22
Cuttack,24385,128411.50
Deogarh,4450,19006.23
Dhenkanal,12090,60443.04
Gajapati,6195,25042.45
Ganjam,31365,156287.15
Jagatsinghpur,13990,72757.74
Jajpur,19500,105695.60
Jharsuguda,4805,23310.24
Kalahandi,9985,40572.66
Kandhamal,7645,33990.77
Kendrapara,15900,84865.11
Keonjhar,17035,81627.75
Khordha,19600,120937.00
Koraput,10045,40210.89
Malkangiri,4920,19951.28
Mayurbhanj,26535,134164.63
Nabarangpur,7290,29662.25
Nayagarh,11740,69681.05
Nuapada,5440,22154.19
Puri,21415,114356.00
Rayagada,7120,30119.29
Sambalpur,8880,48656.00
Subarnapur,5790,24992.23
Sundargarh,17500,86820.78
