district,sr_1,no_of_branches_596,total_deposit_60151,total_advances_investment_24696,c_d_ratio_41
Almora,8,146,621700,179600,29
Bageshwar,9,52,200400,89200,45
Chamoli,6,98,382600,305200,80
Champawat,11,62,246500,112100,45
Haridwar,3,287,2204700,1770400,80
Nainital,12,258,1721400,751600,44
Pauri Garhwal,5,194,919800,254700,28
Pithoragarh,10,107,484300,237200,49
Rudraprayag,7,56,217100,87900,40
Tehri Garhwal,4,136,537700,200400,37
Udham Singh Nagar,13,328,1510800,1651000,109
Uttarkashi,2,66,221300,136600,62
