district,sr,target_no,application_no,sanctioned_no,sanctioned_amt,disbursed_no,disbursed_amt,margin_money_claimed_no,margin_money_claimed_amt,margin_money_disbursed_no,margin_money_disbursed_amt
Almora,1,250,679,261,852,181,472,177,134,51,38
Bageshwar,2,200,552,270,719,207,443,191,139,109,81
Chamoli,4,250,712,238,916,211,800,202,204.99999999999997,100,113.99999999999999
Champawat,3,250,612,326,992,270,681,232,190,101,76
Dehradun,5,200,658,238,1188,219,817,210,152,120,81
Haridwar,6,200,656,225,561,156,286,96,33,5,4
Nainital,7,250,735,288,1315,259,630,207,166,96,84
Pauri Garhwal,8,250,912,363,1391,273,1031,271,262,136,143
Pithoragarh,9,250,630,276,905.0000000000001,254,691,244,206,96,83
Rudraprayag,10,200,467,218,795,207,676,199,181,101,102
Tehri Garhwal,11,250,682,266,828.9999999999999,140,434.99999999999994,114,85,50,35
Udham Singh Nagar,12,200,664,238,1062,210,597,169,127,76,53
Uttarkashi,13,250,1273,439,1334,260,763,245,213,101,88
