district,Target,Disbursement No,Disbursement Amount,Cumilative No,Cumilative Amount
Baksa,794,28,28.49,96,124.25
Barpeta,879,152,228.18,935,774.97
Biswanath,860,101,97.65,627,1019.89
Bongaigaon,709,1514,414.28,1312,1178.64
Cachar,169,60,49.54,764,367.29
Charaideo,625,86,66.92,201,110.73
Chirang,1002,230,143.75,504,425.09
Darrang,747,42,55.95,724,318.84
Dhemaji,1289,156,158.95,1884,429.84
Dhubri,565,425,98,802,288.88
Dibrugarh,906,194,181.05,458,249.14
Dima Hasao,375,127,63.89,33,20.79
Goalpara,597,92,114.8,752,549.69
Golaghat,985,310,365,568,572.91
Hailakandi,388,1564,201.95,4070,2219.66
Hojai,512,110,110.1,903,401.33
Jorhat,1276,338,377.71,1811,1080.07
Kamrup,763,132,151.4,545,533.2
Kamrup Metro,728,59,22.44,95,255.82
Karbi Anglong,1010,63,34.78,331,191.05
Karimganj,290,23,19.77,636,294.83
Kokrajhar,913,95,99.5,159,129.32
Lakhimpur,744,97,29.4,1201,453.13
Majuli,520,48,32,138,100.5
Morigaon,305,41,43.7,1444,697.1
Nagaon,1771,541,680.74,1071,629.96
Nalbari,1075,189,177.09,265,493.51
Sivasagar,527,82,51.15,591,434.59
Sonitpur,1148,190,159.68,940,700.38
South Salmara,247,0,0,0,0
Tinsukia,1220,753,337.92,679,801.66
Udalguri,1041,13,19.75,207,139.57
West Karbi Anglong,778,38,19.65,165,70.1
