district,Lending Number of Muslim,Lending Amount of Muslim,Outstanding Number of Muslim,Outstanding Amount of Muslim,Lending Number of Christian,Lending Amount of Chriatian,Outstanding Number of Christian,Outstanding Amount of Christian,Lending Number of Sikh,Lending Amount of Sikh,Outstanding Number of Sikh,Outstanding Amount of Sikh,Lending Number of Budhist,Lending Amount of Budhist,Outstanding Number of Budhist,Outstanding Amount of Budhist,Lending Number of Zoroastrian,Lending Amount of Zoroastrian,Outstanding Number of Zoroastrian,Outstanding Amount of Zoroastrian,Lending Number of Jain,Lending Amount of Jain,Outstanding Number of Jain,Outstanding Amount of Jain,Total Lending No,Total Lending Amt,Total Outstanding No,Total Outstanding Amt
Baksa,337,442.36,4542,3117.47,2,1.52,151,113.13,0,0,23,24.5,0,0,5,4.5,0,0,0,0,0,0,17,15.13,339,443.88,4738,3274.73
Barpeta,20261,13820.44,78941,51710,27,50.65,203,212,4,4,30,47.92,2,0.67,10,11.46,1,0.7,6,3.65,4,5,39,85.02,20299,13881.46,79229,52070.05
Biswanath,102,77.55,3306,1984.13,9,10.87,662,197.64,2,4,7,13.08,0,0,0,0,0,0,5,3.91,0,0,6,19,113,92.42,3986,2217.76
Bongaigaon,9079,5084.9,28920,16962.65,501,338.59,1577,1872.04,3,10.36,171,134.46,26,20.39,599,2557.39,0,0,0,0,5,24,34,121.57,9614,5478.24,31301,21648.11
Cachar,14255,12309.02,78837,51366.25,547,564.72,2118,1986.23,7,22.68,82,139.9,3,5.1,42,49.66,1,2,10,8.68,17,113.58,92,450.7,14830,13017.1,81181,54001.42
Charaideo,391,356.77,2444,1351.31,33,14,159,43.06,0,0,16,28.28,3,1.35,34,11.38,0,0,1,0.33,0,0,10,26.1,427,372.12,2664,1460.46
Chirang,1544,1278.19,7227,5086.35,44,57.02,2205,1479.12,0,0,6,11.21,0,0,6,5.87,0,0,4,3.84,0,0,3,8,1588,1335.21,9451,6594.39
Darrang,11369,8034.45,43764,25287.08,15,32.48,241,317.36,2,6,98,168.01,5,10.9,50,79.66,1,0.39,1,0.12,21,77.1,133,438.24,11413,8161.32,44287,26290.47
Dhemaji,117,82.24,1827,1935.69,16,44.85,295,294.63,3,8.1,107,595.48,0,0,96,168.44,0,0,3,6.01,4,9.62,530,1449.07,140,144.81,2858,4449.32
Dhubri,24373,16628.79,86623,55131.34,128,89.57,864,521.59,6,11.1,61,117.28,10,6.65,26,16.47,1,1.3,2,1.39,13,33.9,84,214.15,24531,16771.31,87660,56002.22
Dibrugarh,2745,2426.92,16437,16283.72,210,498.82,2305,1743.75,34,68.88,326,1842.17,9,10.09,301,256.28,1,3,37,41.23,38,173.3,1243,9397.97,3037,3181.01,20649,29565.12
Dima Hasao,23,45.37,577,592.93,290,546.9,1319,2062.01,0,0,26,142.94,0,0,63,61.08,0,0,0,0,0,0,0,0,313,592.27,1985,2858.96
Goalpara,2598,1848.13,20022,18006,605,390.86,3131,2248.94,0,0,23,32.5,4,3.3,23,13.01,0,0,2,0.63,3,1.87,19,36.3,3210,2244.16,23220,20337.38
Golaghat,2944,2218.96,13983,9074.41,255,139.65,2209,1132.82,6,11.16,158,493.46,25,21.63,208,385.4,1,0.7,14,17.24,4,27.92,94,1902.28,3235,2420.02,16666,13005.61
Hailakandi,4286,3832.71,26232,17579.77,34,30.2,207,186.91,0,0,34,37.82,1,0.8,15,15.85,0,0,0,0,0,0,17,46.96,4321,3863.71,26505,17867.31
