District,Target,Disbursement No.,Disbursement Amt,Cumilative No.,Cumilative Amt
Baksa,153,18,6.09,450,605.78
Barpeta,169,18,35.95,521,908.74
Biswanath,106,0,0,49,88.14
Bongaigaon,154,14,120.36,5980,394.01
Cachar,26,20,25.97,661,775.87
Charaideo,106,0,0,0,0
Chirang,153,13,29.11,398,497.96
Darrang,154,11,10.4,312,423.11
Dhemaji,154,41,71.53,627,1220.98
Dhubri,169,37,118.94,695,804.48
Dibrugarh,138,41,54.77,947,1389.52
Dima Hasao,26,16,25.38,199,276.9
Goalpara,139,9,8.55,561,647.7
Golaghat,153,17,22.78,633,1032.46
Hailakandi,26,21,20.26,486,529.47
Hojai,117,8,11.5,343,366.54
Jorhat,153,21,38.42,649,931.89
Kamrup Metro,229,44,61.13,860,1136.54
Karbi Anglong,26,11,17.47,404,384.53
Karimganj,26,24,24.55,507,589.39
Kokrajhar,168,26,52.49,628,759.07
Lakhimpur,138,19,20.3,596,785.74
Majuli,114,0,0,0,0
Morigaon,153,21,26.4,831,850.46
Nagaon,169,12,11.13,695,1019.94
Nalbari,153,18,21.35,481,798.09
Sivasagar,154,25,60.99,528,860.1
Sonitpur,153,21,29.13,688,961.06
South Salmara,154,0,0,0,0
Tinsukia,138,21,35.83,560,1030.93
Udalguri,153,30,40.16,418,465.94
West Karbi Anglong,26,0,0,1,0.25
