district,Urban Number,Urban Amount,Semi Urban Number,Semi Urban Amount,Rural Number,Rural Amount,Total Number,Total Amount
Baksa,0,0,3,8.01,1014,5848.43,1017,5856.44
Barpeta,0,0,1563,12992.37,1454,10764.67,3017,23757.04
Biswanath,0,0,68,390.65,182,738.81,250,1129.46
Bongaigaon,0,0,1490,13542.58,251,1876.03,1741,15418.61
Cachar,2684,18169.6,169,2147.1,608,4942.06,3461,25258.76
Charaideo,0,0,234,318.96,81,517.9,315,836.86
Chirang,0,0,62,65.96,424,470.04,486,536
Darrang,3,16.21,1162,8434.09,369,1816.89,1534,10267.19
Dhemaji,0,0,993,8201.47,456,3156.64,1449,11358.11
Dhubri,0,0,1498,8893.27,558,2951.04,2056,11844.31
Dibrugarh,2885,27011.62,972,9019.91,1381,12165.95,5238,48197.48
Dima Hasao,0,0,92,1016.87,36,318,128,1334.87
Goalpara,0,0,618,4635.06,312,1829.19,930,6464.25
Golaghat,37,520.95,1674,13965.06,687,6090.52,2398,20576.53
Hailakandi,0,0,1037,7401.75,76,513.6,1113,7915.35
Hojai,1,7.91,160,1886.14,95,758.63,256,2652.68
Jorhat,559,4721.22,2714,25757.91,865,6485.2,4138,36964.33
Kamrup Metro,104,1799.57,1041,8343.03,2096,16509.76,3241,26652.36
Karbi Anglong,0,0,454,4820.8,330,2688.26,784,7509.06
Karimganj,0,0,889,6053.72,312,2053.01,1201,8106.73
Kokrajhar,0,0,868,5736.14,230,2041.89,1098,7778.03
Lakhimpur,53,613.58,1683,11785.24,1093,7159.15,2829,19557.97
Majuli,0,0,372,1698.95,30,265.45,402,1964.4
Morigaon,0,0,987,1334.97,631,3702.62,1618,5037.59
Nagaon,1643,13525.16,1073,9205.94,1342,10862.99,4058,33594.09
Nalbari,3,13.5,1688,11905.18,1293,5305.87,2984,17224.55
Sivasagar,0,0,2349,16849.83,567,4022.71,2916,20872.54
Sonitpur,41,434.65,3289,26023.55,1499,8518.76,4829,34976.96
South Salmara,0,0,0,0,25,64.99,25,64.99
Tinsukia,1742,17936.01,603,4958.57,694,6785.07,3039,29679.65
Udalguri,0,0,1129,10917.91,243,1503.54,1372,12421.45
West Karbi Anglong,0,0,3,0.94,13,81.36,16,82.3
