District,Current Year Number of Cards issued,Current Year Limit Sanctioned,Cumilative Position Number of Cards issued,Cumilative Position Limit Sanctioned
Baksa,1129,451.21,8524,4380.14
Barpeta,4762,1914.37,39192,20869.31
Biswanath,1295,757.1,10566,5851.58
Bongaigaon,1183,547.71,14122,24875.14
Cachar,5069,3588.35,42881,26544.82
Charaideo,531,290.43,4229,2588.73
Chirang,559,290.63,6758,3914.68
Darrang,4730,2125.81,19867,10623.22
Dhemaji,2503,1464.69,13633,7334.17
Dhubri,3437,2015.68,26513,13519.25
Dibrugarh,9677,5103.63,57948,31685.1
Dima Hasao,361,110.23,2409,821.27
Goalpara,7256,3132.6,35423,15262.94
Golaghat,4859,1986.1,27531,13481.31
Hailakandi,1895,1120.31,13351,8049.46
Hojai,5493,2490.09,29835,15397.97
Jorhat,5259,2722.47,42252,23429.06
Kamrup Metro,4705,2093.83,35499,17292.01
Karbi Anglong,4142,1453.76,27288,9561.08
Karimganj,2521,1017.72,16836,9868.8
Kokrajhar,4066,2969.14,22560,12487.42
Lakhimpur,3683,1432.24,24579,11468.07
Majuli,420,237.98,3205,1951.42
Morigaon,3555,1588.46,27408,14412.97
Nagaon,11586,4991.93,69692,33485.15
Nalbari,2882,1112.32,19695,8550.14
Sivasagar,7535,3400.53,25228,11113.36
Sonitpur,3175,1629.8,26150,13324.63
South Salmara,101,35.08,395,176.93
Tinsukia,5746,2490.52,39992,23574.09
Udalguri,1315,1325.47,20588,13221.35
West Karbi Anglong,1801,834.25,13986,5542.19
