District,CropProduction,WaterResources,Farm,Plantation,Animal Husbandry,Agri Others,Agri Infrastructure,Anciliary Activities,Agri Total,Msme Term,Msme Working,Msme Total,Export Credit,Education,Housing,Service Others,Social Infra,Services Total
Baksa,576.89,19.95,54.86,34.78,168.64,186.36,10.65,30.64,1082.77,452.38,948.83,1401.21,3,10.97,120.21,33.63,0.19,168
Barpeta,3520.49,76.11,233.75,50.43,4534.65,2118.99,196.58,506.91,11237.91,13685.65,2234.81,15920.46,0,119.94,1004.9,226.41,8.41,1359.66
Biswanath,537.11,0,24.9,45,2.09,182.47,0,66.13,857.7,204.9,141.54,346.44,0,0,23,163.18,0,186.18
Bongaigaon,1489.58,39.39,37.33,57.05,819.11,682.18,16.97,296.67,3438.28,8612.64,8352.39,16965.03,0,111.2,607.54,255.79,2.48,977.01
Cachar,4444.35,14.75,114.07,69.61,2314.37,1423.63,34.39,207.05,8622.22,26426.2,4241.1,30667.3,0,299.97,1116.67,155.18,6.56,1578.38
Charaideo,185.95,0,0,0,464.49,114.75,0,179.55,944.74,1838.17,70.57,1908.74,0,8.86,28.94,379.29,0,417.09
Chirang,337,0,2.95,18.1,107.75,199.3,8.83,100.95,774.88,3159.95,488.47,3648.42,0.42,10.25,31.84,11.47,0,53.98
Darrang,1445.78,62.69,249.77,81.44,1436.57,1499.71,100.19,898.16,5774.31,6622.74,845.84,7468.58,0,89.94,394.6,286.22,11.79,782.55
Dhemaji,1545,0,39.12,15.82,245,176.12,0,101.53,2122.59,2746.16,362.12,3108.28,0,9.08,97,34.05,0,140.13
Dhubri,2208.14,5.12,61.86,47.31,2556.41,249.11,4.96,76.01,5208.92,16543.75,248.17,16791.92,55.85,99.18,538.45,1138.07,111.79,1943.34
Dibrugarh,4278.53,11.28,210.16,223.4,1943.74,2784.5,31.2,1299.29,10782.1,13327.12,4998.23,18325.35,22.12,312.83,1803.11,864.42,18.27,3020.75
Dima Hasao,248.37,0,0,6.01,150.9,67.65,0,27,499.93,270.35,624.11,894.46,0,11.64,637.09,44.83,0,693.56
Goalpara,847.94,4.85,75.15,71.11,358.37,232.12,6.22,279.98,1875.74,3129.34,393.44,3522.78,3.96,38.07,134.13,18.67,5.23,200.06
Golaghat,5863.52,19.72,154.21,301.78,2255.61,2157.12,24.79,484.41,11261.16,9657.47,1785.62,11443.09,0.2,92.28,579.62,424.5,4.88,1101.48
Hailakandi,2335.09,25.85,175.85,242.79,700.8,110.38,69.57,59.22,3719.55,2630.61,917.04,3547.65,4.12,23.38,99.29,168.64,2.15,297.58
Hojai,504.48,0,54.73,0,128.56,77.55,39.5,136.33,941.15,468.35,134.04,602.39,0,4,97.68,0.2,0,101.88
Jorhat,5923.35,41.35,118.84,266.04,3953.37,3800.05,299.08,3191.12,17593.2,16761.57,3376.2,20137.77,13.85,241.67,1070.46,693.55,4.17,2023.7
Kamrup Metro,3597.38,8.73,115,100,3323.17,2388.35,37.69,3093.11,12663.43,28798.95,3997.62,32796.57,0,426.14,2029.31,470.79,2.07,2928.31
Karbi Anglong,1395.82,0,7,17.17,687.65,435.31,0,46.9,2589.85,527.51,604.62,1132.13,0,23.52,1996.17,0.32,0,2020.01
Karimganj,1052.54,7.85,2.89,4.82,1223.87,723.56,2.96,225.72,3244.21,11030.38,702.66,11733.04,0,56.3,221.63,430.36,5.12,713.41
Kokrajhar,671.94,11.85,47.35,141.8,220.35,109.97,96.63,103.23,1403.12,319.96,4328.62,4648.58,3.96,25.18,202.15,22.21,21.52,275.02
Lakhimpur,4182.85,3.85,102.23,58.95,1712.23,1252.94,8.63,247.25,7568.93,7920.35,446.56,8366.91,0,35.45,844.23,337.38,16.85,1233.91
Majuli,17.96,0,0,1.9,0,56,0,0,75.86,28.02,5,33.02,0,0,0,68.1,0,68.1
Morigaon,1988.48,85.85,171.8,178.75,2836.57,773.36,52.91,184.16,6271.88,8784.73,550.27,9335,11.85,46.59,739.19,93.02,0.89,891.54
Nagaon,6169.59,19.29,255.9,159.84,5773,2712.54,28.08,83.32,15201.56,19570.44,1875.03,21445.47,150,215.14,1033.24,432.61,1.08,1832.07
Nalbari,2003.65,7.85,48.47,50.11,711.66,1290.32,53.83,33.06,4198.95,5268.85,1568.19,6837.04,0,61.16,750.71,289.31,0.63,1101.81
Sivasagar,3597.97,4.14,135,166.34,3289.26,1365.94,10.6,367.52,8936.77,11034.41,1517.33,12551.74,0,74.84,1212.42,237.54,5.35,1530.15
Sonitpur,4171.1,6.58,65.03,82.52,4865.58,1624.19,11.74,418.05,11244.79,17952.22,1825.54,19777.76,0,136.4,1747.6,492.84,28.25,2405.09
South Salmara,0,0,0,0,0,0,0,0,0,65.32,0,65.32,0,0,0,0,0,0
Tinsukia,7455.82,5.92,77.87,587.43,1417.24,3097.06,1527.78,1876.6,16045.72,10870.09,4125.25,14995.34,0,113.87,1206.11,849.46,5.26,2174.7
Udalguri,2742.35,1.69,8.95,162.4,13.73,44.68,2.96,6.11,2982.87,236.37,168.5,404.87,0,10.48,62.79,2.96,3.85,80.08
West Karbi Anglong,312.73,0,4.37,0.5,200.26,83.18,0,0,601.04,28.92,14.94,43.86,0,2.72,51.44,0,0,54.16
