district,Tot (PS) Amt. NPA Other,Tot (PS) No. NPA Other,Amt Other PS,No Other PS,able Amt Renew-,able No Renew-,Social Amt Infra,Infra Social No,Amt Housing PS,PS No Housing,PS Amt Education,PS No Education,Amt Export,No Export
East Garo Hills,70.78,45,2.93,15,0,0,13.47,5,47.4,21,6.98,4,0,0
East Jaintia Hills,538.81,18,520.27,11,0,0,3.67,2,1.81,1,13.06,4,0,0
East Khasi Hills,2233.33,1031,1723.32,902,0,0,41.29,14,247.65,37,221.07,78,0,0
North Garo Hills,220.81,86,0,0,0,0,14.64,8,187.58,74,18.59,4,0,0
Ri Bhoi,107.31,98,55.62,73,0,0,6.74,3,13.27,6,31.68,16,0,0
South Garo Hills,100.4,45,0,0,0,0,24.74,12,75.66,33,0,0,0,0
West Garo Hills,420.6,105,38.12,36,0,0,43.25,13,323.46,51,15.77,5,0,0
West Jaintia Hills,264.05,62,165.66,24,0,0,15.76,10,48.95,15,33.68,13,0,0
West Khasi Hills,89.21,23,52.13,7,0,0,2.61,1,8.94,3,25.53,12,0,0
