District,branch_rural,branch_semi_urban,branch_urban,total_branch
Adilabad,54.0,17.0,39.0,110.0
Bhadradri Kothagudem,67.0,111.0,0.0,178.0
Hanumakonda,37.0,20.0,112.0,169.0
Hyderabad,2.0,3.0,1139.0,1144.0
Jagitial,67.0,37.0,28.0,132.0
Jangoan,32.0,31.0,1.0,64.0
Jayashankar Bhupalapally,27.0,21.0,0.0,48.0
Jogulamba Gadwal,22.0,39.0,0.0,61.0
Kamareddy,74.0,63.0,1.0,138.0
Karimnagar,92.0,40.0,88.0,220.0
Khammam,97.0,63.0,95.0,255.0
Kumuram Bheem Asifabad,41.0,15.0,1.0,57.0
Mahabubabad,25.0,48.0,1.0,74.0
Mahabubnagar,50.0,26.0,63.0,139.0
Mancherial,47.0,74.0,7.0,128.0
Medak,59.0,48.0,2.0,109.0
Medchal Malkajgiri,43.0,110.0,516.0,669.0
Mulugu,26.0,11.0,1.0,38.0
Nagarkurnool,48.0,43.0,1.0,92.0
Nalgonda,93.0,45.0,94.0,232.0
Narayanpet,27.0,28.0,0.0,55.0
Nirmal,56.0,33.0,7.0,96.0
Nizamabad,146.0,58.0,83.0,287.0
Peddapalli,42.0,47.0,29.0,118.0
Rajanna Sircilla,39.0,30.0,6.0,75.0
Ranga Reddy,154.0,109.0,527.0,790.0
Sangareddy,89.0,122.0,40.0,251.0
Siddipet,74.0,47.0,36.0,157.0
Suryapet,64.0,54.0,43.0,161.0
Vikarabad,57.0,45.0,4.0,106.0
Wanaparthy,23.0,36.0,1.0,60.0
Warangal,42.0,21.0,72.0,135.0
Yadadri Bhuvanagiri,56.0,53.0,3.0,112.0
