District,target,enrollments_upto,of_achievement
Adilabad,3000.0,661.0,22.0
Bhadradri Kothagudem,3400.0,531.0,16.0
Hanumakonda,4625.0,510.0,11.0
Hyderabad,27725.0,3580.0,13.0
Jagitial,2525.0,328.0,13.0
Jangoan,1375.0,298.0,22.0
Jayashankar Bhupalapally,1300.0,381.0,29.0
Jogulamba Gadwal,1125.0,568.0,50.0
Kamareddy,2300.0,547.0,24.0
Karimnagar,5675.0,716.0,13.0
Khammam,5425.0,1307.0,24.0
Kumuram Bheem Asifabad,1350.0,467.0,35.0
Mahabubabad,1325.0,830.0,63.0
Mahabubnagar,4025.0,1128.0,28.0
Mancherial,2575.0,272.0,11.0
Medak,3350.0,901.0,27.0
Medchal Malkajgiri,11175.0,1427.0,13.0
Mulugu,1000.0,53.0,5.0
Nagarkurnool,1750.0,397.0,23.0
Nalgonda,5550.0,1278.0,23.0
Narayanpet,1000.0,41.0,4.0
Nirmal,1975.0,284.0,14.0
Nizamabad,6175.0,1241.0,20.0
Peddapalli,2375.0,267.0,11.0
Rajanna Sircilla,1475.0,200.0,14.0
Ranga Reddy,16500.0,2068.0,13.0
Sangareddy,4250.0,1304.0,31.0
Siddipet,2650.0,864.0,33.0
Suryapet,3075.0,614.0,20.0
Vikarabad,2150.0,491.0,23.0
Wanaparthy,1175.0,258.0,22.0
Warangal,1625.0,619.0,38.0
Yadadri Bhuvanagiri,1875.0,484.0,26.0
