District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Adilabad,10.0,0.0,0.0,1503.08,2.46,4.99,811.0,21.75,23.24,390.3,0.0,0.0,84.0,0.09,1.03,92.94,17.31,0.0,2577.96,490.53,3068.49,215.42,279.01,3562.92,1195.5,1953.68,39.62,0.0,49.27,93.6,20.61,8.77,0.0,4930.67
Bhadradri Kothagudem,10.0,0.0,0.0,717.89,2.98,2.07,1241.0,1.63,0.46,189.86,0.05,0.1,163.0,0.05,0.15,102.38,34.12,0.0,2117.3,913.96,3031.26,94.33,293.28,3418.87,710.94,1100.89,23.39,0.0,143.92,350.83,48.62,33.57,0.0,4706.75
Hanumakonda,89.0,0.0,0.0,2611.6,8.88,11.75,3432.0,9.55,2.37,695.34,0.0,0.0,41.0,0.0,0.0,77.21,13.53,0.0,1578.82,850.66,2429.48,124.25,587.98,3141.71,3280.36,2067.94,29.55,0.0,75.58,403.2,96.22,1.64,0.0,6998.71
Hyderabad,438.0,71.33,16.2,66781.98,30.38,2.74,11411.0,327.43,10.78,8711.82,74.14,14.54,26.0,17.4,38.5,638.56,281.64,33.68,0.0,0.0,0.0,0.0,0.0,0.0,59758.43,40610.6,61.78,439.99,1108.88,3037.98,509.95,45.2,836.16,65736.59
Jagitial,58.0,0.0,0.0,583.38,7.29,20.17,1615.0,11.83,8.94,439.78,0.05,0.09,422.0,0.65,2.01,106.52,22.61,0.0,2292.62,735.58,3028.2,193.56,958.41,4180.17,898.85,1151.82,21.55,8.51,36.14,132.37,56.63,32.38,0.0,5345.05
Jangoan,24.0,0.0,0.0,230.98,5.58,18.21,1249.0,3.79,5.54,174.44,0.0,0.0,0.0,0.0,0.0,51.31,11.83,0.0,1663.18,807.92,2471.1,127.55,465.49,3064.14,459.65,766.9,21.11,0.0,30.64,68.47,8.33,1.08,0.0,3632.31
Jayashankar Bhupalapally,,0.0,0.0,,5.98,33.2,,0.53,1.02,,0.0,0.0,,0.0,0.0,,6.31,0.0,1108.3,318.51,1426.81,84.49,202.56,1713.86,96.73,288.06,15.22,0.0,18.01,51.76,11.52,0.85,0.0,1892.73
Jogulamba Gadwal,4.0,0.0,0.0,314.59,2.24,14.65,608.0,2.37,2.1,104.46,0.0,0.0,0.0,0.0,0.0,9.23,2.06,0.0,3162.03,575.57,3737.6,96.31,357.33,4191.24,474.49,830.63,17.23,0.0,15.29,112.6,20.97,7.19,0.0,4821.78
Kamareddy,55.0,0.0,0.0,498.96,4.12,10.84,968.0,8.09,5.36,347.27,0.25,1.22,1.0,0.0,0.0,67.4,8.84,0.0,3425.84,732.44,4158.28,115.38,422.39,4696.05,701.06,1155.26,20.59,0.0,37.99,151.02,20.49,3.85,0.0,5610.46
Karimnagar,35.0,0.0,0.0,2349.51,3.73,8.38,1641.0,30.35,15.81,758.47,3.95,21.6,565.0,0.88,1.97,245.74,38.55,0.0,2357.88,1033.58,3391.46,102.93,652.97,4147.36,2997.07,2306.41,30.98,0.0,44.53,191.98,18.29,44.62,0.0,7443.85
Khammam,49.0,0.0,0.0,2211.64,8.53,13.53,3164.0,39.65,34.06,817.56,0.6,1.89,359.0,2.39,12.15,221.36,76.92,0.0,3520.58,2013.89,5534.47,122.92,599.13,6256.52,2591.52,2986.68,32.9,0.0,63.05,116.41,31.68,19.67,0.0,9078.85
Kumuram Bheem Asifabad,13.0,0.0,0.0,151.95,0.15,0.39,126.0,0.73,0.94,40.56,0.0,0.0,42.0,0.0,0.0,26.26,5.55,0.0,1621.29,316.71,1938.0,103.62,248.24,2289.86,260.02,491.3,18.15,0.0,38.38,78.04,28.7,11.21,0.0,2706.21
Mahabubabad,20.0,0.0,0.0,369.84,4.91,36.4,1102.0,2.13,8.5,138.52,0.47,5.06,6.0,0.0,0.0,69.92,20.07,0.0,1847.3,717.92,2565.22,118.47,614.38,3298.07,701.92,1137.94,28.1,0.0,13.49,25.06,9.29,1.17,0.0,4049.0
Mahabubnagar,23.0,0.0,0.0,1307.51,2.74,21.46,1314.0,14.91,14.86,545.33,0.01,0.06,0.0,0.0,0.0,27.83,9.76,0.0,3343.44,1001.28,4344.72,86.86,497.91,4929.49,1775.29,1394.85,20.37,0.0,12.77,100.31,15.86,15.31,0.0,6849.03
Mancherial,31.0,0.0,0.0,763.14,2.86,2.07,997.0,10.66,3.97,410.1,0.0,0.0,17.0,0.0,0.0,66.19,17.91,0.0,2418.77,560.19,2978.96,149.35,253.3,3381.61,826.19,1090.29,23.37,0.0,138.28,268.72,37.26,13.62,0.0,4665.68
Medak,19.0,0.0,0.0,588.16,4.96,65.01,637.0,4.5,4.45,200.36,0.0,0.0,0.0,0.0,0.0,168.37,28.97,0.0,1970.21,650.08,2620.29,141.37,404.4,3166.06,1250.51,1049.61,23.07,0.0,7.63,101.11,17.43,6.95,0.0,4549.69
Medchal Malkajgiri,132.0,0.0,0.0,17950.53,25.19,8.98,8323.0,176.14,14.29,6832.27,0.0,0.0,6.0,0.03,0.07,164.17,64.27,0.0,276.31,1252.25,1528.56,196.02,899.89,2624.47,18601.66,10394.69,45.44,0.0,280.47,1232.46,95.42,41.78,0.0,22876.26
Mulugu,72.0,0.0,0.0,64.49,4.46,27.51,775.0,0.48,0.94,31.9,0.0,0.0,6.0,0.0,0.0,3.33,0.91,0.0,954.43,261.87,1216.3,53.54,218.1,1487.94,99.87,254.28,15.27,0.0,16.21,50.89,9.13,0.73,0.0,1664.77
Nagarkurnool,13.0,0.0,0.0,478.6,3.76,12.3,626.0,3.81,1.59,170.09,0.0,0.0,0.0,0.0,0.0,22.03,4.67,0.0,3857.77,859.15,4716.92,102.54,627.51,5446.97,638.73,1243.16,19.51,0.0,30.58,239.97,6.15,9.87,0.0,6372.27
Nalgonda,87.0,0.0,0.0,2401.36,7.41,12.52,1984.0,15.31,5.75,759.32,0.02,0.04,0.0,0.0,0.0,46.74,15.67,0.0,5505.38,1258.04,6763.42,467.97,1887.45,9118.84,3500.61,4240.39,32.53,0.0,59.19,266.03,55.23,35.8,0.0,13035.7
Narayanpet,6.0,0.0,0.0,158.29,0.78,16.18,312.0,2.0,10.42,76.42,0.01,0.09,0.0,0.0,0.0,12.52,4.57,0.0,2054.4,472.58,2526.98,94.63,146.74,2768.35,252.16,496.39,16.22,0.0,4.82,19.2,11.24,5.33,0.0,3061.1
Nirmal,15.0,0.0,0.0,749.31,0.92,2.25,532.0,8.2,9.49,279.35,0.0,0.0,11.0,0.0,0.0,41.72,7.97,0.0,2788.07,628.34,3416.41,269.43,178.19,3864.03,935.33,1469.05,29.56,0.0,40.97,86.4,22.93,20.85,0.0,4970.51
Nizamabad,110.0,0.0,0.0,2148.15,9.64,11.47,3024.0,33.07,18.72,1033.77,0.99,2.78,0.0,0.0,0.0,183.81,29.82,0.0,4402.69,1688.1,6090.79,275.89,1474.07,7840.75,2344.7,3248.03,30.93,0.0,84.02,176.65,35.64,19.25,0.0,10501.01
Peddapalli,16.0,0.0,0.0,774.76,7.3,30.07,1656.0,5.48,10.15,297.8,0.0,0.0,316.0,0.47,3.43,84.14,24.77,0.0,1864.81,651.38,2516.19,49.97,361.7,2927.86,1163.98,1094.96,26.06,0.0,24.28,54.01,18.26,13.7,0.0,4202.09
Rajanna Sircilla,4.0,0.0,0.0,388.04,1.34,4.96,808.0,9.46,25.85,382.09,0.0,0.0,606.0,0.89,3.17,86.86,10.36,0.0,1519.03,421.53,1940.56,153.07,447.21,2540.84,559.35,653.01,20.38,2.36,27.04,36.6,9.37,28.12,0.0,3203.68
Ranga Reddy,320.0,54.64,0.0,9099.82,19.08,17.59,7564.0,151.21,12.76,3932.6,0.18,0.79,27.0,0.08,1.48,188.97,79.69,0.0,3693.04,2473.8,6166.84,443.7,1148.47,7759.01,15086.05,7055.06,29.19,0.0,108.5,1185.3,22.91,5.4,0.0,24167.17
Sangareddy,69.0,0.0,0.0,2237.18,6.33,13.04,2648.0,29.66,9.54,1682.2,0.19,0.37,0.0,0.0,0.0,225.93,42.28,0.0,3328.17,1164.64,4492.81,135.16,730.19,5358.16,3081.27,2171.9,24.52,0.8,48.55,310.9,51.43,7.44,0.0,8858.55
Siddipet,27.0,0.0,0.0,701.02,11.38,60.82,2620.0,12.21,5.62,465.83,0.38,0.71,130.0,0.08,2.51,223.08,38.12,0.0,3476.42,1076.31,4552.73,160.78,701.96,5415.47,1090.07,1462.77,21.52,0.0,18.71,217.44,53.44,3.19,0.0,6798.32
Suryapet,113.0,0.0,0.0,1208.46,7.71,21.42,1817.0,12.94,7.19,608.95,0.1,0.28,0.0,0.0,0.0,45.51,14.44,0.0,2942.48,1004.8,3947.28,286.82,1391.82,5625.92,1624.49,2447.61,32.33,0.0,36.0,180.03,36.11,68.11,0.0,7570.66
Vikarabad,32.0,0.0,0.0,316.09,1.21,5.04,558.0,4.17,0.35,148.94,0.0,0.0,1.0,0.1,0.26,47.45,11.37,0.0,3434.27,886.18,4320.45,85.78,639.72,5045.95,565.07,763.63,11.09,0.0,24.0,1175.98,38.03,37.74,0.0,6886.77
Wanaparthy,3.0,0.0,0.0,277.35,4.82,21.01,1818.0,1.63,1.46,153.57,0.0,0.0,0.0,0.0,0.0,33.19,8.1,0.0,2461.03,571.78,3032.81,96.03,326.15,3454.99,353.85,644.16,16.26,0.0,22.94,111.99,10.78,6.53,0.0,3961.08
Warangal,42.0,0.0,0.0,1657.38,8.92,30.89,2263.0,24.73,34.77,320.87,0.13,1.7,9.0,0.0,0.0,103.15,22.78,0.0,1802.09,1161.34,2963.43,223.61,598.23,3785.27,997.73,1586.91,32.44,0.0,28.88,71.13,7.65,0.66,0.0,4891.32
Yadadri Bhuvanagiri,68.0,0.0,0.0,566.61,2.45,13.96,953.0,3.94,5.61,229.25,4.45,37.84,0.0,0.0,0.0,20.21,5.01,0.0,2112.53,671.89,2784.42,225.98,625.9,3636.3,762.19,1121.85,24.86,0.0,17.55,70.17,11.76,15.05,0.0,4513.02
