District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Adilabad,111228.0,4.12,50.61,131.6,5.78,24.88,268.0,161.25,30.24,2089.05,139.37,19.42,104553.0,786.0,49.3,5661.65,1096.52,38.12,8.14,23.23,533.17,717.65,1594.32,2876.51
Bhadradri Kothagudem,283281.0,4.08,50.43,396.41,3.83,24.66,235.0,58.67,26.91,896.2,112.15,11.33,112204.0,439.63,31.26,4925.94,618.36,23.44,8.09,15.53,218.02,989.94,1406.28,2637.86
Hanumakonda,206169.0,185.6,44.45,249.79,7.86,16.69,978.0,253.58,42.02,4043.78,228.36,31.23,175966.0,654.25,26.85,10491.82,1329.65,31.39,417.59,47.1,603.53,731.19,2436.31,4235.72
Hyderabad,190773.0,1263.67,0.0,730.33,114.57,12.64,8262.0,3838.96,34.05,56559.75,2544.54,18.8,2523269.0,95181.92,42.24,420719.12,102943.66,41.0,0.0,906.62,11274.0,13533.0,225345.0,251059.0
Jagitial,229898.0,5.04,80.9,320.52,3.82,18.99,329.0,44.47,33.3,628.56,145.78,37.47,96989.0,194.87,13.41,2553.56,393.98,19.67,6.23,20.12,133.56,389.07,1453.53,2002.51
Jangoan,166015.0,10.0,173.0,156.36,1.31,26.68,113.0,37.91,38.89,492.86,14.37,8.76,28895.0,83.56,33.23,1493.15,147.15,28.1,5.78,4.91,97.49,164.13,251.43,523.74
Jayashankar Bhupalapally,,0.12,15.79,,0.52,18.98,,21.69,51.04,,27.26,26.06,,50.76,28.17,,100.35,30.34,0.76,2.74,42.5,104.6,180.17,330.77
Jogulamba Gadwal,158505.0,4.35,98.64,158.26,0.92,29.11,73.0,26.5,41.02,356.21,16.73,14.79,24563.0,80.31,32.9,1191.12,128.81,30.0,4.41,3.16,64.6,113.12,244.09,429.38
Kamareddy,286608.0,3.8,46.57,329.58,1.82,24.93,171.0,45.53,31.66,818.09,101.21,36.2,42632.0,167.27,46.03,2243.78,319.63,39.84,8.16,7.3,143.8,279.61,363.36,802.23
Karimnagar,255160.0,47.39,78.15,242.24,8.57,18.94,844.0,130.76,30.67,2176.34,282.84,37.66,171333.0,723.84,49.73,7071.87,1193.4,43.57,60.64,45.25,426.28,751.13,1455.54,2738.84
