District,total_branch,deposits_rural,deposits_semi_urban,deposits_urban,total_deposit,advances_rural,advances_semi_urban,advances_urban,total_advance,cd_ratio
Adilabad,110.0,1675.0,571.14,2252.17,4498.31,2310.12,1394.35,7325.23,11029.7,245.2
Bhadradri Kothagudem,178.0,1185.7,5983.33,0.0,7169.03,2101.91,7096.99,227.83,9426.73,131.49
Hanumakonda,169.0,851.06,667.55,11973.62,13492.23,1706.75,1747.36,14720.17,18174.28,134.7
Hyderabad,1144.0,6.31,242.37,407011.1,407259.7,200.1,2210.53,511004.8,513415.5,126.07
Jagitial,132.0,1765.67,2123.25,1798.95,5687.87,2803.17,2523.81,2266.82,7593.8,133.51
Jangoan,64.0,730.77,1217.68,6.54,1954.99,2024.95,2854.64,5.44,4885.03,249.87
Jayashankar Bhupalapally,48.0,594.63,1101.78,0.0,1696.41,1077.82,1157.48,5.41,2240.71,132.09
Jogulamba Gadwal,61.0,445.76,1470.97,0.0,1916.73,1465.02,2505.25,45.52,4015.79,209.51
Kamareddy,138.0,1280.77,2547.84,13.66,3842.27,2881.28,4357.53,101.93,7340.74,191.05
Karimnagar,220.0,3708.74,2100.24,6668.9,12477.88,4112.62,2472.71,9030.93,15616.26,125.15
Khammam,255.0,2147.36,1973.44,6071.86,10192.66,4815.59,4215.73,11784.21,20815.53,204.22
Kumuram Bheem Asifabad,57.0,1313.2,709.01,12.65,2034.86,1392.32,513.53,77.75,1983.6,97.48
Mahabubabad,74.0,475.22,1599.49,9.32,2084.03,1462.79,3850.53,88.15,5401.47,259.18
Mahabubnagar,139.0,940.18,822.85,3986.85,5749.88,2323.74,1898.96,6228.64,10451.34,181.77
Mancherial,128.0,2590.15,4937.84,335.76,7863.75,2212.12,5051.73,468.88,7732.73,98.33
Medak,109.0,963.33,1698.75,6.75,2668.83,2274.28,3328.05,620.72,6223.05,233.18
Medchal Malkajgiri,669.0,3800.17,7669.55,107374.8,118844.5,2759.54,8966.73,110513.8,122240.1,102.86
Mulugu,38.0,777.59,345.59,0.0,1123.18,1089.19,546.51,30.54,1666.24,148.35
Nagarkurnool,92.0,1102.15,1558.6,14.11,2674.86,2665.3,3651.52,330.83,6647.65,248.52
Nalgonda,232.0,2057.65,1401.46,5641.74,9100.85,5795.93,3418.25,11769.42,20983.6,230.57
Narayanpet,55.0,513.23,963.93,0.15,1477.31,1361.96,1551.33,38.62,2951.91,199.82
Nirmal,96.0,1453.42,1705.63,50.64,3209.69,2848.45,3558.13,359.41,6765.99,210.8
Nizamabad,287.0,3080.23,2247.77,4979.96,10307.96,6516.65,4254.46,7756.56,18527.67,179.74
Peddapalli,118.0,1917.5,2212.67,2856.7,6986.87,1871.29,3066.88,2047.23,6985.4,99.98
Rajanna Sircilla,75.0,1022.77,1965.52,731.2,3719.49,1832.09,2082.2,759.62,4673.91,125.66
Ranga Reddy,790.0,9334.4,5222.55,71930.12,86487.07,8928.48,7153.12,64251.03,80332.63,92.88
Sangareddy,251.0,6418.03,6622.68,5627.63,18668.34,5366.09,15902.84,6949.38,28218.31,151.16
Siddipet,157.0,1711.89,1725.26,1828.02,5265.17,3329.83,2842.09,2836.25,9008.17,171.09
Suryapet,161.0,1257.33,1774.16,1738.3,4769.79,3795.79,4639.52,4266.93,12702.24,266.31
Vikarabad,106.0,1140.85,1932.76,59.88,3133.49,2327.48,3079.88,161.73,5569.09,177.73
Wanaparthy,60.0,413.85,1523.69,12.21,1949.75,1122.17,2746.35,34.63,3903.15,200.19
Warangal,135.0,750.39,666.48,8437.45,9854.32,2159.28,2102.85,6703.21,10965.34,111.27
Yadadri Bhuvanagiri,112.0,1320.78,2408.86,66.76,3796.4,2744.8,3960.95,154.22,6859.97,180.7
