District,during_q1_fy_2024_25_no,approved_amt,cumulative_as_on_30_06_2024_no
Adilabad,659.0,70.48,7187.0
Bhadradri Kothagudem,223.0,10.9,2505.0
Hyderabad,3948.0,791.75,77613.0
Jagitial,174.0,14.67,1165.0
Jangoan,92.0,7.41,797.0
Jayashankar Bhupalapally,44.0,2.41,755.0
Jogulamba Gadwal,64.0,5.4,1093.0
Kamareddy,179.0,16.4,1798.0
Karimnagar,498.0,44.05,10279.0
Khammam,413.0,34.34,10492.0
Mahabubabad,79.0,12.48,851.0
Mahabubnagar,419.0,40.5,12837.0
Mancherial,148.0,14.94,1039.0
Medak,306.0,34.74,7442.0
Medchal Malkajgiri,332.0,64.92,3294.0
Nagarkurnool,96.0,7.61,640.0
Nalgonda,699.0,63.74,14759.0
