District,population,literacy,density,urbanization
Bishnupur,2.40,75.85,310,11.23
Chandel,1.44,71.11,42,8.67
Churachandpur,2.74,82.78,71,15.34
Imphal East,4.56,81.95,549,43.21
Imphal West,5.17,86.08,840,67.89
Jiribam,0.42,81.50,54,19.45
Kakching,1.90,79.34,387,18.76
Kamjang,0.32,76.89,23,7.54
Kangpokpi,2.14,79.56,58,12.43
Noney,1.37,71.23,43,9.87
Pherzawl,0.55,73.45,34,8.21
Senapati,4.79,63.60,146,11.56
Tamenglong,1.41,70.05,32,10.34
Tengnoupal,0.54,75.12,15,7.89
Thoubal,4.22,75.51,612,21.45
Ukhrul,1.83,81.35,85,13.67
