District,PMJDY,PMJJBY,PMSBY
West Tripura,1022,2852,6264
Sepahijala,1007,2291,4053
Gomati,1662,3673,7079
South Tripura,1526,3355,5904
Dhalai,1996,4078,8068
Khowai,1329,4162,6005
North Tripura,668,1710,3936
Unakoti,666,1523,3022
