District,CD RATIO March’2017,CD RATIO March’2018,CD RATIO Since March’2017
Dhalai,62,66,+4
Gomati,85,93,+8
Khowai,64,69,+5
North Tripura,45,49,+4
Sepahijala,62,67,+5
South Tripura,46,50,+4
Unakoti,55,59,+4
West Tripura,32,36,+4
