District,State,"Location(Metro, Urban, Su, Rural)",Address,Date of start of functioning,Name of Sponsoring Bank,No. of Literacy Camps undertaken during the quarter as per Rbi guidelines using standardized financial literacy material of Rbi,No. of Persons participated in Literacy Camps during the quarter,"Out of Persons participated, number of persons already having bank A/C at the time of attending the camp","Out of persons participated, no. of persons opened bank A/C after attending the camp"
Dhalai,Tripura,Semi-Urban,LDM(Dhalai),19.10.12,UBI,7,667,466,201
Gomati,Tripura,Semi-Urban,TGB Udaipur Branch,22.09.15,TGB,8,383,327,29
Khowai,Tripura,Semi-Urban,TGB Khowai Branch,17.09.15,TGB,0,0,0,0
North Tripura,Tripura,Semi-Urban,TGB Dharmanagar Branch,05.03.16,TGB,0,0,0,0
Sepahijala,Tripura,Rural,TGB Bishramganj Branch,30.12.15,TGB,10,612,491,67
South Tripura,Tripura,Semi-Urban,TGB Santirbazar Branch,30.12.15,TGB,8,1147,1089,51
Unakoti,Tripura,Semi-Urban,LDM(North ),19.10.12,UBI,5,249,211,30
West Tripura,Tripura,Urban,LDM(West),19.10.12,UBI,9,568,547,21
