district,population,total_branches,total_bc,total_atms,total_banking_network,branches_per_1_lakh_population,bcs_per_1_lakh_population,atms_per_1_lakh_population,banking_network_per_1_lakh_population
Angul,1273821,203,1130,274,1607,15.94,88.71,21.51,126.16
Balangir,1648997,205,2021,206,2432,12.43,122.56,12.49,147.48
Balasore,2320529,299,2524,385,3208,12.88,108.77,16.59,138.24
Bargarh,1481255,207,1182,205,1594,13.97,79.80,13.84,107.61
Bhadrak,1506337,173,1644,243,2060,11.48,109.14,16.13,136.76
Boudh,441162,55,336,51,442,12.47,76.16,11.56,100.19
Cuttack,2624470,502,2601,650,3753,19.13,99.11,24.77,143.00
Deogarh,312520,44,228,44,316,14.08,72.96,14.08,101.11
Dhenkanal,1192811,155,824,178,1157,12.99,69.08,14.92,97.00
Gajapati,577817,68,445,87,600,11.77,77.01,15.06,103.84
Ganjam,3529031,483,3264,614,4361,13.69,92.49,17.40,123.57
Jagatsinghpur,1136971,176,1782,233,2191,15.48,156.73,20.49,192.71
Jajpur,1827192,241,2460,322,3023,13.19,134.63,17.62,165.45
Jharsuguda,579505,109,336,146,591,18.81,57.98,25.19,101.98
Kalahandi,1576869,178,1691,170,2039,11.29,107.24,10.78,129.31
Kandhamal,733110,81,626,88,795,11.05,85.39,12.00,108.44
Kendrapara,1440361,151,1040,201,1392,10.48,72.20,13.95,96.64
Keonjhar,1801733,236,1812,281,2329,13.10,100.57,15.60,129.26
Khordha,2251673,770,2703,1267,4740,34.20,120.04,56.27,210.51
Koraput,1379647,157,1320,169,1646,11.38,95.68,12.25,119.31
Malkangiri,613192,66,512,54,632,10.76,83.50,8.81,103.07
Mayurbhanj,2519738,311,2478,316,3105,12.34,98.34,12.54,123.23
Nabarangpur,1220946,96,651,72,819,7.86,53.32,5.90,67.08
Nayagarh,962789,144,1451,159,1754,14.96,150.71,16.51,182.18
Nuapada,610382,79,541,74,694,12.94,88.63,12.12,113.70
Puri,1698730,254,2215,312,2781,14.95,130.39,18.37,163.71
Rayagada,967911,119,614,130,863,12.29,63.44,13.43,89.16
Sambalpur,1041099,216,712,253,1181,20.75,68.39,24.30,113.44
Subarnapur,610183,87,778,96,961,14.26,127.50,15.73,157.49
Sundargarh,2093437,297,1199,410,1906,14.19,57.27,19.59,91.05
