district,crop_loan_t,a,pct,term_loan_water_resources_t,a,pct,farm_mechanisation_t,a,pct,plantation_and_horticulture_t,a,pct,forestry_and_wasteland_dev_t,a,pct,allied_advance_ah_dairy_t,a,pct,ah_poultry_t,a,pct,ah_sheep_goat_piggery_t,a,pct
Angul,1650.06,1409.95,85.45,39.26,10.77,27.44,99.86,100.18,100.32,38.46,21.63,56.23,10.22,6.38,62.42,86.34,88.46,102.46,53.82,61.97,115.16,48.78,107.54,220.46
Balangir,2305.88,2057.71,89.24,30.02,604.55,2014.00,208.79,144.20,69.07,28.38,1199.74,4227.10,17.07,3.47,20.30,94.06,172.49,183.38,109.56,60.81,55.50,105.53,75.56,71.60
Balasore,2523.36,2134.50,84.59,73.08,4.59,6.28,163.21,247.51,151.66,214.96,29.93,13.93,4.47,9.66,216.08,140.40,120.82,86.06,78.37,40.89,52.18,12.32,105.47,855.79
Bargarh,3694.49,2797.52,75.72,119.18,19.05,15.98,355.67,392.19,110.27,106.33,40.88,38.45,22.76,12.62,55.45,140.09,90.43,64.55,100.56,40.27,40.05,119.61,94.27,78.81
Bhadrak,2071.46,1699.72,82.05,34.97,2.52,7.21,51.36,185.08,360.40,66.49,22.07,33.19,13.78,9.49,68.84,93.08,90.17,96.87,66.41,32.31,48.65,106.12,83.99,79.15
Boudh,874.03,702.85,80.41,5.65,1.11,19.72,42.72,35.53,83.17,16.75,2.39,14.28,2.53,2.27,89.94,17.78,18.99,106.80,24.16,9.79,40.54,51.19,4.17,8.14
Cuttack,2145.22,2848.96,132.80,36.13,10.43,28.86,214.10,301.81,140.97,78.50,28.67,36.52,2.25,19.26,857.17,238.46,225.10,94.40,127.68,99.47,77.91,180.00,211.72,117.62
Deogarh,565.51,413.97,73.20,6.06,5.55,91.62,28.01,24.40,87.13,24.08,3.14,13.06,2.44,0.79,32.57,6.44,5.62,87.31,4.53,4.18,92.24,15.27,1.23,8.03
Dhenkanal,1358.45,1124.29,82.76,71.81,16.24,22.61,129.09,72.22,55.95,152.61,24.01,15.73,8.43,5.79,68.72,81.62,56.73,69.50,41.65,26.51,63.66,23.08,10.05,43.54
Gajapati,506.32,424.21,83.78,11.25,2.20,19.57,23.44,49.46,211.07,24.19,2.81,11.62,8.88,2.84,31.99,20.70,19.90,96.09,11.93,11.36,95.20,21.57,26.11,121.04
Ganjam,3397.92,3945.10,116.10,63.05,26.60,42.18,303.89,463.41,152.49,174.83,52.19,29.85,12.29,49.74,404.70,315.11,339.79,107.83,388.93,256.87,66.05,224.86,199.53,88.73
Jagatsinghpur,1267.51,1101.11,86.87,15.11,5.37,35.55,74.50,226.91,304.59,43.20,7.31,16.93,1.26,3.78,300.78,76.98,105.62,137.20,31.07,71.01,228.55,13.61,89.82,660.01
Jajpur,2418.33,2191.15,90.61,33.02,11.26,34.09,168.01,223.29,132.90,37.45,38.83,103.68,12.72,6.40,50.33,128.43,138.48,107.82,88.88,58.00,65.26,562.27,324.08,57.64
Jharsuguda,644.92,468.00,72.57,26.61,2.35,8.85,237.93,78.21,32.87,12.50,10.48,83.86,1.18,2.22,188.40,25.43,36.25,142.58,21.01,20.47,97.44,9.38,17.91,190.99
Kalahandi,1676.10,1543.87,92.11,16.56,7.57,45.73,356.66,222.54,62.40,103.08,15.91,15.43,8.20,5.49,67.02,31.28,51.42,164.37,21.81,20.07,92.02,8.67,36.98,426.72
Kandhamal,695.72,657.19,94.46,34.43,2.34,6.80,46.94,41.38,88.16,35.89,4.48,12.48,5.30,2.38,44.88,7.38,14.47,196.25,25.72,7.73,30.04,36.88,0.88,2.39
Kendrapara,2091.31,2278.97,108.97,51.11,6.35,12.42,59.58,126.37,212.09,57.62,6.08,10.55,5.88,6.46,109.96,142.25,37.70,26.50,28.02,23.86,85.14,28.85,43.58,151.09
Keonjhar,1389.27,1228.22,88.41,45.07,5.46,12.11,161.87,81.54,50.37,99.45,12.06,12.13,9.63,3.58,37.16,96.54,85.87,88.95,149.45,39.44,26.39,89.98,110.32,122.60
Khordha,1966.30,3005.92,152.87,86.36,15.82,18.32,382.85,582.52,152.15,567.16,190.61,33.61,24.92,96.15,385.88,419.05,223.13,53.25,364.68,115.03,31.54,125.44,166.29,132.56
Koraput,1491.01,1058.32,70.98,14.22,5.03,35.35,28.22,100.59,356.46,80.91,5.43,6.71,12.30,13.77,111.93,71.78,19.39,27.02,38.94,30.99,79.58,26.36,10.85,41.15
Malkangiri,401.68,448.85,111.74,13.72,2.75,20.01,29.99,52.03,173.50,21.72,3.09,14.24,10.06,2.76,27.49,22.65,7.00,30.89,9.19,5.31,57.76,5.95,10.04,168.64
Mayurbhanj,1772.88,1521.10,85.80,52.32,3.40,6.49,154.07,165.46,107.39,66.00,26.23,39.75,5.82,5.14,88.36,102.39,101.36,98.99,42.09,45.87,108.98,86.83,81.72,94.11
Nabarangpur,948.16,821.06,86.59,31.97,2.44,7.62,45.03,58.16,129.15,19.82,4.16,21.02,16.37,2.95,18.05,74.00,20.16,27.25,8.73,24.41,279.74,1.58,8.57,543.54
