district,name_of_supporting_bank,aap_target_for_fy_2024_25_no_of_programs,no_of_candidates,achievement_no_of_programs,no_of_candidates,pctage,rural_poor_nrlm_target,achievement,pctage
Angul,UCO,34,1050,33,1051,100.10,735,1039,141.36
Balangir,SBI,31,920,28,923,100.33,644,887,137.73
Balasore,UCO,41,1250,38,1251,100.08,875,1201,137.26
Bargarh,SBI,34,970,31,979,100.93,679,975,143.59
Bhadrak,UCO,33,1150,38,1165,101.30,805,1165,144.72
Boudh,SBI,28,920,29,935,101.63,644,915,142.08
Cuttack,UCO,30,980,29,980,100.00,686,944,137.61
Deogarh,CBI,32,1050,10,315,30.00,735,315,42.86
Dhenkanal,UCO,32,1000,30,1002,100.20,700,986,140.86
Gajapati,Union Bank,33,980,30,1003,102.35,686,1002,146.06
Ganjam,Union Bank,31,980,33,1005,102.55,686,954,139.07
Jagatsinghpur,UCO,37,1050,32,1081,102.95,735,1046,142.31
Jajpur,SBI,30,980,30,988,100.82,686,988,144.02
Jharsuguda,SBI,40,1120,38,1126,100.54,784,986,125.77
Kalahandi,SBI,28,970,31,1000,103.09,679,898,132.25
Kandhamal,SBI,33,980,29,995,101.53,686,987,143.88
Kendrapara,SBI,35,1050,31,1058,100.76,735,1055,143.54
Keonjhar,BOI,35,1050,35,1063,101.24,735,1058,143.95
Koraput,SBI,27,860,28,880,102.33,602,809,134.39
Malkangiri,SBI,34,850,29,867,102.00,595,863,145.04
Mayurbhanj,BOI,36,1150,37,1161,100.96,805,1148,142.61
Nabarangpur,SBI,30,970,29,971,100.10,679,961,141.53
Nayagarh,SBI,32,990,30,992,100.20,693,952,137.37
Nuapada,SBI,26,890,28,918,103.15,623,867,139.17
Puri,UCO,34,1120,33,1123,100.27,784,1119,142.73
Rayagada,SBI,34,1000,31,1022,102.20,700,1021,145.86
Sambalpur,SBI,33,990,33,1026,103.64,693,962,138.82
Subarnapur,SBI,29,970,31,985,101.55,679,985,145.07
Sundargarh,SBI,33,970,31,975,100.52,679,975,143.59
