district,allied_advance_fishery_t,a,pct,others_t,a,pct,total_farm_credit_t,a,pct,agriculture_infrastructure_storage_facilities_t,a,pct,"land_dev,_soil_conservation,_watershed_dev_t",a,pct,others_t,a,pct,total_agri_infra_t,a,pct
Angul,26.90,17.93,66.65,24.05,14.22,59.10,2077.75,1839.03,88.51,38.72,32.05,82.76,11.73,24.41,208.11,9.27,2.63,28.33,59.73,59.09,98.92
Balangir,49.11,13.91,28.33,2.85,13.17,462.75,2951.25,4345.61,147.25,149.62,29.83,19.93,7.57,37.86,500.20,12.43,3.81,30.63,169.62,71.49,42.15
Balasore,325.42,86.59,26.61,2.75,13.44,488.90,3538.33,2793.41,78.95,1.47,58.78,3995.13,16.70,33.22,198.89,2.33,14.93,640.88,20.50,106.92,521.53
Bargarh,413.26,27.48,6.65,2.06,25.48,1237.25,5074.01,3540.18,69.77,92.22,95.83,103.91,15.62,24.52,156.94,23.40,8.17,34.92,131.24,128.52,97.92
Bhadrak,119.23,59.75,50.12,2.24,6.64,296.65,2625.13,2191.74,83.49,51.60,34.05,65.98,11.32,29.98,264.96,5.84,13.95,238.93,68.76,77.98,113.41
Boudh,18.70,2.55,13.61,1.51,2.58,170.48,1055.01,782.23,74.14,14.16,0.96,6.80,3.47,24.19,696.41,6.87,1.10,15.96,24.50,26.25,107.15
Cuttack,103.10,109.55,106.25,131.10,53.24,40.61,3256.55,3908.20,120.01,9.30,471.28,5065.62,3.35,109.11,3258.90,14.79,16.80,113.60,27.44,597.20,2176.03
Deogarh,10.45,2.33,22.25,0.23,0.96,422.32,663.01,462.17,69.71,9.32,1.21,12.96,2.97,2.43,81.92,0.92,0.15,16.27,13.20,3.79,28.70
Dhenkanal,6.90,7.09,102.78,0.90,7.49,832.69,1874.54,1350.41,72.04,10.48,17.75,169.39,10.98,6.04,54.98,1.47,2.13,144.80,22.93,25.92,113.04
Gajapati,5.57,19.43,348.68,2.15,1.82,84.77,636.01,560.14,88.07,13.88,2.46,17.75,3.57,10.14,284.01,2.54,3.82,150.14,20.00,16.43,82.14
Ganjam,220.02,266.14,120.96,3.52,22.45,637.77,5104.44,5621.82,110.14,225.09,116.26,51.65,24.14,76.82,318.14,22.72,11.92,52.44,271.96,204.99,75.38
Jagatsinghpur,55.62,27.55,49.53,2.43,26.66,1096.58,1581.29,1665.14,105.30,24.37,4.30,17.65,7.71,58.79,762.52,8.54,4.01,46.92,40.61,67.09,165.20
Jajpur,54.26,106.13,195.59,16.37,18.91,115.54,3519.75,3116.53,88.54,178.13,105.42,59.18,29.05,82.20,282.99,16.97,5.87,34.61,224.15,193.49,86.32
Jharsuguda,7.71,6.66,86.43,0.40,5.75,1438.47,987.06,648.30,65.68,26.71,452.32,1693.20,10.54,21.10,200.28,16.32,1.96,12.01,53.57,475.38,887.41
Kalahandi,32.63,7.42,22.73,1.76,6.66,378.35,2256.76,1917.95,84.99,20.62,9.58,46.45,13.45,8.25,61.36,1.80,7.85,436.59,35.87,25.68,71.60
Kandhamal,2.69,4.01,148.89,0.78,2.17,277.98,891.74,737.03,82.65,7.84,0.82,10.45,5.25,6.54,124.64,2.52,0.03,1.01,15.60,7.38,47.31
Kendrapara,126.20,34.02,26.96,3.22,3.88,120.31,2594.04,2567.26,98.97,14.16,7.58,53.57,10.50,40.19,382.75,3.72,1.00,26.94,28.38,48.77,171.87
Keonjhar,40.57,31.58,77.84,1.23,9.05,738.40,2083.04,1607.11,77.15,133.06,97.03,72.92,6.84,5.97,87.22,1.16,1.87,162.03,141.06,104.87,74.34
Khordha,179.84,228.24,126.91,19.18,209.58,1092.79,4135.78,4833.31,116.87,186.99,148.65,79.50,35.70,91.47,256.22,54.80,245.46,447.96,277.48,485.58,174.99
Koraput,147.31,16.51,11.21,0.00,21.60,,1911.04,1282.47,67.11,216.07,16.36,7.57,11.30,26.11,230.98,3.24,1.68,51.64,230.62,44.15,19.14
Malkangiri,22.40,2.06,9.21,0.57,2.92,514.39,537.93,536.82,99.79,20.82,13.95,67.02,8.44,1.78,21.04,0.57,0.25,44.86,29.83,15.99,53.58
Mayurbhanj,50.96,36.67,71.95,16.68,6.19,37.08,2350.05,1993.13,84.81,33.88,64.36,189.94,8.30,5.79,69.72,14.66,9.35,63.76,56.84,79.49,139.85
Nabarangpur,19.67,13.21,67.15,2.09,5.64,270.19,1167.41,960.77,82.30,11.01,1.18,10.70,8.25,2.76,33.42,1.15,2.17,188.48,20.41,6.10,29.91
Nayagarh,13.94,110.50,792.66,1.76,36.66,2079.48,1976.19,2191.88,110.91,12.93,10.73,82.96,10.84,22.58,208.34,2.48,2.92,117.89,26.24,36.23,138.03
Nuapada,7.08,67.46,953.40,1.63,2.89,177.11,715.47,901.42,125.99,14.79,2.37,16.03,4.25,3.30,77.50,1.34,1.08,80.48,20.39,6.75,33.10
Puri,124.69,284.68,228.31,4.23,41.42,979.34,2533.65,3299.51,130.23,65.65,44.44,67.68,11.77,13.21,112.22,60.02,2.21,3.69,137.44,59.86,43.55
Rayagada,28.97,110.40,381.10,8.69,3.65,42.03,1034.72,1502.41,145.20,32.08,29.99,93.50,16.16,3.90,24.13,3.39,0.55,16.12,51.63,34.44,66.70
Sambalpur,52.40,89.77,171.33,1.66,35.37,2133.48,2414.89,2164.15,89.62,46.47,52.89,113.83,28.38,10.97,38.67,16.30,10.38,63.63,91.15,74.24,81.45
Subarnapur,14.19,14.06,99.06,2.39,1.87,78.12,1213.23,1181.61,97.39,38.98,16.65,42.71,3.29,2.93,88.88,2.55,4.57,179.53,44.82,24.15,53.88
Sundargarh,26.08,24.16,92.65,2.23,17.95,803.90,3579.68,2706.56,75.61,111.26,61.27,55.07,20.49,15.34,74.87,13.90,5.42,38.98,145.65,82.03,56.32
