district,name_of_rseti,name_of_sponsor_bank,number_of_training_programmes_conducted,number_of_trainees_trained,total_no_of_candidates_settled,settled_under_self_employment,settled_under_wage_employment,self_finance,bank_finance,pct_of_settlement,pct_of_credit_linked
Angul,Angul,UCO Angul,279,9166,6956,6525,431,2488,3039,75.89,46.57
Balangir,Bolangir,SBI Bolangir,292,8770,7152,6692,460,2327,3342,81.55,49.94
Balasore,Balasore,UCO Balasore,339,11089,7495,7009,486,2156,3734,67.59,53.27
Bargarh,Bargarh,SBI Baragarh,314,9120,8121,7297,824,1434,4644,89.05,63.64
Bhadrak,Bhadrak,UCO Bhadrak,321,9964,8127,7732,395,2449,4261,81.56,55.11
Boudh,Boudh,SBI Boudh,281,8416,5771,5466,305,1197,3439,68.57,62.92
Cuttack,Cuttack,UCO Cuttack,295,8954,6053,5845,208,1702,2773,67.60,47.44
Deogarh,Deogarh,CBI Deogarh,228,7206,5018,4934,84,1953,1939,69.64,39.30
Dhenkanal,Dhenkanal,UCO Dhenkanal,297,9557,6982,6818,164,1601,4467,73.06,65.52
Gajapati,Gajapati,"Union Bank
Paralakhemundi",342,9355,8093,7496,597,2136,3931,86.51,52.44
Ganjam,Ganjam,"Union Bank
Chhatrapur",426,10892,8696,7264,1432,1543,3557,79.84,48.97
Jajpur,Jajpur,SBI Jajpur,319,9782,7771,7507,264,2081,4019,79.44,53.54
Jharsuguda,Jharsuguda,SBI Jharsuguda,456,12014,10194,8207,1987,2437,3186,84.85,38.82
Kalahandi,Kalahandi,SBI Kalahandi,321,9324,7215,6026,1189,2183,2690,77.38,44.64
Kandhamal,Kandhamal,SBI Kandhamal,285,8908,7130,6554,576,1838,4043,80.04,61.69
Kendrapara,Kendrapara,SBI Kendrapara,365,11185,8374,7676,698,1818,4124,74.87,53.73
Keonjhar,Keonjhar,BOI Keonjhar,297,8740,6326,5663,663,2038,2852,72.38,50.36
Khordha,RUDSETI,SyndicateCanaraDharmasthala,508,16385,13634,12274,1360,2301,8298,83.21,67.61
Koraput,Koraput,SBI Koraput,259,7590,5426,4833,593,1456,3045,71.49,63.00
Malkangiri,Malkangiri,SBI Malkangiri,264,7659,5749,5539,210,1762,3036,75.06,54.81
Mayurbhanj,Mayurbhanj,BOI Baripada,385,11240,9017,8512,505,3229,4058,80.22,47.67
Nabarangpur,Nabrangpur,SBI Nabarangpur,268,8671,6520,5954,566,2292,2971,75.19,49.90
Nayagarh,Nayagarh,SBI Nayagarh,301,8788,6961,6715,246,2377,3207,79.21,47.76
Nuapada,Nuapada,SBI Nuapara,292,8460,6770,6410,360,2489,2839,80.02,44.29
Puri,Puri,UCO Puri,311,9512,6870,6668,202,2503,2841,72.22,42.61
Rayagada,Rayagada,SBI Rayagara,276,8231,6799,5989,810,1426,3699,82.60,61.76
Sambalpur,Sambalpur,SBI Sambalpur,325,9491,7760,6627,1133,1635,3967,81.76,59.86
Subarnapur,Subarnapur,SBI Subarnapur,293,8713,6885,6752,133,1567,4580,79.02,67.83
Sundargarh,Sundargarh,SBI Sundargarh,317,9374,6873,6390,483,2077,3288,73.32,51.46
