district,total_no_of_pmjdy_accounts_2022_23,2023_24_2024_25,col_4,total_no_pmjdy_accounts_male_2022_23,2023_24_2024_25,col_7,total_no_pmjdy_accounts_female_2022_23,col_9,col_10
Angul,615515,633273,694430,280462,293753,311081,335053,339520,383349
Balangir,1077669,1106368,1206529,477217,520653,528060,600452,585715,678469
Balasore,1341677,1509713,1503144,548272,664975,608189,793405,844738,894955
Bargarh,820715,868194,943154,381299,403074,430395,439416,465120,512759
Bhadrak,939716,1074888,1054568,409544,473513,445464,530172,601375,609104
Boudh,282246,294790,306349,129025,111639,138283,153221,183151,168066
Cuttack,1006480,1088120,1188037,436004,491127,498852,570476,596993,689185
Deogarh,132160,147578,154808,61036,40798,71139,71124,106780,83669
Dhenkanal,660321,698788,750837,292392,303017,329714,367929,395771,421123
Gajapati,255761,269865,279289,113412,91523,120528,142349,178342,158761
Ganjam,1377550,1392131,1602597,570347,578602,655073,807203,813529,947524
Jagatsinghpur,542099,597652,598354,235566,239723,252080,306533,357929,346274
Jajpur,962789,1040144,1102893,408840,473802,457097,553949,566342,645796
Jharsuguda,235023,250543,263135,107329,90694,117876,127694,159851,145259
Kalahandi,711395,749012,820984,304598,302449,345603,406797,446563,475381
Kandhamal,291172,320174,326677,122544,109020,138291,168628,211156,188386
Kendrapara,666707,751495,771708,278675,361342,313724,388032,390153,457984
Keonjhar,714553,773923,815257,308995,346278,345751,405558,427645,469506
Khordha,865341,933923,1015379,401135,435377,452536,464206,498546,562843
Koraput,736863,760390,851496,339556,328445,388532,397307,431947,462964
Malkangiri,330823,358222,387272,150610,159861,174101,180213,198361,213171
Mayurbhanj,1047330,1176581,1268863,462843,535699,550188,584487,640883,718675
Nabarangpur,772801,807220,904666,357016,410352,413737,415785,396868,490929
Nayagarh,481209,507134,540046,216034,238008,237199,265175,269127,302847
Nuapada,386553,407791,433029,173638,162258,192959,212915,245533,240070
Puri,725822,729190,832588,317090,314230,351693,408732,414960,480895
Rayagada,393068,411162,459969,170722,152028,195738,222346,259134,264231
Sambalpur,434787,448500,475616,186363,169886,199053,248424,278614,276563
Subarnapur,392893,414360,443032,181213,188616,200877,211680,225744,242155
Sundargarh,783512,821305,890108,342217,353014,385735,441295,468283,504373
